Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina_old,Position (m) Alessio_0.02_1.5_lampadina_old,Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina_old,Position (m) Alessandra_0.02_1.5_lampadina_old,Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina,Position (m) Antonio_0.02_1.5_lampadina,Light Intensity (% of scale max) Alessio_0.04_1.5_lampadina,Position (m) Alessio_0.04_1.5_lampadina,Light Intensity (% of scale max) Alessandra_0.04_1.5_lampadina,Position (m) Alessandra_0.04_1.5_lampadina,Light Intensity (% of scale max) Antonio_0.04_1.5_lampadina,Position (m) Antonio_0.04_1.5_lampadina,Light Intensity (% of scale max) Alessio_0.08_1.5_lampadina,Position (m) Alessio_0.08_1.5_lampadina,Light Intensity (% of scale max) Alessandra_0.08_1.5_lampadina,Position (m) Alessandra_0.08_1.5_lampadina,Light Intensity (% of scale max) Antonio_0.08_1.5_lampadina,Position (m) Antonio_0.08_1.5_lampadina,Light Intensity (% of scale max) Alessio_0.16_1.5_lampadina,Position (m) Alessio_0.16_1.5_lampadina,Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina,Position (m) Alessandra_0.16_1.5_lampadina,Light Intensity (% of scale max) Antonio_0.16_1.5_lampadina,Position (m) Antonio_0.16_1.5_lampadina,Light Intensity (% of scale max) Alessio_0.02_1.0_candela,Position (m) Alessio_0.02_1.0_candela,Light Intensity (% of scale max) Alessio_0.04_1.0_lampada,Position (m) Alessio_0.04_1.0_lampada,Light Intensity (% of scale max) Antonio_0.08_0.5_lampadina,Position (m) Antonio_0.08_0.5_lampadina,Light Intensity (% of scale max) Alessio_0.16_0.5_lampadina,Position (m) Alessio_0.16_0.5_lampadina,Time (s) rumore_di_fondo_candela,Light Intensity (% of scale max) rumore_di_fondo_candela,Time (s) rumore_ambientale_candela,Light Intensity (% of scale max) rumore_ambientale_candela,Time (s) laser_candela,Light Intensity (% of scale max) laser_candela,Time (s) intensità_laser_sole,Light Intensity (% of scale max) intensità_laser_sole,Time (s) rumore_di_fondo_lampadina,Light Intensity (% of scale max) rumore_di_fondo_lampadina,Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina,Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina,Light Intensity (% of scale max) Alessio_doubleslit_0.04_0.25_1.5_lampadina,Position (m) Alessio_doubleslit_0.04_0.25_1.5_lampadina,Time (s) intensità_laser_sole,Light Intensity (% of scale max) intensità_laser_sole,Time (s) rumore_abientale_1.5_candela,Light Intensity (% of scale max) rumore_abientale_1.5_candela,Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina,Position (m) Alessio_0.02_1.5_lampadina,Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina,Position (m) Alessandra_0.02_1.5_lampadina,Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina_2,Position (m) Antonio_0.02_1.5_lampadina_2
0.2,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6,0,3.6,0,100,0,35.3,0,0,0,0,0,0,0,24.1,0,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.97E-05,0,0,0,0,0.04,2.6,0.04,3.6,0.04,100,0.04,35.3,0.04,0,0,0,0,0,0.04,24.2,0.04,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.97E-05,1,0,0,-1.97E-05,0,0,0,0,0.08,2.5,0.08,3.6,0.08,100,0.08,35.3,0.08,0,0,0,0,0,0.08,24.2,0.08,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.95E-05,1,0,0,-1.97E-05,0,0,0,0,0.12,2.5,0.12,3.7,0.12,100,0.12,35.3,0.12,0,0,0,0,0,0.12,24.2,0.12,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86E-05,1,0,0,-1.97E-05,0,0,0,0,0.16,2.6,0.16,3.7,0.16,100,0.16,35.3,0.16,0,0,0,0,0,0.16,24.2,0.16,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86E-05,1.1,0,0,-1.97E-05,0,0,0,0,0.2,2.6,0.2,3.6,0.2,100,0.2,35.3,0.2,0,0,0,0,-1.97E-05,0.2,24.2,0.2,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,1.97E-05,0,0,0,-1.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86E-05,1.1,0,0,-1.97E-05,0,0,0,0,0.24,2.6,0.24,3.6,0.24,100,0.24,35.3,0.24,0,0,0,0,-1.97E-05,0.24,24.2,0.24,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,1.97E-05,0,0,0,-1.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86E-05,1,0,0,-1.97E-05,0,0,0,0,0.28,2.6,0.28,3.6,0.28,100,0.28,35.3,0.28,0,0,0,0,-3.95E-05,0.28,24.2,0.28,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,1.97E-05,0,0,0,-1.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86E-05,1,0,0,-1.97E-05,0,0,0,0,0.32,2.6,0.32,3.6,0.32,100,0.32,35.3,0.32,0,0,0,0,-3.95E-05,0.32,24.2,0.32,1.3,0,0,0,0,0,0
0.2,0,0.2,0,0.1,1.97E-05,0,0,0,-1.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86E-05,1,0,0,-1.97E-05,0,0,0,0,0.36,2.6,0.36,3.7,0.36,100,0.36,35.3,0.36,0,0,0,0,-3.95E-05,0.36,24.2,0.36,1.3,0,0,0,0,0,0
