"Relative Intensity Alessio_0.02_1.5_lampadina_old","Position (m) Alessio_0.02_1.5_lampadina_old","Relative Intensity Alessandra_0.02_1.5_lampadina_old","Position (m) Alessandra_0.02_1.5_lampadina_old","Relative Intensity Antonio_0.02_1.5_lampadina","Position (m) Antonio_0.02_1.5_lampadina","Relative Intensity Alessio_0.04_1.5_lampadina","Position (m) Alessio_0.04_1.5_lampadina","Relative Intensity Alessandra_0.04_1.5_lampadina","Position (m) Alessandra_0.04_1.5_lampadina","Relative Intensity Antonio_0.04_1.5_lampadina","Position (m) Antonio_0.04_1.5_lampadina","Relative Intensity Alessio_0.08_1.5_lampadina","Position (m) Alessio_0.08_1.5_lampadina","Relative Intensity Alessandra_0.08_1.5_lampadina","Position (m) Alessandra_0.08_1.5_lampadina","Relative Intensity Antonio_0.08_1.5_lampadina","Position (m) Antonio_0.08_1.5_lampadina","Relative Intensity Alessio_0.16_1.5_lampadina","Position (m) Alessio_0.16_1.5_lampadina","Relative Intensity Alessandra_0.16_1.5_lampadina","Position (m) Alessandra_0.16_1.5_lampadina","Relative Intensity Antonio_0.16_1.5_lampadina","Position (m) Antonio_0.16_1.5_lampadina","Relative Intensity Alessio_0.02_1.0_candela","Position (m) Alessio_0.02_1.0_candela","Relative Intensity Alessio_0.04_1.0_lampada","Position (m) Alessio_0.04_1.0_lampada","Relative Intensity Antonio_0.08_0.5_lampadina","Position (m) Antonio_0.08_0.5_lampadina","Relative Intensity Alessio_0.16_0.5_lampadina","Position (m) Alessio_0.16_0.5_lampadina","Time (s) rumore_di_fondo_candela","Relative Intensity rumore_di_fondo_candela","Time (s) rumore_ambientale_candela","Relative Intensity rumore_ambientale_candela","Time (s) laser_candela","Relative Intensity laser_candela","Time (s) intensità_laser_sole","Relative Intensity intensità_laser_sole","Time (s) rumore_di_fondo_lampadina","Relative Intensity rumore_di_fondo_lampadina","Relative Intensity Alessio_doubleslit_0.08_0.5_1.5_lampadina","Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina","Relative Intensity Alessio_doubleslit_0.04_0.25_1.5_lampadina","Position (m) Alessio_doubleslit_0.04_0.25_1.5_lampadina","Time (s) intensità_laser_sole","Relative Intensity intensità_laser_sole","Time (s) rumore_abientale_1.5_candela","Relative Intensity rumore_abientale_1.5_candela","Relative Intensity Alessio_0.02_1.5_lampadina","Position (m) Alessio_0.02_1.5_lampadina","Relative Intensity Alessandra_0.02_1.5_lampadina","Position (m) Alessandra_0.02_1.5_lampadina","Relative Intensity Antonio_0.02_1.5_lampadina_2","Position (m) Antonio_0.02_1.5_lampadina_2"
0.185455,0.00000,0.184784,0.00000,0.124725,0.00000,0.0350952,0.00000,0.0347900,0.00000,0.0343933,0.00000,0.0361786,0.00000,0.0349884,0.00000,0.0350647,0.00000,0.0373840,0.00000,0.0368042,0.00000,0.0359039,0.00000,0.00991821,0.00000,0.0323334,0.00000,0.0273132,0.00000,0.0275421,0.00000,0.00000,0.0260620,0.00000,0.0363464,0.00000,0.999741,0.00000,3533.84,0.00000,0.0432129,0.0373230,0.00000,0.0371552,0.00000,0.00000,2414.80,0.00000,0.0133972,0.0375061,0.00000,0.0375366,0.00000,0.0390778,0.00000
0.185272,0.00000,0.184158,0.00000,0.123764,0.00000,0.0349884,0.00000,0.0344238,0.00000,0.0338593,0.00000,0.0356750,0.00000,0.0347900,0.00000,0.0343018,0.00000,0.0373993,0.00000,0.0365601,0.00000,0.0357056,0.00000,0.00962830,0.00000,0.0322418,-1.97250E-5,0.0274353,0.00000,0.0276642,0.00000,0.0400000,0.0256195,0.0400000,0.0358734,0.0400000,0.999741,0.0400000,3533.66,0.0400000,0.0428619,0.0371399,0.00000,0.0370178,0.00000,0.0400000,2417.27,0.0400000,0.0131378,0.0379791,0.00000,0.0376740,0.00000,0.0386963,0.00000
0.185547,0.00000,0.184250,0.00000,0.122803,0.00000,0.0355530,0.00000,0.0346527,0.00000,0.0337219,0.00000,0.0359955,0.00000,0.0352478,0.00000,0.0347137,0.00000,0.0373077,0.00000,0.0364990,0.00000,0.0357513,-1.97250E-5,0.00964355,0.00000,0.0319519,-1.97250E-5,0.0274353,0.00000,0.0278015,0.00000,0.0800000,0.0252838,0.0800000,0.0360565,0.0800000,1.00000,0.0800000,3533.58,0.0800000,0.0431213,0.0370178,0.00000,0.0370331,0.00000,0.0800000,2416.16,0.0800000,0.0128937,0.0382080,0.00000,0.0376740,0.00000,0.0391998,0.00000
0.185287,0.00000,0.184311,0.00000,0.121918,0.00000,0.0352173,0.00000,0.0349731,0.00000,0.0334473,0.00000,0.0361023,0.00000,0.0349121,0.00000,0.0347748,0.00000,0.0373383,0.00000,0.0368805,0.00000,0.0360260,-3.94500E-5,0.0100098,0.00000,0.0319366,-1.97250E-5,0.0276031,0.00000,0.0279083,0.00000,0.120000,0.0253601,0.120000,0.0365448,0.120000,0.999741,0.120000,3533.79,0.120000,0.0433807,0.0374298,0.00000,0.0370941,0.00000,0.120000,2416.62,0.120000,0.0125732,0.0379639,0.00000,0.0378265,0.00000,0.0390015,0.00000
0.185181,0.00000,0.184357,0.00000,0.121109,0.00000,0.0353546,0.00000,0.0350342,0.00000,0.0343933,0.00000,0.0359039,0.00000,0.0352173,0.00000,0.0345459,0.00000,0.0371399,0.00000,0.0365295,0.00000,0.0357666,-9.86250E-5,0.0104065,0.00000,0.0319366,-1.97250E-5,0.0271301,0.00000,0.0274048,0.00000,0.160000,0.0255280,0.160000,0.0370026,0.160000,1.00000,0.160000,3534.08,0.160000,0.0431366,0.0373993,0.00000,0.0370789,0.00000,0.160000,2417.02,0.160000,0.0125732,0.0381927,0.00000,0.0375824,0.00000,0.0390320,0.00000
0.185196,0.00000,0.184311,0.00000,0.120361,0.00000,0.0351715,0.00000,0.0348511,0.00000,0.0334778,0.00000,0.0357513,0.00000,0.0349884,0.00000,0.0345154,0.00000,0.0374146,0.00000,0.0367432,0.00000,0.0354767,-9.86250E-5,0.0109558,0.00000,0.0320740,-1.97250E-5,0.0271149,0.00000,0.0280457,0.00000,0.200000,0.0258484,0.200000,0.0364685,0.200000,1.00000,0.200000,3534.09,0.200000,0.0430908,0.0371094,0.00000,0.0372467,-1.97250E-5,0.200000,2416.38,0.200000,0.0127106,0.0381470,0.00000,0.0377502,0.00000,0.0392151,0.00000
0.185043,0.00000,0.184433,0.00000,0.119949,1.97250E-5,0.0348053,0.00000,0.0352936,-1.97250E-5,0.0339355,0.00000,0.0361176,0.00000,0.0349731,0.00000,0.0345917,0.00000,0.0374298,0.00000,0.0367126,0.00000,0.0355835,-9.86250E-5,0.0108337,0.00000,0.0320129,-1.97250E-5,0.0271759,0.00000,0.0276794,0.00000,0.240000,0.0261383,0.240000,0.0359497,0.240000,0.999741,0.240000,3533.74,0.240000,0.0428314,0.0373383,0.00000,0.0372467,-1.97250E-5,0.240000,2416.71,0.240000,0.0128784,0.0378571,0.00000,0.0376282,0.00000,0.0391693,0.00000
0.184845,0.00000,0.184662,0.00000,0.119904,1.97250E-5,0.0349274,0.00000,0.0346832,-1.97250E-5,0.0337524,0.00000,0.0355682,0.00000,0.0351562,0.00000,0.0346222,0.00000,0.0373993,0.00000,0.0367737,0.00000,0.0355072,-9.86250E-5,0.0103455,0.00000,0.0321808,-1.97250E-5,0.0272675,0.00000,0.0276794,0.00000,0.280000,0.0261841,0.280000,0.0359497,0.280000,0.999741,0.280000,3533.52,0.280000,0.0431366,0.0372009,0.00000,0.0368195,-3.94500E-5,0.280000,2416.06,0.280000,0.0131073,0.0380859,0.00000,0.0376434,0.00000,0.0390625,0.00000
0.185211,0.00000,0.184387,0.00000,0.119476,1.97250E-5,0.0350189,0.00000,0.0348206,-1.97250E-5,0.0344849,0.00000,0.0360565,0.00000,0.0351868,0.00000,0.0347900,0.00000,0.0373230,0.00000,0.0368500,0.00000,0.0355988,-9.86250E-5,0.00993347,0.00000,0.0324707,-1.97250E-5,0.0276794,0.00000,0.0275269,0.00000,0.320000,0.0258026,0.320000,0.0363464,0.320000,1.00000,0.320000,3533.84,0.320000,0.0430298,0.0376434,0.00000,0.0374603,-3.94500E-5,0.320000,2416.92,0.320000,0.0133514,0.0381622,0.00000,0.0375671,0.00000,0.0392456,0.00000
0.185638,0.00000,0.184189,0.00000,0.118973,1.97250E-5,0.0351562,0.00000,0.0349884,-1.97250E-5,0.0341797,0.00000,0.0356445,0.00000,0.0348053,0.00000,0.0349731,0.00000,0.0375214,0.00000,0.0368042,0.00000,0.0355225,-9.86250E-5,0.00965881,0.00000,0.0318604,-1.97250E-5,0.0277405,0.00000,0.0277100,0.00000,0.360000,0.0255585,0.360000,0.0368652,0.360000,0.999741,0.360000,3534.00,0.360000,0.0432129,0.0373840,0.00000,0.0369873,-3.94500E-5,0.360000,2416.61,0.360000,0.0131378,0.0380249,0.00000,0.0375977,0.00000,0.0392303,0.00000
