Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina_old	Position (m) Alessandra_0.02_1.5_lampadina_old
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0001180000
0.2000000000	-0.0002170000
0.2000000000	-0.0002370000
0.2000000000	-0.0003160000
0.2000000000	-0.0003350000
0.2000000000	-0.0003550000
0.2000000000	-0.0003550000
0.2000000000	-0.0003750000
0.2000000000	-0.0003750000
0.2000000000	-0.0003750000
0.2000000000	-0.0003750000
0.2000000000	-0.0003750000
0.2000000000	-0.0003750000
0.2000000000	-0.0003750000
0.2000000000	-0.0003950000
0.2000000000	-0.0003950000
0.2000000000	-0.0004140000
0.2000000000	-0.0007690000
0.2000000000	-0.0020000000
0.2000000000	-0.0047000000
0.2000000000	-0.0063000000
0.2000000000	-0.0073000000
0.2000000000	-0.0079000000
0.2000000000	-0.0081000000
0.2000000000	-0.0084000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
0.2000000000	-0.0088000000
