Light Intensity (% of scale max) Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.1000000000	0.0000000000
1.1000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.1000000000	0.0000000000
1.1000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.1000000000	0.0000000000
1.1000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	0.0000000000
1.0000000000	-0.0000197000
1.1000000000	-0.0000197000
1.1000000000	-0.0000197000
1.1000000000	-0.0000197000
1.0000000000	-0.0000197000
1.0000000000	-0.0000197000
1.0000000000	-0.0000197000
1.0000000000	-0.0000197000
1.0000000000	-0.0000395000
1.1000000000	-0.0000395000
1.1000000000	-0.0000395000
1.1000000000	-0.0000395000
1.0000000000	-0.0000395000
1.0000000000	-0.0000395000
1.0000000000	-0.0000395000
1.0000000000	-0.0000395000
1.0000000000	-0.0000395000
1.1000000000	-0.0000592000
1.1000000000	-0.0000592000
1.0000000000	-0.0003160000
1.0000000000	-0.0004340000
1.0000000000	-0.0004340000
1.0000000000	-0.0004340000
1.0000000000	-0.0006900000
1.0000000000	-0.0008480000
1.1000000000	-0.0008880000
1.1000000000	-0.0011000000
1.0000000000	-0.0014000000
1.0000000000	-0.0020000000
1.0000000000	-0.0022000000
1.0000000000	-0.0022000000
1.0000000000	-0.0022000000
1.0000000000	-0.0025000000
1.1000000000	-0.0027000000
1.1000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.1000000000	-0.0027000000
1.1000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0027000000
1.0000000000	-0.0028000000
1.0000000000	-0.0036000000
1.1000000000	-0.0043000000
1.1000000000	-0.0043000000
1.0000000000	-0.0043000000
1.0000000000	-0.0044000000
1.0000000000	-0.0047000000
1.0000000000	-0.0049000000
1.0000000000	-0.0049000000
1.1000000000	-0.0051000000
1.1000000000	-0.0054000000
1.1000000000	-0.0058000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.1000000000	-0.0060000000
1.1000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.0000000000	-0.0060000000
1.1000000000	-0.0063000000
1.1000000000	-0.0069000000
1.1000000000	-0.0071000000
1.0000000000	-0.0071000000
1.0000000000	-0.0072000000
1.0000000000	-0.0076000000
1.0000000000	-0.0078000000
1.1000000000	-0.0079000000
1.1000000000	-0.0082000000
1.1000000000	-0.0083000000
1.1000000000	-0.0087000000
1.0000000000	-0.0091000000
1.0000000000	-0.0093000000
1.1000000000	-0.0094000000
1.1000000000	-0.0094000000
1.1000000000	-0.0094000000
1.2000000000	-0.0094000000
1.1000000000	-0.0094000000
1.1000000000	-0.0094000000
1.1000000000	-0.0094000000
1.0000000000	-0.0094000000
1.1000000000	-0.0094000000
1.1000000000	-0.0094000000
1.1000000000	-0.0094000000
1.2000000000	-0.0094000000
1.1000000000	-0.0094000000
1.1000000000	-0.0095000000
1.1000000000	-0.0096000000
1.0000000000	-0.0096000000
1.1000000000	-0.0097000000
1.1000000000	-0.0099000000
1.1000000000	-0.0106000000
1.2000000000	-0.0108000000
1.1000000000	-0.0109000000
1.1000000000	-0.0112000000
1.0000000000	-0.0114000000
1.0000000000	-0.0116000000
1.1000000000	-0.0118000000
1.1000000000	-0.0122000000
1.2000000000	-0.0124000000
1.2000000000	-0.0124000000
1.2000000000	-0.0127000000
1.1000000000	-0.0131000000
1.1000000000	-0.0131000000
1.1000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.1000000000	-0.0131000000
1.1000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0131000000
1.2000000000	-0.0133000000
1.2000000000	-0.0137000000
1.1000000000	-0.0139000000
1.1000000000	-0.0139000000
1.1000000000	-0.0141000000
1.2000000000	-0.0144000000
1.2000000000	-0.0146000000
1.3000000000	-0.0149000000
1.3000000000	-0.0151000000
1.3000000000	-0.0155000000
1.2000000000	-0.0157000000
1.2000000000	-0.0157000000
1.2000000000	-0.0159000000
1.2000000000	-0.0162000000
1.2000000000	-0.0166000000
1.3000000000	-0.0166000000
1.3000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.3000000000	-0.0166000000
1.3000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0166000000
1.2000000000	-0.0172000000
1.2000000000	-0.0173000000
1.2000000000	-0.0174000000
1.3000000000	-0.0177000000
1.3000000000	-0.0179000000
1.2000000000	-0.0181000000
1.2000000000	-0.0185000000
1.2000000000	-0.0187000000
1.2000000000	-0.0191000000
1.2000000000	-0.0196000000
1.2000000000	-0.0197000000
1.3000000000	-0.0201000000
1.2000000000	-0.0204000000
1.2000000000	-0.0205000000
1.1000000000	-0.0205000000
1.1000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0205000000
1.1000000000	-0.0205000000
1.1000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0205000000
1.2000000000	-0.0207000000
1.3000000000	-0.0214000000
1.3000000000	-0.0215000000
1.2000000000	-0.0217000000
1.2000000000	-0.0222000000
1.2000000000	-0.0223000000
1.2000000000	-0.0226000000
1.2000000000	-0.0230000000
1.2000000000	-0.0231000000
1.2000000000	-0.0234000000
1.2000000000	-0.0237000000
1.1000000000	-0.0238000000
1.1000000000	-0.0241000000
1.1000000000	-0.0244000000
1.1000000000	-0.0244000000
1.2000000000	-0.0244000000
1.2000000000	-0.0244000000
1.2000000000	-0.0244000000
1.2000000000	-0.0244000000
1.1000000000	-0.0244000000
1.1000000000	-0.0244000000
1.1000000000	-0.0244000000
1.1000000000	-0.0244000000
1.2000000000	-0.0244000000
1.2000000000	-0.0244000000
1.2000000000	-0.0244000000
1.2000000000	-0.0247000000
1.1000000000	-0.0256000000
1.1000000000	-0.0257000000
1.1000000000	-0.0257000000
1.1000000000	-0.0257000000
1.1000000000	-0.0260000000
1.2000000000	-0.0263000000
1.1000000000	-0.0264000000
1.1000000000	-0.0266000000
1.0000000000	-0.0270000000
1.0000000000	-0.0271000000
1.0000000000	-0.0274000000
1.0000000000	-0.0277000000
1.1000000000	-0.0278000000
1.1000000000	-0.0279000000
1.1000000000	-0.0279000000
1.1000000000	-0.0279000000
1.0000000000	-0.0279000000
1.0000000000	-0.0279000000
1.0000000000	-0.0279000000
1.0000000000	-0.0279000000
1.1000000000	-0.0279000000
1.1000000000	-0.0279000000
1.1000000000	-0.0279000000
1.0000000000	-0.0279000000
1.0000000000	-0.0279000000
1.0000000000	-0.0282000000
1.0000000000	-0.0288000000
1.0000000000	-0.0289000000
1.1000000000	-0.0291000000
1.1000000000	-0.0292000000
1.0000000000	-0.0294000000
1.0000000000	-0.0296000000
0.9000000000	-0.0299000000
0.9000000000	-0.0302000000
0.9000000000	-0.0305000000
1.0000000000	-0.0309000000
1.0000000000	-0.0313000000
1.0000000000	-0.0315000000
1.0000000000	-0.0318000000
1.0000000000	-0.0320000000
0.9000000000	-0.0321000000
0.9000000000	-0.0321000000
0.9000000000	-0.0321000000
1.0000000000	-0.0321000000
1.0000000000	-0.0321000000
1.0000000000	-0.0321000000
1.0000000000	-0.0321000000
1.0000000000	-0.0321000000
0.9000000000	-0.0321000000
0.9000000000	-0.0321000000
0.9000000000	-0.0321000000
0.9000000000	-0.0323000000
1.0000000000	-0.0329000000
1.0000000000	-0.0330000000
1.0000000000	-0.0332000000
0.9000000000	-0.0335000000
0.9000000000	-0.0336000000
0.9000000000	-0.0341000000
0.9000000000	-0.0345000000
0.9000000000	-0.0348000000
1.0000000000	-0.0352000000
1.0000000000	-0.0354000000
1.0000000000	-0.0356000000
1.0000000000	-0.0358000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.1000000000	-0.0361000000
1.1000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.0000000000	-0.0361000000
1.1000000000	-0.0361000000
1.1000000000	-0.0362000000
1.1000000000	-0.0366000000
1.1000000000	-0.0369000000
1.0000000000	-0.0370000000
1.1000000000	-0.0374000000
1.1000000000	-0.0379000000
1.1000000000	-0.0380000000
1.2000000000	-0.0385000000
1.2000000000	-0.0388000000
1.2000000000	-0.0391000000
1.2000000000	-0.0395000000
1.1000000000	-0.0395000000
1.2000000000	-0.0399000000
1.3000000000	-0.0400000000
1.3000000000	-0.0400000000
1.4000000000	-0.0399000000
1.3000000000	-0.0399000000
1.3000000000	-0.0399000000
1.3000000000	-0.0399000000
1.2000000000	-0.0399000000
1.3000000000	-0.0399000000
1.3000000000	-0.0399000000
1.4000000000	-0.0399000000
1.4000000000	-0.0399000000
1.3000000000	-0.0399000000
1.3000000000	-0.0400000000
1.3000000000	-0.0400000000
1.3000000000	-0.0400000000
1.4000000000	-0.0404000000
1.5000000000	-0.0406000000
1.6000000000	-0.0407000000
1.6000000000	-0.0409000000
1.6000000000	-0.0412000000
1.5000000000	-0.0413000000
1.5000000000	-0.0416000000
1.5000000000	-0.0419000000
1.5000000000	-0.0423000000
1.6000000000	-0.0425000000
1.6000000000	-0.0429000000
1.5000000000	-0.0433000000
1.5000000000	-0.0436000000
1.5000000000	-0.0438000000
1.5000000000	-0.0438000000
1.6000000000	-0.0438000000
1.6000000000	-0.0438000000
1.7000000000	-0.0438000000
1.6000000000	-0.0438000000
1.6000000000	-0.0438000000
1.5000000000	-0.0438000000
1.5000000000	-0.0438000000
1.6000000000	-0.0438000000
1.6000000000	-0.0438000000
1.6000000000	-0.0438000000
1.7000000000	-0.0438000000
1.6000000000	-0.0438000000
1.6000000000	-0.0440000000
1.6000000000	-0.0443000000
1.8000000000	-0.0445000000
1.9000000000	-0.0448000000
2.1000000000	-0.0451000000
2.2000000000	-0.0453000000
2.4000000000	-0.0456000000
2.4000000000	-0.0458000000
2.4000000000	-0.0462000000
2.3000000000	-0.0464000000
2.3000000000	-0.0467000000
2.3000000000	-0.0469000000
2.3000000000	-0.0471000000
2.2000000000	-0.0473000000
2.1000000000	-0.0475000000
2.0000000000	-0.0478000000
2.0000000000	-0.0479000000
2.0000000000	-0.0479000000
2.1000000000	-0.0479000000
2.1000000000	-0.0479000000
2.1000000000	-0.0479000000
2.1000000000	-0.0479000000
2.0000000000	-0.0479000000
2.0000000000	-0.0479000000
2.1000000000	-0.0479000000
2.1000000000	-0.0479000000
2.2000000000	-0.0479000000
2.2000000000	-0.0479000000
2.1000000000	-0.0480000000
2.0000000000	-0.0484000000
2.0000000000	-0.0485000000
2.0000000000	-0.0487000000
2.1000000000	-0.0490000000
2.2000000000	-0.0493000000
2.3000000000	-0.0496000000
2.4000000000	-0.0500000000
2.4000000000	-0.0502000000
2.5000000000	-0.0504000000
2.7000000000	-0.0506000000
2.8000000000	-0.0507000000
2.9000000000	-0.0509000000
3.0000000000	-0.0511000000
2.9000000000	-0.0515000000
2.9000000000	-0.0517000000
2.8000000000	-0.0517000000
2.9000000000	-0.0516000000
2.9000000000	-0.0516000000
2.9000000000	-0.0516000000
3.0000000000	-0.0516000000
2.9000000000	-0.0516000000
2.8000000000	-0.0516000000
2.9000000000	-0.0516000000
2.9000000000	-0.0516000000
3.0000000000	-0.0517000000
3.0000000000	-0.0517000000
3.0000000000	-0.0517000000
2.7000000000	-0.0523000000
2.4000000000	-0.0529000000
2.4000000000	-0.0530000000
2.3000000000	-0.0533000000
2.3000000000	-0.0535000000
2.2000000000	-0.0537000000
2.1000000000	-0.0541000000
2.0000000000	-0.0542000000
2.0000000000	-0.0545000000
2.0000000000	-0.0546000000
2.1000000000	-0.0548000000
2.1000000000	-0.0550000000
2.1000000000	-0.0552000000
2.1000000000	-0.0554000000
