Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina_old	Position (m) Alessio_0.02_1.5_lampadina_old
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	0.0000000000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000197000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0000395000
0.2000000000	-0.0002760000
0.2000000000	-0.0002960000
0.2000000000	-0.0002960000
0.2000000000	-0.0002960000
0.2000000000	-0.0004340000
0.2000000000	-0.0006710000
0.2000000000	-0.0006710000
0.2000000000	-0.0007100000
0.2000000000	-0.0008280000
0.2000000000	-0.0009470000
0.2000000000	-0.0009860000
0.2000000000	-0.0009860000
0.2000000000	-0.0013000000
0.2000000000	-0.0018000000
0.2000000000	-0.0020000000
0.2000000000	-0.0020000000
0.2000000000	-0.0022000000
0.2000000000	-0.0027000000
0.2000000000	-0.0031000000
0.2000000000	-0.0032000000
0.2000000000	-0.0032000000
0.2000000000	-0.0033000000
0.2000000000	-0.0042000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0047000000
0.2000000000	-0.0049000000
0.2000000000	-0.0056000000
0.2000000000	-0.0060000000
0.2000000000	-0.0060000000
0.2000000000	-0.0060000000
0.2000000000	-0.0060000000
0.2000000000	-0.0060000000
0.2000000000	-0.0060000000
0.2000000000	-0.0061000000
0.2000000000	-0.0061000000
0.2000000000	-0.0063000000
0.2000000000	-0.0063000000
0.2000000000	-0.0063000000
0.2000000000	-0.0067000000
0.2000000000	-0.0072000000
0.2000000000	-0.0073000000
0.2000000000	-0.0075000000
0.2000000000	-0.0077000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0079000000
0.2000000000	-0.0082000000
0.2000000000	-0.0091000000
0.2000000000	-0.0093000000
0.2000000000	-0.0093000000
0.2000000000	-0.0093000000
0.2000000000	-0.0094000000
0.2000000000	-0.0096000000
0.2000000000	-0.0097000000
0.2000000000	-0.0099000000
0.2000000000	-0.0105000000
0.2000000000	-0.0105000000
0.2000000000	-0.0106000000
0.2000000000	-0.0109000000
0.2000000000	-0.0113000000
0.2000000000	-0.0116000000
0.2000000000	-0.0119000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0121000000
0.2000000000	-0.0124000000
0.2000000000	-0.0131000000
0.2000000000	-0.0135000000
0.2000000000	-0.0136000000
0.2000000000	-0.0141000000
0.2000000000	-0.0145000000
0.2000000000	-0.0146000000
0.2000000000	-0.0149000000
0.2000000000	-0.0149000000
0.2000000000	-0.0153000000
0.2000000000	-0.0157000000
0.2000000000	-0.0157000000
0.2000000000	-0.0158000000
0.2000000000	-0.0158000000
0.2000000000	-0.0158000000
0.2000000000	-0.0158000000
0.2000000000	-0.0157000000
0.2000000000	-0.0157000000
0.2000000000	-0.0157000000
0.2000000000	-0.0157000000
0.2000000000	-0.0157000000
