Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0002170000
0.0000000000	-0.0003350000
0.0000000000	-0.0003550000
0.0000000000	-0.0006110000
0.0000000000	-0.0009070000
0.0000000000	-0.0011000000
0.0000000000	-0.0015000000
0.0000000000	-0.0022000000
0.0000000000	-0.0024000000
0.0000000000	-0.0025000000
0.0000000000	-0.0026000000
0.0000000000	-0.0029000000
0.0000000000	-0.0035000000
0.0000000000	-0.0037000000
0.0000000000	-0.0041000000
0.0000000000	-0.0046000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0051000000
0.0000000000	-0.0060000000
0.0000000000	-0.0060000000
0.0000000000	-0.0062000000
0.0000000000	-0.0062000000
0.0000000000	-0.0064000000
0.0000000000	-0.0068000000
0.0000000000	-0.0072000000
0.0000000000	-0.0072000000
0.0000000000	-0.0075000000
0.0000000000	-0.0078000000
0.0000000000	-0.0082000000
0.0000000000	-0.0087000000
0.0000000000	-0.0092000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0095000000
0.0000000000	-0.0096000000
0.0000000000	-0.0096000000
0.0000000000	-0.0098000000
0.0000000000	-0.0105000000
0.0000000000	-0.0107000000
0.0000000000	-0.0108000000
0.0000000000	-0.0112000000
0.0000000000	-0.0114000000
0.0000000000	-0.0116000000
0.0000000000	-0.0119000000
0.0000000000	-0.0121000000
0.0000000000	-0.0121000000
0.0000000000	-0.0121000000
0.0000000000	-0.0122000000
0.0000000000	-0.0123000000
0.0000000000	-0.0124000000
0.0000000000	-0.0129000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0132000000
0.0000000000	-0.0138000000
0.0000000000	-0.0146000000
0.0000000000	-0.0147000000
0.0000000000	-0.0149000000
0.0000000000	-0.0151000000
0.0000000000	-0.0155000000
0.0000000000	-0.0157000000
0.0000000000	-0.0159000000
0.0000000000	-0.0163000000
0.0000000000	-0.0168000000
0.0000000000	-0.0171000000
0.0000000000	-0.0173000000
0.0000000000	-0.0176000000
0.0000000000	-0.0181000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0183000000
0.0000000000	-0.0190000000
0.0000000000	-0.0199000000
0.0000000000	-0.0203000000
0.0000000000	-0.0206000000
0.0000000000	-0.0209000000
0.0000000000	-0.0212000000
0.0000000000	-0.0215000000
0.0000000000	-0.0220000000
0.0000000000	-0.0223000000
0.0000000000	-0.0224000000
0.0000000000	-0.0226000000
0.0000000000	-0.0229000000
0.0000000000	-0.0234000000
0.0000000000	-0.0237000000
0.0000000000	-0.0239000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0238000000
0.0000000000	-0.0239000000
0.0000000000	-0.0241000000
0.0000000000	-0.0246000000
0.0000000000	-0.0250000000
0.0000000000	-0.0253000000
0.0000000000	-0.0255000000
0.0000000000	-0.0260000000
0.0000000000	-0.0265000000
0.0000000000	-0.0269000000
0.0000000000	-0.0273000000
0.0000000000	-0.0274000000
0.0000000000	-0.0276000000
0.0000000000	-0.0277000000
0.0000000000	-0.0279000000
0.0000000000	-0.0281000000
0.0000000000	-0.0282000000
0.0000000000	-0.0286000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0287000000
0.0000000000	-0.0290000000
0.0000000000	-0.0296000000
0.0000000000	-0.0300000000
0.0000000000	-0.0303000000
0.0000000000	-0.0307000000
0.0000000000	-0.0309000000
0.0000000000	-0.0313000000
0.0000000000	-0.0314000000
0.0000000000	-0.0315000000
0.0000000000	-0.0318000000
0.0000000000	-0.0320000000
0.0000000000	-0.0323000000
0.0000000000	-0.0326000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0327000000
0.0000000000	-0.0329000000
0.0000000000	-0.0333000000
0.0000000000	-0.0337000000
0.0000000000	-0.0339000000
0.0000000000	-0.0343000000
0.0000000000	-0.0347000000
0.0000000000	-0.0348000000
0.0000000000	-0.0351000000
0.0000000000	-0.0356000000
0.0000000000	-0.0361000000
0.0000000000	-0.0367000000
0.0000000000	-0.0371000000
0.0000000000	-0.0371000000
0.0000000000	-0.0372000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
0.0000000000	-0.0373000000
