Light Intensity (% of scale max) Alessio_0.16_0.5_lampadina	Position (m) Alessio_0.16_0.5_lampadina
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000592000
0.0000000000	-0.0001380000
0.0000000000	-0.0007690000
0.0000000000	-0.0009470000
0.0000000000	-0.0009470000
0.0000000000	-0.0009470000
0.0000000000	-0.0012000000
0.0000000000	-0.0015000000
0.0000000000	-0.0017000000
0.0000000000	-0.0019000000
0.0000000000	-0.0020000000
0.0000000000	-0.0024000000
0.0000000000	-0.0025000000
0.0000000000	-0.0026000000
0.0000000000	-0.0027000000
0.0000000000	-0.0030000000
0.0000000000	-0.0036000000
0.0000000000	-0.0038000000
0.0000000000	-0.0038000000
0.0000000000	-0.0038000000
0.0000000000	-0.0040000000
0.0000000000	-0.0043000000
0.0000000000	-0.0045000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0046000000
0.0000000000	-0.0047000000
0.0000000000	-0.0048000000
0.0000000000	-0.0048000000
0.0000000000	-0.0051000000
0.0000000000	-0.0055000000
0.0000000000	-0.0058000000
0.0000000000	-0.0060000000
0.0000000000	-0.0060000000
0.0000000000	-0.0061000000
0.0000000000	-0.0063000000
0.0000000000	-0.0064000000
0.0000000000	-0.0068000000
0.0000000000	-0.0073000000
0.0000000000	-0.0075000000
0.0000000000	-0.0078000000
0.0000000000	-0.0081000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0085000000
0.0000000000	-0.0088000000
0.0000000000	-0.0092000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0094000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
0.0000000000	-0.0093000000
