Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0002560000
0.0000000000	-0.0006110000
0.0000000000	-0.0008880000
0.0000000000	-0.0011000000
0.0000000000	-0.0019000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0025000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0024000000
0.0000000000	-0.0027000000
0.0000000000	-0.0035000000
0.0000000000	-0.0040000000
0.0000000000	-0.0041000000
0.1000000000	-0.0042000000
0.1000000000	-0.0044000000
0.1000000000	-0.0045000000
0.0000000000	-0.0049000000
0.0000000000	-0.0052000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0053000000
0.0000000000	-0.0054000000
0.0000000000	-0.0059000000
0.0000000000	-0.0060000000
0.0000000000	-0.0062000000
0.0000000000	-0.0064000000
0.0000000000	-0.0069000000
0.0000000000	-0.0077000000
0.0000000000	-0.0078000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0079000000
0.0000000000	-0.0080000000
0.0000000000	-0.0084000000
0.0000000000	-0.0089000000
0.0000000000	-0.0092000000
0.0000000000	-0.0094000000
0.0000000000	-0.0095000000
0.0000000000	-0.0102000000
0.0000000000	-0.0107000000
0.1000000000	-0.0109000000
0.0000000000	-0.0109000000
0.0000000000	-0.0109000000
0.0000000000	-0.0109000000
