Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina	Position (m) Antonio_0.02_1.5_lampadina
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000395000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000197000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	0.0000000000
0.1000000000	-0.0000197000
0.1000000000	-0.0000197000
0.1000000000	-0.0000197000
0.1000000000	-0.0000197000
0.1000000000	-0.0000197000
0.1000000000	-0.0000986000
0.1000000000	-0.0000986000
0.1000000000	-0.0001180000
0.1000000000	-0.0001180000
0.1000000000	-0.0001380000
0.1000000000	-0.0006710000
0.1000000000	-0.0010000000
0.1000000000	-0.0011000000
0.1000000000	-0.0012000000
0.1000000000	-0.0014000000
0.1000000000	-0.0021000000
0.1000000000	-0.0022000000
0.1000000000	-0.0022000000
0.1000000000	-0.0024000000
0.1000000000	-0.0027000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0028000000
0.1000000000	-0.0032000000
0.1000000000	-0.0045000000
0.1000000000	-0.0051000000
0.1000000000	-0.0054000000
0.1000000000	-0.0060000000
0.1000000000	-0.0062000000
0.1000000000	-0.0065000000
0.1000000000	-0.0073000000
0.1000000000	-0.0080000000
0.1000000000	-0.0082000000
0.1000000000	-0.0084000000
0.1000000000	-0.0088000000
0.1000000000	-0.0095000000
0.1000000000	-0.0096000000
0.1000000000	-0.0100000000
0.1000000000	-0.0106000000
0.1000000000	-0.0108000000
0.1000000000	-0.0114000000
0.1000000000	-0.0115000000
0.1000000000	-0.0122000000
0.1000000000	-0.0124000000
0.1000000000	-0.0129000000
0.1000000000	-0.0138000000
0.1000000000	-0.0147000000
0.1000000000	-0.0149000000
0.1000000000	-0.0149000000
0.1000000000	-0.0149000000
0.1000000000	-0.0149000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0148000000
0.1000000000	-0.0149000000
0.1000000000	-0.0149000000
0.1000000000	-0.0150000000
0.1000000000	-0.0156000000
0.1000000000	-0.0158000000
0.1000000000	-0.0158000000
0.1000000000	-0.0159000000
0.1000000000	-0.0160000000
0.1000000000	-0.0167000000
0.1000000000	-0.0172000000
0.1000000000	-0.0172000000
0.1000000000	-0.0173000000
0.1000000000	-0.0174000000
0.1000000000	-0.0178000000
0.1000000000	-0.0185000000
0.1000000000	-0.0189000000
0.1000000000	-0.0191000000
0.1000000000	-0.0191000000
0.1000000000	-0.0193000000
0.1000000000	-0.0196000000
0.1000000000	-0.0200000000
0.1000000000	-0.0205000000
0.1000000000	-0.0210000000
0.1000000000	-0.0212000000
0.1000000000	-0.0214000000
0.1000000000	-0.0217000000
0.1000000000	-0.0220000000
0.1000000000	-0.0221000000
0.1000000000	-0.0226000000
0.1000000000	-0.0228000000
0.1000000000	-0.0234000000
0.1000000000	-0.0240000000
0.1000000000	-0.0242000000
0.1000000000	-0.0246000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0247000000
0.1000000000	-0.0250000000
0.1000000000	-0.0255000000
0.1000000000	-0.0257000000
0.1000000000	-0.0258000000
0.1000000000	-0.0263000000
0.1000000000	-0.0265000000
0.1000000000	-0.0270000000
0.1000000000	-0.0274000000
0.1000000000	-0.0274000000
0.1000000000	-0.0278000000
0.1000000000	-0.0279000000
0.1000000000	-0.0279000000
0.1000000000	-0.0283000000
0.1000000000	-0.0284000000
0.1000000000	-0.0288000000
0.1000000000	-0.0292000000
0.1000000000	-0.0293000000
0.1000000000	-0.0297000000
0.1000000000	-0.0299000000
0.1000000000	-0.0300000000
0.1000000000	-0.0304000000
0.1000000000	-0.0306000000
0.1000000000	-0.0306000000
0.1000000000	-0.0308000000
0.1000000000	-0.0311000000
0.1000000000	-0.0311000000
0.1000000000	-0.0314000000
0.1000000000	-0.0317000000
0.1000000000	-0.0320000000
0.1000000000	-0.0322000000
0.1000000000	-0.0323000000
0.1000000000	-0.0325000000
0.1000000000	-0.0325000000
0.1000000000	-0.0330000000
0.1000000000	-0.0333000000
0.1000000000	-0.0338000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0338000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0339000000
0.1000000000	-0.0343000000
0.1000000000	-0.0350000000
0.1000000000	-0.0352000000
0.1000000000	-0.0356000000
0.1000000000	-0.0359000000
0.1000000000	-0.0360000000
0.1000000000	-0.0363000000
0.1000000000	-0.0364000000
0.1000000000	-0.0365000000
0.1000000000	-0.0367000000
0.1000000000	-0.0373000000
0.1000000000	-0.0373000000
0.1000000000	-0.0375000000
0.1000000000	-0.0380000000
0.1000000000	-0.0380000000
0.1000000000	-0.0381000000
0.1000000000	-0.0381000000
0.1000000000	-0.0382000000
0.1000000000	-0.0386000000
0.1000000000	-0.0390000000
0.1000000000	-0.0395000000
0.1000000000	-0.0395000000
0.1000000000	-0.0395000000
0.1000000000	-0.0396000000
0.1000000000	-0.0397000000
0.1000000000	-0.0399000000
0.1000000000	-0.0402000000
0.1000000000	-0.0404000000
0.1000000000	-0.0405000000
0.1000000000	-0.0409000000
0.1000000000	-0.0412000000
0.1000000000	-0.0412000000
0.1000000000	-0.0413000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0414000000
0.1000000000	-0.0415000000
0.1000000000	-0.0420000000
0.1000000000	-0.0424000000
0.1000000000	-0.0424000000
0.1000000000	-0.0427000000
0.1000000000	-0.0431000000
0.1000000000	-0.0434000000
0.1000000000	-0.0436000000
0.1000000000	-0.0437000000
0.1000000000	-0.0439000000
0.1000000000	-0.0443000000
0.1000000000	-0.0445000000
0.1000000000	-0.0446000000
0.1000000000	-0.0451000000
0.1000000000	-0.0451000000
0.1000000000	-0.0451000000
0.1000000000	-0.0454000000
0.1000000000	-0.0455000000
0.1000000000	-0.0455000000
0.1000000000	-0.0457000000
0.1000000000	-0.0460000000
0.1000000000	-0.0462000000
0.1000000000	-0.0462000000
0.2000000000	-0.0465000000
0.2000000000	-0.0466000000
0.2000000000	-0.0468000000
0.2000000000	-0.0470000000
0.2000000000	-0.0472000000
0.2000000000	-0.0474000000
0.2000000000	-0.0475000000
0.2000000000	-0.0475000000
0.2000000000	-0.0476000000
