Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0005720000
0.0000000000	-0.0007690000
0.0000000000	-0.0008680000
0.0000000000	-0.0012000000
0.0000000000	-0.0017000000
0.0000000000	-0.0023000000
0.0000000000	-0.0026000000
0.0000000000	-0.0028000000
0.0000000000	-0.0031000000
0.0000000000	-0.0038000000
0.0000000000	-0.0045000000
0.0000000000	-0.0050000000
0.0000000000	-0.0056000000
0.0000000000	-0.0062000000
0.0000000000	-0.0067000000
0.0000000000	-0.0076000000
0.0000000000	-0.0083000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0084000000
0.0000000000	-0.0085000000
0.0000000000	-0.0090000000
0.0000000000	-0.0102000000
0.0000000000	-0.0111000000
0.0000000000	-0.0117000000
0.0000000000	-0.0122000000
0.0000000000	-0.0127000000
0.0000000000	-0.0131000000
0.0000000000	-0.0137000000
