Relative Intensity Alessandra_0.02_1.5_lampadina_old	Position (m) Alessandra_0.02_1.5_lampadina_old
0.1847839	0.0
0.1841583	0.0
0.1842499	0.0
0.1843109	0.0
0.1843567	0.0
0.1843109	0.0
0.184433	0.0
0.1846619	0.0
0.1843872	0.0
0.1841888	0.0
0.1843109	0.0
0.184433	0.0
0.1846924	0.0
0.1852112	0.0
0.1845551	0.0
0.1847382	0.0
0.1844635	0.0
0.1848145	0.0
0.1846466	0.0
0.1851044	0.0
0.1850586	0.0
0.1850586	0.0
0.1853333	0.0
0.1853333	0.0
0.1851196	0.0
0.1854248	0.0
0.1851807	0.0
0.1852112	0.0
0.1855469	0.0
0.1855774	0.0
0.1855164	0.0
0.1853333	0.0
0.1852417	0.0
0.1848602	0.0
0.1851654	0.0
0.1856079	0.0
0.1851654	0.0
0.1851959	0.0
0.1854095	0.0
0.1853638	0.0
0.1852417	0.0
0.1851807	0.0
0.1854401	0.0
0.1847534	0.0
0.1844482	0.0
0.1847839	-1.9725e-05
0.1851044	-1.9725e-05
0.1847382	-1.9725e-05
0.1847534	-1.9725e-05
0.184967	-1.9725e-05
0.1850586	-1.9725e-05
0.1850128	-1.9725e-05
0.185257	-1.9725e-05
0.1850281	-1.9725e-05
0.1847687	-1.9725e-05
0.1851501	-1.9725e-05
0.1852875	-1.9725e-05
0.1855621	-1.9725e-05
0.1858063	-1.9725e-05
0.1851654	-1.9725e-05
0.1857147	-1.9725e-05
0.1858978	-1.9725e-05
0.1859436	-1.9725e-05
0.1856079	-1.9725e-05
0.185791	-1.9725e-05
0.1861267	-3.945e-05
0.1860046	-3.945e-05
0.1864166	-3.945e-05
0.1860046	-3.945e-05
0.1859131	-3.945e-05
0.1855469	-3.945e-05
0.1852264	-1.9725e-05
0.1854248	-1.9725e-05
0.1850891	-1.9725e-05
0.1856079	-1.9725e-05
0.1851044	-1.9725e-05
0.1854858	-1.9725e-05
0.1856232	-1.9725e-05
0.1849823	-1.9725e-05
0.1852875	-1.9725e-05
0.1848297	-1.9725e-05
0.1855316	-1.9725e-05
0.1856689	-1.9725e-05
0.1856079	-1.9725e-05
0.1850433	-1.9725e-05
0.1852264	-1.9725e-05
0.1855316	-1.9725e-05
0.1850739	-1.9725e-05
0.1850128	-1.9725e-05
0.184845	-1.9725e-05
0.1850739	-1.9725e-05
0.1847839	-1.9725e-05
0.1851654	-1.9725e-05
0.1850433	-1.9725e-05
0.1851959	-1.9725e-05
0.185318	-1.9725e-05
0.1842651	-1.9725e-05
0.184494	-1.9725e-05
0.1849365	-1.9725e-05
0.1854095	-1.9725e-05
0.1858673	-1.9725e-05
0.1851959	-1.9725e-05
0.1857605	-1.9725e-05
0.1862793	-3.945e-05
0.1863251	-3.945e-05
0.1858826	-3.945e-05
0.1861725	-3.945e-05
0.1860657	-3.945e-05
0.185791	-0.00011835
0.1862335	-0.000216975
0.1860352	-0.0002367
0.1858521	-0.0003156
0.1860504	-0.000335325
0.1856079	-0.00035505
0.1858826	-0.00035505
0.1859589	-0.000374775
0.1857452	-0.000374775
0.1856995	-0.000374775
0.184967	-0.000374775
0.1854858	-0.000374775
0.185318	-0.000374775
0.1855774	-0.000374775
0.1849213	-0.0003945
0.1850891	-0.0003945
0.1852722	-0.000414225
0.1847687	-0.000769275
0.1843872	-0.00195278
0.1822662	-0.004734
0.1815948	-0.00629227
0.1815948	-0.00731798
0.1828308	-0.00790973
0.1852264	-0.00810698
0.1856079	-0.0083634
0.1855621	-0.0087579
0.185791	-0.00881707
0.1855164	-0.00881707
0.1854553	-0.00881707
0.1858063	-0.00881707
0.1857147	-0.00881707
0.1859131	-0.00881707
0.1857147	-0.00881707
0.1860199	-0.00881707
0.1856537	-0.00881707
0.1855469	-0.00881707
0.1858978	-0.00881707
0.1862183	-0.00881707
0.1855011	-0.00881707
0.1857605	-0.00881707
0.1867218	-0.00881707
0.1861877	-0.00881707
0.1864014	-0.00881707
0.1860962	-0.00881707
0.1858521	-0.00881707
0.1860809	-0.00881707
0.1862946	-0.00881707
0.1865692	-0.00881707
0.1865234	-0.0088368
0.1860352	-0.0088368
0.1864929	-0.0088368
0.1859894	-0.0088368
0.1860352	-0.0088368
0.1858826	-0.0088368
0.1860352	-0.0088368
0.1859131	-0.0088368
0.1864624	-0.00901432
0.1860046	-0.00927075
0.1860046	-0.00927075
0.1859741	-0.00927075
0.1861877	-0.00927075
0.186264	-0.00927075
0.1859131	-0.00927075
0.1857758	-0.00927075
0.1861572	-0.00927075
0.1866913	-0.00927075
0.186615	-0.00927075
0.1861725	-0.00927075
0.1865082	-0.00927075
0.186615	-0.00927075
0.1860962	-0.00927075
0.1861267	-0.00927075
0.1847076	-0.0093102
0.1824188	-0.00932992
0.1851196	-0.00934965
0.1834869	-0.00934965
0.1820068	-0.00932992
0.1815948	-0.00932992
0.1816864	-0.00934965
0.1822205	-0.00936937
0.1837769	-0.0093891
0.1860046	-0.00940882
0.1864014	-0.00940882
0.1868134	-0.00940882
0.1856384	-0.00940882
0.1861267	-0.00940882
0.1861877	-0.00940882
0.1863098	-0.00940882
0.1866302	-0.00940882
0.1859589	-0.00940882
0.1862946	-0.00940882
0.1860962	-0.00940882
0.1864166	-0.00940882
0.1860809	-0.00940882
0.1860199	-0.00940882
0.1864014	-0.00940882
0.1861572	-0.00940882
0.1864777	-0.00940882
0.186676	-0.00940882
0.1867981	-0.00940882
0.1868591	-0.00940882
0.1865082	-0.00940882
0.1873627	-0.00940882
0.1866608	-0.00940882
0.1869202	-0.00940882
0.1872864	-0.00940882
0.1867065	-0.00940882
0.1867828	-0.00940882
0.1867218	-0.00940882
0.1866302	-0.00940882
0.1862183	-0.00940882
0.1861115	-0.00944827
0.1860504	-0.009468
0.1864319	-0.009468
0.1865692	-0.009468
0.1864777	-0.009468
0.1863251	-0.009468
0.1866302	-0.009468
0.1861725	-0.00948772
0.1856232	-0.00948772
0.1833801	-0.00948772
0.1794739	-0.00948772
0.1785583	-0.00948772
0.1793365	-0.00948772
0.1792603	-0.00948772
0.1786957	-0.00948772
0.1792908	-0.00948772
0.1794891	-0.00948772
0.1791229	-0.00948772
0.1784515	-0.00948772
0.1794739	-0.00948772
0.179306	-0.00948772
0.1793823	-0.00948772
0.1790314	-0.00948772
0.1791992	-0.00948772
0.1797638	-0.00950745
0.1808624	-0.00952717
0.1854401	-0.00956662
0.1863403	-0.01053315
0.1854095	-0.01242675
0.1847839	-0.0145176
0.1834717	-0.01658872
0.1827393	-0.0175947
0.1839142	-0.0175947
0.1857147	-0.01761443
0.1868286	-0.01761443
0.188385	-0.01763415
0.1890106	-0.01765388
0.1891022	-0.01765388
