Relative Intensity Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.0368042	0.0
0.0365601	0.0
0.036499	0.0
0.0368805	0.0
0.0365295	0.0
0.0367432	0.0
0.0367126	0.0
0.0367737	0.0
0.03685	0.0
0.0368042	0.0
0.03685	0.0
0.0366974	0.0
0.0363464	0.0
0.0366821	0.0
0.0365295	0.0
0.0368958	0.0
0.0364532	0.0
0.0367737	0.0
0.0368805	0.0
0.0367279	0.0
0.0365601	-1.9725e-05
0.0364685	-1.9725e-05
0.0361481	-1.9725e-05
0.0362701	-1.9725e-05
0.0365601	-3.945e-05
0.0366669	-3.945e-05
0.0363922	-3.945e-05
0.0365753	-3.945e-05
0.0366669	-3.945e-05
0.0363312	-5.9175e-05
0.0368195	-5.9175e-05
0.0361786	-5.9175e-05
0.0364227	-5.9175e-05
0.0365143	-5.9175e-05
0.0363922	-5.9175e-05
0.0366669	-3.945e-05
0.0369263	-1.9725e-05
0.0368652	-1.9725e-05
0.0370483	-1.9725e-05
0.0367889	-1.9725e-05
0.0369415	-3.945e-05
0.0368805	-3.945e-05
0.0369873	-5.9175e-05
0.0367584	-5.9175e-05
0.0372772	-0.0003945
0.0373993	-0.000690375
0.037323	-0.0009468
0.0373077	-0.00124268
0.0367737	-0.00159772
0.036026	-0.00187387
0.0348663	-0.00224865
0.034256	-0.00254452
0.0347595	-0.00270233
0.0346375	-0.00282068
0.0341797	-0.00301793
0.0344086	-0.00311655
0.0346832	-0.00329408
0.0355377	-0.00357023
0.0365906	-0.00392528
0.0382385	-0.00431978
0.0387115	-0.00461565
0.0387268	-0.00487208
0.0386047	-0.00502988
0.0381165	-0.00510878
0.0379639	-0.0051285
0.0379181	-0.00518768
0.0371704	-0.00534547
0.0363007	-0.00558218
0.0361176	-0.00581888
0.0352936	-0.00603585
0.0350189	-0.00621337
0.0347443	-0.00637117
0.0349579	-0.0064698
0.0344543	-0.0066276
0.0344543	-0.00674595
0.0349121	-0.00698265
0.0354614	-0.00727852
0.0368042	-0.00769275
0.0367889	-0.00792945
0.0372467	-0.0081267
0.037262	-0.00814643
0.0374603	-0.00814643
0.0376129	-0.0081267
0.0374603	-0.0081267
0.0375824	-0.0081267
0.0372925	-0.0081267
0.0374451	-0.0081267
0.0377655	-0.0081267
0.037262	-0.0081267
0.0372467	-0.0081267
0.0373077	-0.0081267
0.0372925	-0.0081267
0.0372467	-0.00814643
0.0372925	-0.00814643
0.0371552	-0.00814643
0.0372772	-0.00816615
0.037384	-0.00826478
0.0375977	-0.008679
0.037262	-0.00911295
0.0373383	-0.00944828
0.0365143	-0.00964552
0.0354767	-0.01000057
0.0348511	-0.01029645
0.0344696	-0.01043452
0.0344391	-0.0106515
0.034668	-0.0108882
0.0348358	-0.01116435
0.0361633	-0.01149967
0.0372772	-0.01177582
0.0383148	-0.01205197
0.039032	-0.01226895
0.0393982	-0.01236757
0.0395966	-0.0123873
0.0395966	-0.01240702
0.039505	-0.01258455
0.0398865	-0.01280152
0.039032	-0.0130185
0.037735	-0.01331437
0.0360565	-0.01370887
0.0348358	-0.01410337
0.0345154	-0.01441897
0.0345001	-0.01471485
0.0349579	-0.01508962
0.0368805	-0.01558275
0.0377197	-0.01574055
0.0378723	-0.01574055
0.0380707	-0.01574055
0.0377045	-0.01574055
0.037674	-0.01574055
0.0382843	-0.01574055
0.0380707	-0.01574055
0.0379944	-0.01574055
0.0382538	-0.01574055
0.0379944	-0.01574055
0.0383606	-0.01574055
0.0381165	-0.01574055
0.0381165	-0.01574055
0.0384216	-0.01574055
0.0380707	-0.01574055
0.0386047	-0.01574055
0.0381012	-0.01574055
0.0384979	-0.01581945
0.0382996	-0.01583917
0.0391235	-0.01599697
0.0387421	-0.01631257
0.0380707	-0.01690432
0.0374756	-0.01725937
0.0361938	-0.01761442
0.0354767	-0.01789057
0.0349426	-0.01800892
0.0352173	-0.0180681
0.0345917	-0.01808782
0.0346832	-0.01828507
0.034668	-0.01852177
0.0342712	-0.01875847
0.0348663	-0.01895572
0.0354309	-0.01911352
0.035675	-0.01931077
0.0363312	-0.01946857
0.0363312	-0.01966582
0.037674	-0.01992225
0.0381775	-0.02017867
0.0384216	-0.02049427
0.0392151	-0.02092822
0.0384979	-0.021303
0.0373383	-0.02155942
0.0364838	-0.02183557
0.0352631	-0.02211172
0.0348969	-0.0222498
0.0347443	-0.02242732
0.0340424	-0.0226443
0.0345459	-0.02282182
0.0351868	-0.02299935
0.0362396	-0.02331495
0.0368042	-0.02347275
0.0374908	-0.02355165
0.0379028	-0.02365027
0.0380554	-0.0237489
0.0384216	-0.02380808
0.0384216	-0.02380808
0.0385742	-0.02380808
0.038681	-0.02380808
0.039093	-0.02378835
0.0391693	-0.02378835
0.0390625	-0.02378835
0.0388641	-0.02378835
0.0385437	-0.02378835
0.0389862	-0.02378835
0.0389709	-0.02378835
0.0388794	-0.02378835
0.0388031	-0.02378835
0.03862	-0.02380808
0.0386963	-0.02380808
0.0389709	-0.0238278
0.0409088	-0.02426175
0.0414276	-0.0246957
0.0409241	-0.02497185
0.0390472	-0.02522828
0.0380402	-0.02536635
0.0365448	-0.02552415
0.0355988	-0.02578057
0.0348206	-0.02601728
0.0342865	-0.02623425
0.0344238	-0.02653013
0.0359802	-0.0269049
0.0363922	-0.02710215
0.0370331	-0.02725995
0.0374451	-0.0273783
0.0379944	-0.0274572
0.038208	-0.02749665
0.0382385	-0.02759528
