Relative Intensity Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
0.0099182	0.0
0.0096283	0.0
0.0096436	0.0
0.0100098	0.0
0.0104065	0.0
0.0109558	0.0
0.0108337	0.0
0.0103455	0.0
0.0099335	0.0
0.0096588	0.0
0.0097198	0.0
0.0100708	0.0
0.0104065	0.0
0.0109863	0.0
0.0108032	0.0
0.0103302	0.0
0.0099945	0.0
0.0097046	0.0
0.0097656	0.0
0.0101013	0.0
0.0104675	0.0
0.0110779	0.0
0.0108337	0.0
0.0103302	0.0
0.0100708	0.0
0.0097046	0.0
0.0099792	0.0
0.0102692	-1.9725e-05
0.0106812	-1.9725e-05
0.0111237	-1.9725e-05
0.0106964	-1.9725e-05
0.0102692	-1.9725e-05
0.0098114	-1.9725e-05
0.0095978	-1.9725e-05
0.0100098	-1.9725e-05
0.0103302	-3.945e-05
0.0108948	-3.945e-05
0.0110626	-3.945e-05
0.0105743	-3.945e-05
0.0102081	-3.945e-05
0.0098114	-3.945e-05
0.0097198	-3.945e-05
0.0100708	-3.945e-05
0.010376	-3.945e-05
0.0110321	-5.9175e-05
0.0109863	-5.9175e-05
0.0104675	-0.0003156
0.0101013	-0.00043395
0.0097504	-0.00043395
0.0097351	-0.00043395
0.0100555	-0.000690375
0.0103607	-0.000848175
0.0109711	-0.000887625
0.010849	-0.00106515
0.0104065	-0.00136102
0.0099182	-0.00195278
0.009613	-0.0022092
0.0097198	-0.00222893
0.0100708	-0.00222893
0.010376	-0.00248535
0.0110626	-0.00270232
0.0107574	-0.00270232
0.0102844	-0.00270232
0.009903	-0.00270232
0.0096741	-0.00270232
0.0097656	-0.00270232
0.0102386	-0.0026826
0.0104675	-0.0026826
0.01091	-0.0026826
0.0105896	-0.0026826
0.0100861	-0.0026826
0.0097961	-0.0026826
0.009613	-0.00270232
0.0097198	-0.00270232
0.0100098	-0.0027615
0.010437	-0.00360967
0.0110168	-0.0042606
0.0106049	-0.0042606
0.0101929	-0.0042606
0.0097046	-0.00439867
0.0095367	-0.00471427
0.0098724	-0.0048918
0.0101776	-0.00493125
0.0106812	-0.00508905
0.0109406	-0.00540465
0.0105591	-0.00579915
0.0101929	-0.0059964
0.0097504	-0.00597667
0.0096283	-0.00597667
0.0099792	-0.00597667
0.0103302	-0.00597667
0.0108337	-0.00597667
0.0109863	-0.00597667
0.0104828	-0.00597667
0.0100708	-0.00597667
0.0097046	-0.00597667
0.0096588	-0.00597667
0.0100403	-0.00597667
0.0103149	-0.00601612
0.0109406	-0.006312
0.0111542	-0.00688403
0.0107269	-0.007101
0.010437	-0.007101
0.010025	-0.0071799
0.010025	-0.00755468
0.0103455	-0.00775193
0.0105896	-0.00789
0.0112305	-0.00816615
0.0110626	-0.00834368
0.0106659	-0.00869873
0.010437	-0.00909323
0.0102997	-0.00934965
0.0105438	-0.0093891
0.0108643	-0.00936938
0.0111847	-0.00936938
0.011734	-0.00936938
0.0114288	-0.00936938
0.0109406	-0.00936938
0.0107727	-0.00936938
0.0102997	-0.00936938
0.0106354	-0.00936938
0.0108948	-0.00936938
0.011322	-0.00936938
0.011734	-0.00936938
0.0112915	-0.0093891
0.0108795	-0.009468
0.0106506	-0.0096258
0.0104828	-0.00964553
0.010788	-0.00966525
0.0110779	-0.00990195
0.0113678	-0.01063177
0.0115509	-0.01082902
0.0110779	-0.01092765
0.0106506	-0.0112038
0.0103607	-0.01138132
0.0104218	-0.01155885
0.01091	-0.01177582
0.0114746	-0.01220977
0.0121918	-0.01236757
0.0122986	-0.01242675
0.0118866	-0.01272262
0.0113678	-0.01305795
0.0110016	-0.0130974
0.0111694	-0.0130974
0.0115051	-0.0130974
0.0116882	-0.0130974
0.012207	-0.0130974
0.0122223	-0.0130974
0.0119019	-0.0130974
0.0114899	-0.0130974
0.0111847	-0.0130974
0.0114594	-0.0130974
0.011673	-0.0130974
0.0117645	-0.0130974
0.0123901	-0.0130974
0.0123901	-0.01329465
0.0118408	-0.01368915
0.0113525	-0.01392585
0.0109711	-0.01392585
0.0111389	-0.01408365
0.0115356	-0.01439925
0.011795	-0.01463595
0.0127411	-0.0149121
0.0128937	-0.0151488
0.0125885	-0.01548412
0.0123138	-0.01572082
0.0119934	-0.01574055
0.012207	-0.0159378
0.012207	-0.01623367
0.012085	-0.01658872
0.0128174	-0.01658872
0.0125427	-0.01658872
0.0120544	-0.01658872
0.0117035	-0.01658872
0.0115967	-0.01658872
0.011795	-0.01658872
0.0119781	-0.01658872
0.0121002	-0.01658872
0.0127716	-0.01658872
0.0125122	-0.01658872
0.012085	-0.01658872
0.011673	-0.01660845
0.0115051	-0.01662817
0.0115967	-0.01716075
0.0118408	-0.01733827
0.0119476	-0.01741717
0.0128479	-0.01773277
0.0127869	-0.01789057
0.0124664	-0.01808782
0.0123596	-0.0185415
0.0122833	-0.01865985
0.0122986	-0.01913325
0.012085	-0.01962637
0.0122681	-0.019725
0.0126648	-0.0201195
0.0122528	-0.0204351
0.0117798	-0.02045482
0.0114441	-0.02047455
0.0113678	-0.02047455
0.0116272	-0.02047455
0.0117798	-0.02047455
0.0121002	-0.02047455
0.0124817	-0.02047455
0.0122375	-0.02047455
0.0117645	-0.02047455
0.0113678	-0.02047455
0.0112762	-0.02047455
0.0115356	-0.02047455
0.011673	-0.02047455
0.012085	-0.02065208
0.0129852	-0.02142135
0.0126953	-0.02151998
0.0122986	-0.02165805
0.0119019	-0.02223008
0.0117493	-0.0223287
0.0117035	-0.02258513
0.0115051	-0.0230388
0.0119781	-0.02309798
0.0121765	-0.0233544
0.011673	-0.02365028
0.0112	-0.02378835
0.0109253	-0.02412368
0.0109558	-0.02439983
0.011322	-0.02441955
0.0115814	-0.02441955
0.0121765	-0.02439983
0.0122375	-0.02439983
0.0117645	-0.02439983
0.0113068	-0.02439983
0.0109863	-0.02439983
0.0110626	-0.02439983
0.011322	-0.02439983
0.0115204	-0.02439983
0.0122223	-0.02439983
0.0120392	-0.02441955
0.0115814	-0.02465625
0.0112152	-0.02560305
0.010849	-0.02568195
0.0109711	-0.02570168
0.0111847	-0.02574113
0.0112457	-0.02599755
0.0116882	-0.02629343
0.0113525	-0.0264315
0.0108185	-0.02662875
0.0103149	-0.0269838
0.0100403	-0.02710215
0.0100555	-0.02739803
0.0103607	-0.02765445
0.0107422	-0.02775308
0.011322	-0.02791088
0.0109711	-0.02791088
0.0105286	-0.02791088
0.0101776	-0.02789115
0.0097961	-0.02789115
0.0102692	-0.02789115
0.0104675	-0.02789115
0.010788	-0.02789115
0.0112762	-0.02789115
0.0109406	-0.02789115
0.0104523	-0.02791088
0.0101166	-0.02791088
0.0097656	-0.0281673
0.0100098	-0.02883795
0.0102234	-0.02891685
0.0105896	-0.02907465
0.0108643	-0.02917328
0.0103302	-0.02940998
0.0097198	-0.02962695
0.0093994	-0.02994255
0.0090637	-0.0302187
0.0092926	-0.03047513
0.009552	-0.03094853
0.0100403	-0.0313233
0.0103149	-0.03152055
0.009964	-0.03175725
0.0095978	-0.0320334
0.0092773	-0.03213203
0.0089722	-0.03213203
0.0092468	-0.03213203
0.009552	-0.03207285
0.0099182	-0.03207285
0.0102844	-0.03207285
0.009964	-0.03207285
0.0095367	-0.03207285
0.0092163	-0.03207285
0.0088654	-0.03213203
0.0089264	-0.03213203
0.009201	-0.03228983
0.0095367	-0.0329013
0.010025	-0.0329802
0.0098877	-0.03323663
0.009491	-0.03349305
0.0092163	-0.03359168
0.0088501	-0.03410453
0.0089264	-0.03445958
0.0093384	-0.03483435
0.0097656	-0.0351894
0.0104675	-0.0354261
0.0104675	-0.03562335
0.0101471	-0.03580088
0.0099487	-0.03609675
0.0097809	-0.03611648
0.0097198	-0.03609675
0.0100555	-0.0360573
0.0102844	-0.0360573
0.0107422	-0.0360573
0.0108337	-0.0360573
0.0104675	-0.0360573
0.0100708	-0.0360573
0.0097961	-0.0360573
0.0098267	-0.0360573
0.0101013	-0.0360573
0.0104218	-0.03609675
0.0110321	-0.03611648
0.0108337	-0.03617565
0.0106506	-0.03658988
0.0106201	-0.0369252
0.0103455	-0.03704355
0.0105591	-0.03743805
0.0108643	-0.037872
0.0111694	-0.0380298
0.0118561	-0.03848348
0.011734	-0.03877935
0.0115051	-0.03911468
0.0115356	-0.03946973
0.0114288	-0.0395289
0.0124969	-0.03986423
0.0127258	-0.03996285
0.0132599	-0.03996285
0.0137634	-0.03994313
0.013382	-0.0399234
0.0127563	-0.0399234
0.0125427	-0.0399234
0.0124054	-0.0399234
0.0128784	-0.0399234
0.0129852	-0.0399234
0.0136719	-0.0399234
0.0137482	-0.0399234
0.0133209	-0.03994313
0.0128784	-0.03996285
0.0125275	-0.03996285
0.0128632	-0.0400023
0.0138702	-0.04035735
0.0148468	-0.04061378
0.0156708	-0.04069268
0.0159149	-0.0409491
0.0157013	-0.04116608
0.0152588	-0.04132388
0.0151215	-0.04160003
0.015274	-0.0418959
0.015274	-0.04232985
0.0157318	-0.04254683
0.0157471	-0.04288215
0.0153351	-0.04329638
0.0150452	-0.04357253
0.014801	-0.0437895
0.0154724	-0.04382895
0.0157166	-0.04382895
0.0159302	-0.04382895
0.0164948	-0.0437895
0.0160828	-0.0437895
0.0158386	-0.0437895
0.0152893	-0.0437895
0.0151672	-0.0437895
0.0157623	-0.0437895
0.016098	-0.04382895
0.016449	-0.04382895
0.0167389	-0.04384868
0.0163879	-0.04384868
0.0159607	-0.04396703
0.0164795	-0.04428263
0.0175934	-0.04446015
0.0191956	-0.04475603
0.0209198	-0.04509135
0.0224762	-0.04530833
0.0239563	-0.04562393
0.0238037	-0.04578173
0.0235291	-0.0461565
0.0232391	-0.04643265
0.0232697	-0.04666935
0.0230408	-0.04688633
0.0231476	-0.0471033
0.0222015	-0.04728083
0.0211487	-0.04751753
0.0200043	-0.04783313
0.0197144	-0.04793175
0.0203857	-0.04793175
0.0205841	-0.04793175
0.0210876	-0.04785285
0.0208893	-0.04785285
0.0204926	-0.04785285
0.0200195	-0.04785285
0.0196228	-0.04785285
0.0205688	-0.04785285
0.0210571	-0.04793175
0.0215607	-0.04793175
0.0215912	-0.04793175
0.0210266	-0.04801065
0.0200653	-0.04838543
0.0197449	-0.04850378
0.0201111	-0.04872075
0.0209961	-0.04901663
0.0217133	-0.04929278
0.0231018	-0.04964783
0.0239563	-0.04996343
0.0241241	-0.05016068
0.0249786	-0.05039738
0.0267944	-0.05055518
0.0280304	-0.0507327
0.0292664	-0.05085105
0.029892	-0.05108775
0.0292206	-0.0515217
0.0285797	-0.05165978
0.0283051	-0.05165978
0.0289154	-0.05164005
0.0294189	-0.0516006
0.0293732	-0.0516006
0.030426	-0.0516006
0.0288849	-0.0516006
0.0282135	-0.0516006
0.0284882	-0.0516006
0.0289307	-0.0516006
0.0301056	-0.05165978
0.0303955	-0.05165978
0.029892	-0.0516795
0.0271454	-0.05225153
0.0235291	-0.052863
0.0235138	-0.05298135
0.0231628	-0.05329695
0.0233612	-0.05347448
0.0224304	-0.0537309
0.0209808	-0.0541254
0.0204315	-0.05424375
0.0200043	-0.05446073
0.020462	-0.05463825
0.0207214	-0.05477633
0.0211487	-0.0549933
0.0213623	-0.05521028
0.020874	-0.05536808
0.0205231	-0.0553878
0.0200958	-0.0553878
0.0203705	-0.0553878
0.0207062	-0.0553089
0.0211029	-0.0553089
0.0214386	-0.0553089
0.0210419	-0.0553089
0.0207214	-0.0553089
0.02005	-0.0553089
0.0204773	-0.0553878
0.0210266	-0.0553878
0.0214386	-0.0553878
0.0218964	-0.0553878
0.0216675	-0.05566395
0.0217285	-0.0560979
0.0215302	-0.0561768
0.0216522	-0.05639378
0.0225525	-0.05659103
0.0227661	-0.0566502
0.0234833	-0.05716305
0.0227356	-0.0576759
0.0212097	-0.05816903
0.019928	-0.05840573
0.0198212	-0.05848463
0.0190735	-0.0587805
0.0193787	-0.0588594
0.0198059	-0.0588594
0.0197449	-0.0588594
0.0192108	-0.0588594
0.018631	-0.05881995
0.0182495	-0.05880023
0.0188446	-0.05880023
0.019104	-0.05880023
0.0195007	-0.05880023
0.0197601	-0.05880023
0.0192871	-0.05880023
0.0186768	-0.0588594
0.0183868	-0.0588594
0.0185242	-0.0588594
0.0177612	-0.05913555
0.0166168	-0.0595695
0.0166931	-0.05976675
0.0165558	-0.05978648
0.0158539	-0.05984565
0.0145874	-0.0602007
0.0134888	-0.06057548
0.0133057	-0.06079245
0.0126343	-0.06126585
0.0128174	-0.06158145
0.013031	-0.06175898
0.0123749	-0.06197595
0.0119476	-0.06197595
0.0115814	-0.06197595
0.0114288	-0.06197595
0.011673	-0.06197595
0.0119476	-0.06197595
0.0123749	-0.06195623
0.012619	-0.06195623
0.012146	-0.06195623
0.0117493	-0.06195623
0.0113525	-0.06195623
0.0112	-0.06197595
0.0114594	-0.06197595
0.0118256	-0.06197595
0.0122833	-0.06197595
0.0126953	-0.06197595
0.0122681	-0.06205485
0.0114746	-0.06242963
0.0108032	-0.06286358
0.0105438	-0.06308055
0.0105896	-0.06337643
0.010788	-0.0635145
0.0112	-0.06384983
0.0112457	-0.0643035
0.010788	-0.06442185
0.0104675	-0.06467828
0.0102844	-0.06483608
0.0102081	-0.06489525
0.0109253	-0.06519113
0.0113068	-0.0653292
0.0119629	-0.06534893
0.0119171	-0.0653292
0.0115204	-0.0653292
0.0111389	-0.0653292
0.0108337	-0.0653292
0.0107269	-0.0653292
0.0112152	-0.0653292
0.0113678	-0.0653292
0.012085	-0.0653292
0.0119171	-0.0653292
0.0115051	-0.0653292
0.0111389	-0.0653292
0.0108337	-0.0653292
0.0107574	-0.06534893
0.0120239	-0.06570398
0.01297	-0.06621683
0.0138245	-0.06629573
0.0143433	-0.06669023
0.0146484	-0.06700583
0.014389	-0.06708473
0.0149384	-0.0674595
0.0158081	-0.0676173
0.0170441	-0.06783428
0.0181732	-0.06811043
0.0187531	-0.0681696
0.0189056	-0.06834713
0.0183868	-0.06834713
0.0179749	-0.06834713
0.017868	-0.06834713
0.0184326	-0.06834713
0.018692	-0.06834713
0.0192261	-0.06834713
0.019165	-0.06834713
0.0185699	-0.06834713
0.0180206	-0.06834713
0.0176392	-0.06834713
0.0179901	-0.06834713
0.0184631	-0.06834713
0.0189056	-0.06834713
0.0191803	-0.06834713
0.0187378	-0.06834713
0.0184021	-0.06844575
0.0191345	-0.06889943
