Relative Intensity Alessio_0.02_1.5_lampadina_old	Position (m) Alessio_0.02_1.5_lampadina_old
0.1854553	0.0
0.1852722	0.0
0.1855469	0.0
0.1852875	0.0
0.1851807	0.0
0.1851959	0.0
0.1850433	0.0
0.184845	0.0
0.1852112	0.0
0.1856384	0.0
0.1855316	0.0
0.1851807	0.0
0.1850281	0.0
0.1854248	0.0
0.1858063	0.0
0.185257	0.0
0.1852722	0.0
0.1852112	0.0
0.184906	0.0
0.1851044	0.0
0.1852264	0.0
0.1847687	0.0
0.1845856	0.0
0.1846008	0.0
0.1848145	0.0
0.1847229	0.0
0.1852722	0.0
0.1846008	0.0
0.1847687	0.0
0.184967	0.0
0.1848145	0.0
0.184845	0.0
0.1848145	0.0
0.1849213	0.0
0.1845551	-1.9725e-05
0.1849823	-1.9725e-05
0.1847839	-1.9725e-05
0.1846619	-1.9725e-05
0.18396	-1.9725e-05
0.1850281	-1.9725e-05
0.1847992	-1.9725e-05
0.1842804	-1.9725e-05
0.1844177	-1.9725e-05
0.1845856	-1.9725e-05
0.1847687	-1.9725e-05
0.1851044	-1.9725e-05
0.1847839	-1.9725e-05
0.1844788	-3.945e-05
0.1850739	-3.945e-05
0.1847076	-3.945e-05
0.1847839	-3.945e-05
0.1849518	-3.945e-05
0.1849213	-0.00027615
0.1844177	-0.000295875
0.1847534	-0.000295875
0.184845	-0.000295875
0.1843262	-0.00043395
0.1841888	-0.00067065
0.1846008	-0.00067065
0.1844025	-0.0007101
0.1842957	-0.00082845
0.1842957	-0.0009468
0.1842651	-0.00098625
0.1839752	-0.00098625
0.1840973	-0.00130185
0.1840668	-0.00177525
0.1838379	-0.00201195
0.1834106	-0.00203168
0.183548	-0.0022092
0.1840057	-0.0026826
0.1837769	-0.00313628
0.1837463	-0.003156
0.1834717	-0.00317573
0.1834717	-0.0033138
0.1840057	-0.00424088
0.1843262	-0.00471428
0.1837921	-0.00471428
0.1837769	-0.00471428
0.1836243	-0.00471428
0.1834106	-0.00471428
0.1832123	-0.00471428
0.183136	-0.00471428
0.183136	-0.00471428
0.1833344	-0.00471428
0.1831665	-0.00471428
0.1830597	-0.00471428
0.1832581	-0.00471428
0.1837463	-0.00493125
0.1846313	-0.00564135
0.1844788	-0.00601613
0.1846313	-0.00601613
0.1849518	-0.00601613
0.1848145	-0.00601613
0.184494	-0.00601613
0.1854095	-0.00603585
0.1855316	-0.00605558
0.1857452	-0.0060753
0.1862335	-0.00625283
0.1862793	-0.00629227
0.1863251	-0.00633172
0.1873016	-0.00666705
0.1868591	-0.00716017
0.1874542	-0.00727852
0.1878052	-0.00747577
0.188385	-0.00769275
0.1876984	-0.00789
0.1881256	-0.00790973
0.1882782	-0.00790973
0.1881866	-0.00789
0.1881104	-0.00789
0.1888428	-0.00789
0.1885071	-0.00789
0.1890564	-0.00789
0.1891785	-0.00789
0.1885223	-0.00790973
0.1886749	-0.00792945
0.1885376	-0.0082056
0.1888428	-0.00909322
0.1891632	-0.00925102
0.1894226	-0.00925102
0.1892853	-0.00927075
0.189743	-0.00944827
0.1901398	-0.00964552
0.1903076	-0.0097047
0.1905518	-0.00990195
0.1903687	-0.01045425
0.1902313	-0.01053315
0.1900024	-0.0105726
0.1900024	-0.01086847
0.1893463	-0.0112827
0.1891174	-0.01157857
0.1891785	-0.0119139
0.1885834	-0.01205197
0.1882629	-0.01211115
0.1882019	-0.01211115
0.1881866	-0.01209142
0.1881104	-0.01209142
0.1875458	-0.01209142
0.1873322	-0.01209142
0.1864777	-0.01209142
0.1868286	-0.01209142
0.1865845	-0.01209142
0.186203	-0.01211115
0.1860809	-0.01236757
0.1857758	-0.01313685
0.1858521	-0.0134919
0.1860962	-0.01362997
0.1858521	-0.0141231
0.1850281	-0.01445842
0.1855621	-0.01463595
0.1858978	-0.01485292
0.1863403	-0.01493182
0.1868439	-0.01532632
0.1867371	-0.01568137
0.1864319	-0.01574055
0.1868591	-0.01578
0.1865845	-0.01578
0.1868286	-0.01578
0.1872253	-0.01576027
0.1875153	-0.01574055
0.1869659	-0.01574055
0.1871338	-0.01574055
0.1873322	-0.01574055
0.1873474	-0.01574055
0.1875916	-0.01574055
0.1871796	-0.01578
0.1873322	-0.0162534
0.1862793	-0.0171213
0.1868591	-0.01714102
0.1865082	-0.01714102
0.1867523	-0.01716075
0.187149	-0.01731855
0.1866913	-0.01765387
0.1871185	-0.01804837
0.1882019	-0.01832452
0.188324	-0.0186993
0.1878662	-0.01905435
0.188736	-0.01921215
0.1876068	-0.01946857
0.1873474	-0.01978417
0.1870422	-0.01998142
0.1861115	-0.0204351
0.1858368	-0.0205929
0.186203	-0.0205929
0.1859894	-0.0205929
0.1860352	-0.0205929
0.1860657	-0.0205929
0.1852722	-0.0205929
0.1860657	-0.0205929
0.1856995	-0.0205929
0.1860199	-0.0205929
0.1860657	-0.0205929
0.1862793	-0.0205929
0.1860046	-0.02061262
0.1867065	-0.02148052
0.1869507	-0.02203282
0.1869812	-0.02211172
0.1867065	-0.02213145
0.1867981	-0.0221709
0.1870117	-0.02244705
0.1868286	-0.02268375
0.1863556	-0.02276265
0.1865234	-0.02297962
0.1856384	-0.02333467
0.1852112	-0.0235122
0.1851196	-0.02368972
0.1844788	-0.0241434
0.184082	-0.02432093
0.1844635	-0.02451818
0.184433	-0.02457735
0.184494	-0.02457735
0.1847687	-0.02457735
0.1847382	-0.02457735
0.1850891	-0.02457735
0.1849213	-0.02457735
0.1847076	-0.02457735
0.1852112	-0.02457735
0.1851349	-0.02457735
0.1846619	-0.02463653
0.1856995	-0.02526773
0.184494	-0.02599755
0.1846771	-0.02609618
0.1847076	-0.02609618
0.1849365	-0.02617508
0.1842651	-0.02668793
0.1838684	-0.02694435
