Relative Intensity Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.0323334	0.0
0.0322418	-1.9725e-05
0.0319519	-1.9725e-05
0.0319366	-1.9725e-05
0.0319366	-1.9725e-05
0.032074	-1.9725e-05
0.0320129	-1.9725e-05
0.0321808	-1.9725e-05
0.0324707	-1.9725e-05
0.0318604	-1.9725e-05
0.0322876	-1.9725e-05
0.0324554	-3.945e-05
0.032074	-3.945e-05
0.0317841	-3.945e-05
0.0317993	-3.945e-05
0.0317535	-3.945e-05
0.0321045	-3.945e-05
0.0317535	-3.945e-05
0.0321655	-3.945e-05
0.0319366	-0.000216975
0.0319672	-0.000335325
0.0319824	-0.00035505
0.0317688	-0.000611475
0.0318909	-0.00090735
0.0319214	-0.00108487
0.0318756	-0.00145965
0.031601	-0.00215002
0.0320435	-0.00242618
0.0319672	-0.00246562
0.0318909	-0.00264315
0.0317841	-0.00293902
0.0321198	-0.00345188
0.0322266	-0.00374775
0.0321503	-0.0041028
0.0324249	-0.00455647
0.0324707	-0.0048129
0.0324249	-0.00483262
0.0324097	-0.0048129
0.0327301	-0.0048129
0.0323639	-0.0048129
0.0326233	-0.0048129
0.0324554	-0.0048129
0.0324402	-0.0048129
0.0325165	-0.0048129
0.0323944	-0.0048129
0.0320587	-0.0048129
0.0321808	-0.00483262
0.0325165	-0.0051285
0.032608	-0.00595695
0.0326996	-0.00603585
0.0328369	-0.0061542
0.0327759	-0.0062331
0.0329437	-0.00637117
0.0335693	-0.0067854
0.033371	-0.0071799
0.0336914	-0.0071799
0.0332642	-0.00747577
0.0334625	-0.00783083
0.0330658	-0.0082056
0.033371	-0.00869873
0.0341797	-0.0092313
0.0343475	-0.00927075
0.0343933	-0.00927075
0.0343628	-0.00927075
0.0345764	-0.00927075
0.0346222	-0.00927075
0.0345764	-0.00927075
0.0343933	-0.00927075
0.0343475	-0.00927075
0.0344696	-0.00927075
0.0344849	-0.00927075
0.0341949	-0.00927075
0.0340576	-0.00927075
0.0341187	-0.00932993
0.0341797	-0.00952718
0.0346222	-0.00956663
0.0345306	-0.00960608
0.0341339	-0.00982305
0.0339966	-0.01045425
0.033432	-0.0107304
0.0333405	-0.01084875
0.032959	-0.0112038
0.0328979	-0.01140105
0.0334015	-0.01163775
0.0335999	-0.01193362
0.0333252	-0.01209142
0.0337524	-0.01211115
0.0331116	-0.01211115
0.033844	-0.01220977
0.0333099	-0.01234785
0.0334778	-0.01244647
0.0332184	-0.01290015
0.0330963	-0.01319602
0.0329742	-0.01321575
0.0328369	-0.01321575
0.0331421	-0.01321575
0.0330353	-0.01321575
0.0330353	-0.01321575
0.0330353	-0.01321575
0.0327148	-0.01321575
0.0331726	-0.01321575
0.0332642	-0.01321575
0.0328827	-0.01321575
0.0329132	-0.01323547
0.0328827	-0.01384695
0.0323181	-0.0145965
0.0323792	-0.01469512
0.0323029	-0.01493182
0.0321045	-0.01512907
0.0320892	-0.0154644
0.0318756	-0.01574055
0.0317383	-0.0158589
0.0319214	-0.01629285
0.031601	-0.0168057
0.0313721	-0.01708185
0.031189	-0.01729882
0.0313416	-0.01757497
0.0316315	-0.018147
0.0315247	-0.01832452
0.0317535	-0.01832452
0.031601	-0.0183048
0.0311584	-0.0183048
0.0315857	-0.0183048
0.0315704	-0.0183048
0.0315247	-0.0183048
0.03125	-0.0183048
0.0315247	-0.0183048
0.0317078	-0.0183048
0.0317841	-0.01832452
0.0319824	-0.01903462
0.0320587	-0.01990252
0.0319519	-0.02031675
0.0322113	-0.02055345
0.0322571	-0.02094795
0.0324097	-0.02118465
0.0333252	-0.02148052
0.0334778	-0.02199337
0.0336151	-0.02234842
0.0333862	-0.02244705
0.0333252	-0.02262457
0.0332031	-0.02294017
0.0332489	-0.02337412
0.033493	-0.02372917
0.0332794	-0.02386725
0.0330811	-0.02384752
0.0333252	-0.02384752
0.0330811	-0.02384752
0.0334167	-0.02384752
0.0331573	-0.02384752
0.0327759	-0.02384752
0.0334015	-0.02384752
0.0327301	-0.02384752
0.0328369	-0.02384752
0.0328674	-0.02384752
0.0332031	-0.02384752
0.0324097	-0.02388697
0.0329742	-0.02410395
0.0335388	-0.02459707
0.034256	-0.02499157
0.0344696	-0.02526772
0.034256	-0.02550442
0.0341797	-0.02597782
0.0329285	-0.0265104
0.03302	-0.02692462
0.0328369	-0.02725995
0.0322571	-0.0273783
0.0331116	-0.02757555
0.0328827	-0.02767417
0.0330658	-0.02789115
0.0332947	-0.02814757
0.0333252	-0.02822647
0.0333252	-0.0285618
0.0330505	-0.02873932
0.0337219	-0.02873932
0.033432	-0.02869987
0.0331573	-0.02869987
0.0333557	-0.02869987
0.0332031	-0.02869987
0.0337372	-0.02869987
0.0333862	-0.02869987
0.0331879	-0.02869987
0.0332947	-0.02873932
0.0335999	-0.02873932
0.0335236	-0.02873932
0.0331421	-0.02873932
0.0335083	-0.0289563
0.0330353	-0.02964667
0.0321808	-0.02996227
0.0319672	-0.03027787
0.0316925	-0.03065265
0.0316467	-0.03090907
0.0314331	-0.03134302
0.0313416	-0.03142192
0.0310974	-0.0314811
0.0309143	-0.03181642
0.0307007	-0.03199395
0.0308838	-0.03230955
0.0306091	-0.0325857
0.0306549	-0.03270405
0.0306244	-0.03272377
0.0304108	-0.03272377
0.0306396	-0.03272377
0.0310669	-0.03268432
0.0308075	-0.03268432
0.0305786	-0.03268432
0.0307312	-0.03268432
0.0309906	-0.03268432
0.0307465	-0.03268432
0.0310669	-0.03268432
0.0309601	-0.03272377
0.0311737	-0.03272377
0.0311584	-0.03272377
0.0310974	-0.03294075
0.0315094	-0.03333525
0.0315552	-0.03372975
0.0319366	-0.03388755
0.0312805	-0.03428205
0.0318909	-0.03469627
0.0315552	-0.03477517
0.0322266	-0.03509077
0.0324097	-0.03562335
0.033432	-0.03609675
0.0338593	-0.03666877
0.0340424	-0.03710272
0.0342865	-0.03714217
0.0342712	-0.03722107
0.0344849	-0.03729997
0.0345764	-0.03729997
0.0347137	-0.03728025
0.0345764	-0.03726052
0.0345917	-0.03728025
0.0345154	-0.03728025
0.0345764	-0.03728025
0.0344849	-0.03726052
0.0346222	-0.03726052
0.0345764	-0.03728025
