Relative Intensity Alessio_0.16_0.5_lampadina	Position (m) Alessio_0.16_0.5_lampadina
0.0275421	0.0
0.0276642	0.0
0.0278015	0.0
0.0279083	0.0
0.0274048	0.0
0.0280457	0.0
0.0276794	0.0
0.0276794	0.0
0.0275269	0.0
0.02771	0.0
0.0277863	0.0
0.0279846	0.0
0.0279846	0.0
0.0278778	0.0
0.0274963	0.0
0.0278015	0.0
0.0281525	0.0
0.0280304	-1.9725e-05
0.0275574	-1.9725e-05
0.0275574	-1.9725e-05
0.0277252	-1.9725e-05
0.02771	-1.9725e-05
0.0272675	-3.945e-05
0.0276337	-3.945e-05
0.0277557	-3.945e-05
0.0273438	-3.945e-05
0.0275421	-3.945e-05
0.0278931	-3.945e-05
0.0276184	-3.945e-05
0.027359	-5.9175e-05
0.0273895	-0.000138075
0.0276031	-0.000769275
0.0276031	-0.0009468
0.0274048	-0.0009468
0.0277557	-0.0009468
0.0275116	-0.0011835
0.0277252	-0.00145965
0.0273743	-0.00169635
0.0277557	-0.00185415
0.0275879	-0.00201195
0.0280914	-0.002367
0.0276642	-0.00246562
0.0278931	-0.00262342
0.0277863	-0.00270232
0.0279388	-0.0029982
0.0277863	-0.00357022
0.0276489	-0.0037872
0.0280151	-0.0037872
0.0276642	-0.00384637
0.0281067	-0.00400417
0.0278015	-0.00428032
0.0278625	-0.00451703
0.0277557	-0.00459593
0.0277557	-0.00459593
0.0278473	-0.00459593
0.0280151	-0.0045762
0.0279236	-0.0045762
0.02771	-0.0045762
0.0278931	-0.0045762
0.0278015	-0.0045762
0.0278015	-0.0045762
0.0278625	-0.0045762
0.02771	-0.0045762
0.0278931	-0.0045762
0.027832	-0.00459593
0.0275574	-0.00459593
0.0277863	-0.00463537
0.0281677	-0.0046551
0.0276489	-0.00475372
0.0280914	-0.0048129
0.0279388	-0.00508905
0.0283051	-0.00550327
0.0280914	-0.0058386
0.0287476	-0.00595695
0.0283203	-0.00603585
0.0283813	-0.00613447
0.0281067	-0.00625282
0.0281219	-0.00641062
0.0285797	-0.00684457
0.0284424	-0.00731797
0.0281219	-0.00751522
0.0278015	-0.00777165
0.0280914	-0.00808725
0.0280457	-0.00838312
0.0279236	-0.0084423
0.0280762	-0.00850147
0.0279236	-0.0087579
0.0281677	-0.0091524
0.0284576	-0.00927075
0.0281677	-0.00934965
0.0282288	-0.00936937
0.028656	-0.00934965
0.0281677	-0.00934965
0.0283203	-0.00934965
0.0283508	-0.00934965
0.0281677	-0.00934965
0.0281219	-0.00934965
0.0278473	-0.00934965
0.0280609	-0.00934965
0.0283051	-0.00934965
0.0283661	-0.00934965
0.0283356	-0.00934965
0.0281677	-0.00934965
0.0280914	-0.00940882
0.0279999	-0.0097047
0.0281372	-0.0103359
0.0283356	-0.01063177
0.0279846	-0.01067122
0.0282593	-0.01098682
0.0280762	-0.01122352
0.0279846	-0.0113616
0.0277252	-0.01157857
0.0275879	-0.01169692
0.0279388	-0.01179555
0.0277557	-0.01211115
0.0279999	-0.0123084
0.0281982	-0.01242675
0.0279541	-0.0127818
0.0281677	-0.0130974
0.0281677	-0.01331437
0.0284729	-0.01376805
0.0284882	-0.01398502
0.0286255	-0.0140442
0.0286102	-0.01422172
0.0286102	-0.01422172
0.0281219	-0.014202
0.0280914	-0.014202
0.0284729	-0.014202
0.0281982	-0.014202
0.0285339	-0.014202
0.0281067	-0.014202
0.0285645	-0.014202
0.0282288	-0.014202
0.0282898	-0.014202
0.0282745	-0.014202
0.0282593	-0.01422172
0.0285187	-0.01424145
0.0280609	-0.0143598
0.0282593	-0.01481347
0.0279083	-0.01508962
0.0278778	-0.01518825
0.0275574	-0.0153855
0.0275116	-0.01568137
0.0278931	-0.01576027
0.0275421	-0.01595752
0.0282898	-0.01611532
0.0277863	-0.0163323
0.0279083	-0.01670707
0.028244	-0.01700295
0.0281219	-0.0171213
0.0283966	-0.01716075
0.0283203	-0.017358
0.0286255	-0.01771305
0.0285187	-0.01779195
0.0288086	-0.01800892
0.0283661	-0.01812727
0.0283203	-0.01832452
0.0281219	-0.01879792
0.0280304	-0.018936
0.0284119	-0.018936
0.027832	-0.01903462
0.0278168	-0.01905435
0.0279388	-0.01905435
0.0279236	-0.01905435
0.0278015	-0.01903462
0.0276794	-0.01903462
0.02771	-0.01903462
0.0274963	-0.01903462
0.0277557	-0.01903462
0.0276642	-0.01903462
0.0277863	-0.01903462
0.0278931	-0.01905435
0.027771	-0.01905435
0.0283051	-0.01905435
0.0281067	-0.01919242
0.0278473	-0.01982362
0.0279999	-0.0201984
0.0284576	-0.02023785
0.0284271	-0.02023785
0.028595	-0.02039565
0.028717	-0.0206718
0.0288849	-0.02094795
0.0288544	-0.02112547
0.0289307	-0.02120437
0.0288849	-0.02142135
0.0291748	-0.02179612
0.0290222	-0.0220131
0.0287781	-0.02211172
0.0285645	-0.0221709
0.0287476	-0.02236815
0.029068	-0.0224865
0.0285339	-0.02276265
0.0285339	-0.02307825
0.0287933	-0.02309797
0.0286407	-0.02309797
0.0290833	-0.0231966
0.0287018	-0.02333467
0.0288849	-0.0233544
0.0289154	-0.0233544
0.0286255	-0.0233544
0.0287781	-0.0233544
0.0286865	-0.0233544
0.0285339	-0.0233544
0.0288544	-0.0233544
0.0289917	-0.0233544
0.0288086	-0.0233544
0.0283813	-0.0233544
0.0286713	-0.0233544
0.0286713	-0.0233544
0.028656	-0.0234333
0.0288086	-0.02376863
0.0284729	-0.02404478
0.0287018	-0.02439983
0.0290375	-0.02467598
0.0289917	-0.02481405
0.02948	-0.02510993
0.0292053	-0.02546498
0.0292969	-0.02562278
0.0296173	-0.02591865
0.0296326	-0.02613563
0.0291443	-0.02623425
0.0294037	-0.0264315
0.0289001	-0.02656958
0.029007	-0.02662875
0.0292358	-0.02662875
0.0285797	-0.02680628
0.0286255	-0.02708243
0.0282288	-0.02712188
0.0280609	-0.02725995
0.0278931	-0.02751638
0.027832	-0.02773335
0.0280609	-0.02806868
0.0283661	-0.02820675
0.0282745	-0.02820675
0.0278931	-0.02820675
0.0283203	-0.02820675
0.0284119	-0.02820675
0.0282898	-0.02818703
0.0284882	-0.02818703
0.028183	-0.02818703
0.0285339	-0.02818703
0.0283203	-0.02818703
0.0287628	-0.02818703
0.0283051	-0.02818703
0.0285034	-0.02818703
0.0287933	-0.02818703
0.0288544	-0.02820675
0.0287323	-0.02820675
0.0288544	-0.02826593
0.0294495	-0.02889713
0.030014	-0.02925218
0.0299835	-0.0293508
0.0302582	-0.02970585
0.0303345	-0.02978475
0.0306396	-0.02992283
0.0304871	-0.0301398
0.0305634	-0.0302187
0.0300903	-0.03047513
0.0297699	-0.030771
0.029068	-0.03106688
0.0285034	-0.0312444
0.0289612	-0.0314811
0.0290375	-0.03181643
0.0292816	-0.03217148
0.0296478	-0.03228983
0.029953	-0.0325068
0.0300598	-0.03276323
0.0299835	-0.0328224
0.0303192	-0.0330591
0.030838	-0.03317745
0.0307922	-0.03317745
0.0306396	-0.03315773
0.0305328	-0.03311828
0.0306549	-0.03311828
0.0305634	-0.03311828
0.0304108	-0.03311828
0.0301514	-0.03311828
0.0303345	-0.03311828
0.0304413	-0.03311828
0.0302887	-0.03311828
0.0303192	-0.03315773
0.0305939	-0.03317745
0.0303192	-0.0332169
0.0309143	-0.0336903
0.0307159	-0.0340059
0.0309906	-0.03406508
0.0307007	-0.03428205
0.0300598	-0.0344793
0.0293732	-0.034716
0.0286255	-0.03507105
0.0280609	-0.0353472
0.0283661	-0.03562335
0.0288239	-0.03595868
0.0291748	-0.03625455
0.0291901	-0.03625455
0.0288391	-0.03625455
0.0291138	-0.036294
0.0288849	-0.03635318
0.030014	-0.03662933
0.0298004	-0.03670823
0.0306244	-0.03688575
0.0308533	-0.0371619
0.0289917	-0.03729998
0.0314941	-0.0375564
0.0318146	-0.03767475
0.0317841	-0.03767475
0.0315704	-0.03767475
0.0321503	-0.03767475
0.0313263	-0.0376353
0.0315704	-0.0376353
0.0310669	-0.0376353
0.0313263	-0.0376353
0.0314789	-0.0376353
0.030838	-0.0376353
0.0311584	-0.0376353
0.0313416	-0.0376353
0.0313721	-0.03767475
0.0309448	-0.03767475
0.0314026	-0.03767475
0.0311127	-0.03769448
0.0310669	-0.03801008
0.0296326	-0.03860183
0.0289307	-0.03872018
0.0281372	-0.03907523
0.0281219	-0.03945
0.0283508	-0.03964725
0.0294342	-0.0400023
0.0301208	-0.040239
0.0301971	-0.04027845
0.0310822	-0.04059405
0.0310364	-0.04075185
0.0315399	-0.04088993
0.0319977	-0.04122525
0.0320435	-0.04124498
0.032547	-0.04124498
0.0322571	-0.04128443
0.032486	-0.04130415
0.0324097	-0.04156058
0.0325012	-0.04167893
0.0326691	-0.04167893
0.0329132	-0.04169865
0.0327606	-0.04169865
0.0323639	-0.04169865
0.0326385	-0.0416592
0.0323792	-0.0416592
0.0325012	-0.0416592
0.0323029	-0.0416592
0.0320129	-0.0416592
0.0325623	-0.0416592
0.032486	-0.0416592
0.0324707	-0.0416592
0.0321045	-0.0416592
0.0324554	-0.04169865
0.0323944	-0.04169865
0.0319824	-0.04169865
0.0323334	-0.04183673
0.030899	-0.04240875
0.030838	-0.0424482
0.0305328	-0.04246793
0.0298462	-0.04254683
0.0298767	-0.04270463
0.0284576	-0.04302023
0.0285492	-0.04313858
0.0288696	-0.04321748
0.0280457	-0.04341473
0.0287781	-0.04367115
0.0304565	-0.04406565
0.0311737	-0.04422345
0.031311	-0.04422345
0.0322266	-0.04446015
0.0331268	-0.0446574
0.0335846	-0.04483493
0.0344086	-0.04515053
0.0344696	-0.04532805
0.0341187	-0.04542668
0.0340729	-0.04542668
0.0341492	-0.04540695
0.033905	-0.04534778
0.033844	-0.04534778
0.0337219	-0.04532805
0.0343323	-0.04532805
0.0336151	-0.04532805
0.033905	-0.04534778
0.0341949	-0.04534778
0.0339813	-0.04534778
0.0339661	-0.04534778
0.0336304	-0.04532805
0.033844	-0.04540695
0.0339813	-0.04540695
0.0335388	-0.04542668
0.0336456	-0.04548585
0.0329132	-0.0458409
0.0318146	-0.0462354
0.0312805	-0.04643265
0.0307312	-0.04643265
0.0307312	-0.04651155
0.0298309	-0.0467877
0.0289917	-0.0469455
0.0291901	-0.0470244
0.029007	-0.0471033
0.0288086	-0.04714275
0.0289001	-0.04724138
0.0286713	-0.04747808
0.0291138	-0.0477345
0.0294647	-0.0478923
0.0310364	-0.04810928
0.0338745	-0.0484446
0.0359955	-0.04874048
0.0364532	-0.04877993
0.0358887	-0.04877993
0.0363464	-0.04877993
0.0356903	-0.04870103
0.0362091	-0.04870103
0.0362854	-0.04870103
0.0367279	-0.04870103
0.0363617	-0.04870103
0.0362701	-0.04870103
0.0367889	-0.04870103
0.0361786	-0.04870103
0.0363007	-0.04870103
0.036026	-0.0487602
0.0362244	-0.04877993
0.0366211	-0.04877993
0.0363617	-0.0488391
0.0374298	-0.04925333
0.0368805	-0.04950975
0.0365906	-0.0496281
0.0346985	-0.04996343
0.0330048	-0.05021985
0.032196	-0.05035793
0.0309143	-0.05061435
0.0302429	-0.05077215
0.0296173	-0.0511272
0.0296021	-0.05146253
0.0311584	-0.05171895
0.0321655	-0.05201483
0.0340424	-0.05227125
0.0349731	-0.0523896
0.0350952	-0.0523896
0.0350342	-0.0523896
0.0350952	-0.05235015
0.0356445	-0.05235015
0.0353546	-0.05235015
0.0353699	-0.05235015
0.035202	-0.05235015
0.0353699	-0.05235015
0.0354004	-0.05235015
0.0353088	-0.05235015
0.0353546	-0.05235015
0.0351257	-0.05235015
0.0352325	-0.0523896
0.0349274	-0.0523896
0.0348816	-0.0523896
0.0357208	-0.05258685
0.0416565	-0.05323778
0.0406342	-0.05335613
0.039978	-0.05345475
0.0394592	-0.0538098
0.0372162	-0.0540465
0.0344849	-0.05434238
0.0323792	-0.05453963
0.0312805	-0.05481578
0.030304	-0.0551511
0.0305939	-0.05519055
0.0307922	-0.05540753
0.0321198	-0.0555456
0.0323792	-0.05560478
0.0336456	-0.05580203
0.0347137	-0.05592038
0.035614	-0.056019
0.0385284	-0.0564135
0.0393829	-0.05651213
0.0395966	-0.05661075
0.0397034	-0.05663048
0.0399323	-0.05663048
0.039856	-0.05663048
0.0395203	-0.05653185
0.0395966	-0.05653185
0.0393524	-0.05653185
0.0397644	-0.05653185
0.0400085	-0.05653185
0.0399475	-0.05653185
0.0395966	-0.05653185
0.0395203	-0.05653185
0.0397339	-0.05653185
0.0394745	-0.05659103
0.0396423	-0.05663048
0.039505	-0.05663048
0.0397797	-0.05663048
0.0393829	-0.05668965
0.040329	-0.05714333
0.03862	-0.05745893
0.0386505	-0.05745893
0.0378571	-0.05763645
0.0363312	-0.05787315
0.0338287	-0.05812958
0.0326843	-0.05824793
0.0303192	-0.05856353
0.0287018	-0.05883968
0.0279083	-0.05903693
0.0279236	-0.059175
0.0292969	-0.0594906
0.0317841	-0.05976675
0.0335388	-0.05986538
0.0371857	-0.06010208
0.0405273	-0.06029933
0.0415802	-0.06033878
0.0436249	-0.0604374
0.0483246	-0.06073328
0.04776	-0.060753
0.0480804	-0.060753
0.0475922	-0.06071355
0.0480194	-0.06069383
0.0478363	-0.06069383
0.0485535	-0.06069383
0.0485077	-0.06069383
0.0483551	-0.06069383
0.0478973	-0.06069383
0.0479431	-0.06073328
0.0480957	-0.06073328
0.0481567	-0.060753
0.0483093	-0.06077273
0.0493317	-0.06110805
0.0468292	-0.0614631
0.0451202	-0.0616209
0.0391693	-0.06195623
0.0371094	-0.06205485
0.0310364	-0.06242963
0.0291595	-0.06286358
0.0301361	-0.06308055
0.0326233	-0.0633567
0.0356445	-0.0635934
0.0403748	-0.0638301
0.0468903	-0.0642246
0.0483246	-0.0643824
0.0500031	-0.06450075
0.0506134	-0.06463883
0.0509644	-0.06473745
0.0508423	-0.06473745
0.050827	-0.06473745
0.0512238	-0.06471773
0.051178	-0.064698
0.0514984	-0.06471773
0.0513153	-0.06471773
0.0516052	-0.06471773
0.0514984	-0.06471773
0.0515289	-0.06471773
0.0513458	-0.06471773
0.05159	-0.06473745
0.0520325	-0.06473745
0.0501404	-0.06505305
0.0447235	-0.06590123
0.0383453	-0.06613793
0.0349274	-0.06639435
0.0309906	-0.06669023
0.02948	-0.06686775
0.0294342	-0.06694665
0.0295715	-0.06708473
0.0333252	-0.06757785
0.0370941	-0.06771593
0.0419922	-0.06795263
0.0470886	-0.06813015
0.0483704	-0.06818933
0.0535583	-0.06844575
0.056839	-0.06860355
0.0582123	-0.0687219
0.0596619	-0.06889943
0.0602875	-0.06893888
0.0598297	-0.06897833
0.0594482	-0.06923475
0.0588074	-0.06929393
0.0583191	-0.06937283
0.0552673	-0.06955035
0.0548096	-0.0695898
0.0525208	-0.06968843
0.0502167	-0.06972788
0.0485687	-0.0698265
0.0464783	-0.06986595
0.0463562	-0.06986595
0.0464783	-0.06984623
0.0460052	-0.06984623
0.0458221	-0.06984623
0.0459595	-0.06984623
0.0461578	-0.06984623
0.0466919	-0.06984623
0.0464325	-0.06984623
0.0467682	-0.06984623
0.0462494	-0.06984623
0.0466461	-0.06986595
0.0465851	-0.06986595
0.0421295	-0.07012238
0.0306091	-0.07063523
0.0296021	-0.0707733
0.0315094	-0.07102973
0.032196	-0.0710889
0.0371857	-0.07130588
0.0453644	-0.07160175
0.0522461	-0.071799
0.0618134	-0.07209488
0.0646973	-0.07223295
0.0678101	-0.07241048
0.0686951	-0.07262745
0.0691528	-0.07268663
0.0671844	-0.0729036
0.0627594	-0.0731403
0.0601196	-0.07325865
0.0520325	-0.07357425
0.051178	-0.07359398
0.0513306	-0.07359398
0.0493317	-0.07363343
0.0485992	-0.07363343
0.0458069	-0.07373205
0.0446167	-0.07375178
0.0444794	-0.07375178
0.0446014	-0.07373205
0.0440521	-0.07373205
0.0445862	-0.0736926
0.0441132	-0.0736926
0.0447693	-0.0736926
0.0445099	-0.0736926
0.0441589	-0.0736926
0.0447998	-0.0736926
0.0447388	-0.0736926
0.0452423	-0.0736926
0.045105	-0.0736926
0.0449066	-0.0736926
0.0450897	-0.0736926
0.0449677	-0.0736926
0.0451202	-0.0736926
0.0444489	-0.07371233
0.0448151	-0.07371233
0.0448914	-0.07373205
0.0450287	-0.07375178
0.0436859	-0.07379123
0.039505	-0.07387013
0.0301819	-0.07444215
0.0299072	-0.07458023
0.0300293	-0.07469858
0.038147	-0.07521143
0.0513153	-0.07554675
0.063385	-0.07580318
0.069046	-0.0759018
0.0710297	-0.07594125
0.0778809	-0.07619768
0.0824738	-0.0762963
0.0844879	-0.07641465
0.0865784	-0.07678943
0.0823212	-0.07696695
0.0809631	-0.07702613
0.0768433	-0.07720365
0.0655823	-0.07746008
0.0628052	-0.0774798
0.0628357	-0.0774798
0.0630493	-0.0774798
0.0625916	-0.0774798
0.0623932	-0.0774798
0.0622559	-0.0774798
0.0619354	-0.0774798
0.0622101	-0.0774798
0.0619354	-0.0774798
0.0626526	-0.0774798
0.0623779	-0.0774798
0.0625153	-0.0774798
0.0621796	-0.0774798
0.0626678	-0.0774798
0.0623932	-0.0774798
0.0624847	-0.07749953
0.0623474	-0.07753898
0.0555115	-0.07781513
0.0400085	-0.07815045
0.0365448	-0.0783477
0.0344238	-0.07895918
0.0462799	-0.07919588
0.0507965	-0.07935368
0.072525	-0.079689
0.0884552	-0.0799257
0.1064148	-0.08030048
0.1105804	-0.08035965
0.1115417	-0.08043855
0.1136475	-0.08073443
0.1077423	-0.08105003
0.1015625	-0.08112893
0.0964813	-0.081267
0.0796967	-0.08154315
0.0612335	-0.08170095
0.0571136	-0.08179958
0.0376587	-0.08225325
0.0352936	-0.08250968
0.0357971	-0.08250968
0.0358582	-0.08250968
0.0356293	-0.08248995
0.0365295	-0.08248995
0.0361786	-0.08248995
0.0363617	-0.08248995
0.0364685	-0.08248995
0.0361786	-0.08248995
0.0361786	-0.08248995
