Light Intensity (% of scale max) Alessio_0.16_1.5_lampadina	Position (m) Alessio_0.16_1.5_lampadina
0.03738	0.0
0.0374	0.0
0.03731	0.0
0.03734	0.0
0.03714	0.0
0.03741	0.0
0.03743	0.0
0.0374	0.0
0.03732	0.0
0.03752	0.0
0.03746	0.0
0.03741	0.0
0.03743	0.0
0.03786	0.0
0.03761	0.0
0.03758	0.0
0.03743	-1.9725e-05
0.03754	-1.9725e-05
0.03712	-1.9725e-05
0.03726	-1.9725e-05
0.03729	-3.945e-05
0.03712	-3.945e-05
0.03741	-3.945e-05
0.03711	-3.945e-05
0.03708	-3.945e-05
0.03685	-3.945e-05
0.03722	-3.945e-05
0.03743	-0.00019725
0.03781	-0.0003945
0.03781	-0.000650925
0.03787	-0.000848175
0.03792	-0.00090735
0.03809	-0.0009468
0.03835	-0.001164
0.03795	-0.001341
0.03726	-0.001795
0.03622	-0.002189
0.03603	-0.002328
0.03546	-0.002485
0.03519	-0.002564
0.03532	-0.00288
0.03615	-0.003491
0.03806	-0.003866
0.03848	-0.004123
0.04004	-0.004655
0.03871	-0.00505
0.03671	-0.005582
0.03635	-0.00572
0.03676	-0.00572
0.03694	-0.005701
0.0367	-0.005701
0.03638	-0.005701
0.03654	-0.005701
0.03595	-0.005701
0.03677	-0.005701
0.03641	-0.005701
0.03633	-0.005701
0.03639	-0.00572
0.03659	-0.00572
0.03593	-0.005917
0.03532	-0.006194
0.03514	-0.006391
0.03482	-0.006647
0.03461	-0.006726
0.03468	-0.006825
0.03526	-0.007121
0.03598	-0.007357
0.03653	-0.007693
0.03748	-0.00787
0.03745	-0.008008
0.03807	-0.008324
0.03822	-0.008482
0.03838	-0.008797
0.03763	-0.00933
0.03766	-0.009389
0.03708	-0.009606
0.03665	-0.009882
0.03542	-0.010198
0.03502	-0.010356
0.03464	-0.010573
0.03484	-0.01075
0.03481	-0.01077
0.03458	-0.01077
0.03452	-0.01077
0.03468	-0.01077
0.03496	-0.01075
0.03496	-0.01075
0.03467	-0.01075
0.03481	-0.01075
0.03493	-0.01075
0.03444	-0.01075
0.03494	-0.01075
0.03479	-0.01077
0.03435	-0.01077
0.03465	-0.01079
0.03529	-0.011263
0.03717	-0.011638
0.03725	-0.011677
0.03749	-0.011776
0.039	-0.012091
0.03996	-0.012229
0.03998	-0.012348
0.04016	-0.012585
0.03947	-0.012979
0.03821	-0.013334
0.03691	-0.013689
0.03548	-0.013985
0.03516	-0.014182
0.03514	-0.014478
0.03514	-0.014695
0.03549	-0.014892
