Relative Intensity Alessio_doubleslit_0.04_0.25_1.5_lampadina	Position (m) Alessio_doubleslit_0.04_0.25_1.5_lampadina
0.0371552	0.0
0.0370178	0.0
0.0370331	0.0
0.0370941	0.0
0.0370789	0.0
0.0372467	-1.9725e-05
0.0372467	-1.9725e-05
0.0368195	-3.945e-05
0.0374603	-3.945e-05
0.0369873	-3.945e-05
0.0372009	-3.945e-05
0.0369873	-3.945e-05
0.0372162	-5.9175e-05
0.0369415	-5.9175e-05
0.0370178	-5.9175e-05
0.036911	-5.9175e-05
0.0372314	-5.9175e-05
0.0371246	-0.00019725
0.0363617	-0.0005523
0.0363007	-0.000690375
0.0362244	-0.000789
0.0367279	-0.00112432
0.0380402	-0.00159772
0.0407867	-0.00222892
0.0392761	-0.0025248
0.0390625	-0.0025248
0.0390167	-0.0025248
0.0389252	-0.0025248
0.0389862	-0.00250507
0.039566	-0.00250507
0.0391693	-0.00250507
0.0394745	-0.00250507
0.0394745	-0.00250507
0.0396881	-0.00250507
0.0394745	-0.00250507
0.0393524	-0.00250507
0.039856	-0.0025248
0.0402679	-0.0025248
0.0400085	-0.0025248
0.0397797	-0.0025248
0.0392761	-0.00266287
0.0373535	-0.00311655
0.0375214	-0.00329408
0.0384979	-0.0035505
0.0424042	-0.003945
0.0444489	-0.00422115
0.0448151	-0.00455647
0.0423584	-0.0048918
0.0396118	-0.0052074
0.0379791	-0.00556245
0.0381622	-0.00587805
0.0385895	-0.00589778
0.0385437	-0.00587805
0.0389252	-0.00587805
0.0384674	-0.00587805
0.0387573	-0.00587805
0.0383453	-0.00587805
0.0383301	-0.00587805
0.0381775	-0.00587805
0.0378876	-0.00587805
0.0380554	-0.00587805
0.0381165	-0.00587805
0.0381927	-0.00587805
0.0381622	-0.00589778
0.0382233	-0.0059175
0.0390015	-0.00611475
0.0404663	-0.00633173
0.0436707	-0.00682485
0.0438843	-0.00704183
0.0437317	-0.00731798
0.0400085	-0.00785055
0.0389557	-0.0080478
0.0388336	-0.00830423
0.038559	-0.00842257
0.0377655	-0.00854093
0.0384827	-0.00895515
0.0382843	-0.00905378
0.0382538	-0.00905378
0.0380402	-0.00903405
0.0382233	-0.00901433
0.0382385	-0.00903405
0.0385895	-0.00903405
0.0388184	-0.00903405
0.0389557	-0.00903405
0.0386353	-0.00903405
0.0389709	-0.00903405
0.0388641	-0.0090735
0.0387268	-0.00932993
0.0388184	-0.00958635
0.0390167	-0.00966525
0.0379639	-0.01021755
0.0363007	-0.01069095
0.0363617	-0.01086848
0.0360107	-0.01124325
0.0357971	-0.01149968
0.0358276	-0.0117561
0.0354919	-0.01217033
0.035614	-0.01234785
0.0355377	-0.0123873
0.0358734	-0.0123873
0.0355225	-0.01236758
0.0355225	-0.01236758
0.0357819	-0.01236758
0.0355072	-0.01236758
0.0357666	-0.01236758
0.035675	-0.01236758
0.0353394	-0.01236758
0.0352631	-0.01236758
0.0356445	-0.0123873
0.0352631	-0.0123873
0.0352783	-0.01258455
0.0359955	-0.01327492
0.0360718	-0.01347217
0.0360413	-0.0135708
0.0365143	-0.01400475
0.036438	-0.014202
0.0373993	-0.0145176
0.0368958	-0.01479375
0.0371552	-0.01505017
0.036972	-0.0153066
0.0369415	-0.01568137
0.0369415	-0.01579972
0.0368042	-0.01579972
0.0368042	-0.01578
0.0369568	-0.01578
0.0368805	-0.01578
0.0368195	-0.01578
0.0370789	-0.01578
0.0371246	-0.01578
0.036911	-0.01578
0.0372009	-0.01578
0.0369415	-0.01578
0.0370331	-0.01579972
0.0373993	-0.01583917
0.0400085	-0.01645065
0.043808	-0.0169635
0.0444794	-0.0170424
0.0442963	-0.01714102
0.0446625	-0.01737772
0.0421143	-0.01779195
0.0385132	-0.01836397
0.0447388	-0.01881765
0.048233	-0.01897545
0.0483398	-0.01897545
0.0486298	-0.01897545
0.0483856	-0.01897545
0.0487213	-0.01897545
0.0486298	-0.01897545
0.0482788	-0.01897545
0.048172	-0.01897545
0.0484924	-0.01897545
0.0483551	-0.01897545
0.0480194	-0.01897545
0.0483856	-0.01897545
0.0487518	-0.01897545
0.0487061	-0.01897545
0.053009	-0.01911352
0.0563202	-0.01978417
0.0552368	-0.01992225
0.0529938	-0.02002087
0.0469818	-0.02033647
0.0417633	-0.02061262
0.0393066	-0.02102685
0.0397186	-0.0212241
0.0412598	-0.02126355
0.0510864	-0.02165805
0.0520477	-0.02175667
0.0525818	-0.02175667
0.0527191	-0.02175667
0.0524292	-0.02175667
0.0522156	-0.02175667
0.0522308	-0.02175667
0.0520935	-0.02175667
0.0522766	-0.02175667
0.0518951	-0.02175667
0.0523987	-0.02175667
0.0522766	-0.02175667
0.0523987	-0.02175667
0.0589142	-0.02197365
0.0574341	-0.02250623
0.0557556	-0.0225654
0.0458527	-0.02299935
0.0426636	-0.02323605
0.0414734	-0.02339385
0.0392151	-0.0237489
0.039505	-0.02388697
0.0401764	-0.02402505
0.0437317	-0.02441955
0.046463	-0.02463652
0.0471649	-0.02465625
0.0474548	-0.02463652
0.0471191	-0.02463652
0.0474701	-0.02463652
0.0471039	-0.02463652
0.0473328	-0.02463652
0.0467987	-0.02463652
0.0475311	-0.02463652
0.0476532	-0.02463652
0.0472412	-0.02463652
0.0472565	-0.02463652
0.0473328	-0.02463652
0.0475769	-0.02471543
0.0431824	-0.0257214
0.0381165	-0.02637233
0.0384674	-0.0264315
0.0378113	-0.02654985
0.0381012	-0.026826
0.038147	-0.02708242
0.037735	-0.02731913
0.03685	-0.02743748
0.0372925	-0.02755583
0.0364838	-0.0277728
0.0366669	-0.02779253
0.0365448	-0.02779253
0.0364227	-0.0277728
0.0363312	-0.0277728
0.0364532	-0.0277728
0.0364838	-0.0277728
0.0368958	-0.0277728
0.0367432	-0.0277728
0.0363159	-0.0277728
0.0366516	-0.0277728
0.0367432	-0.02779253
0.0361176	-0.02783198
0.0357056	-0.0282462
0.036087	-0.028404
0.0363617	-0.02842373
0.0361023	-0.0285618
0.0361023	-0.02897603
0.0367279	-0.02929163
0.0366211	-0.0295086
0.0371704	-0.02978475
0.0373535	-0.03004118
0.037323	-0.03033705
0.0369568	-0.0305343
0.0368652	-0.0305343
0.0370026	-0.03049485
0.0369568	-0.03049485
0.0371552	-0.03049485
0.0371857	-0.03049485
0.0370483	-0.03049485
0.0371094	-0.03049485
0.0375366	-0.03049485
0.0371552	-0.03051458
0.0371094	-0.03051458
0.0368042	-0.0305343
0.036499	-0.03057375
0.0366669	-0.03090908
0.0369873	-0.03120495
0.0376892	-0.03134303
0.0437469	-0.03175725
0.0460815	-0.0318756
0.0549011	-0.03228983
0.0575562	-0.0326646
0.0576477	-0.03268433
0.0550842	-0.0329013
0.0528564	-0.03303938
0.0528107	-0.03303938
0.0528717	-0.03303938
0.052887	-0.0329802
0.0526733	-0.0329802
0.0520477	-0.0329802
0.0522614	-0.0329802
0.052536	-0.0329802
0.053009	-0.0329802
0.0527191	-0.03301965
0.0530396	-0.03303938
0.0528717	-0.03303938
0.0530548	-0.03303938
0.0516815	-0.03307883
0.0439148	-0.03343388
0.0421295	-0.03371003
0.0413971	-0.03371003
0.0437012	-0.03394673
0.0489044	-0.0342426
0.0563049	-0.03449903
0.063324	-0.03485408
0.0659637	-0.0350316
0.0655518	-0.0351894
0.060791	-0.035505
0.0604858	-0.03552473
0.0609131	-0.035505
0.0606537	-0.03546555
0.0607452	-0.03546555
0.0605774	-0.03546555
0.059967	-0.03546555
0.0603943	-0.03546555
0.0605011	-0.03546555
0.0607452	-0.03546555
0.0601959	-0.03548528
0.0597229	-0.035505
0.0593872	-0.03552473
0.0483093	-0.03591923
0.0552673	-0.03651098
0.0571289	-0.03655043
0.0692291	-0.0367674
0.0727997	-0.03686603
0.0801849	-0.03694493
0.0905762	-0.03728025
0.0926666	-0.03737888
0.0891571	-0.03761558
0.0733643	-0.03804953
0.0696716	-0.03812843
0.0680237	-0.03814815
0.0678558	-0.03814815
0.0681305	-0.03814815
0.0678253	-0.0381087
0.0686951	-0.0381087
0.0692596	-0.0381087
0.068573	-0.0381087
0.0670166	-0.0381087
0.0682678	-0.0381087
0.0686951	-0.03814815
0.0690613	-0.03814815
0.0687561	-0.03814815
0.0682678	-0.03814815
0.0586395	-0.03828623
0.0470734	-0.03870045
0.0461121	-0.0388188
0.0473328	-0.03901605
0.0598145	-0.03946973
0.0675812	-0.03966698
0.0762634	-0.0400023
0.0757904	-0.04027845
0.0691376	-0.04051515
0.0563812	-0.04090965
0.0503998	-0.04112663
0.0498047	-0.04114635
0.0502167	-0.04114635
0.0497284	-0.04112663
0.0497437	-0.0411069
0.0499573	-0.0411069
0.0498505	-0.0411069
0.0495453	-0.0411069
0.0496674	-0.0411069
0.0499115	-0.0411069
0.0496216	-0.04112663
0.0500946	-0.04114635
0.0498352	-0.04114635
0.046463	-0.04148168
0.0445709	-0.04201425
0.047226	-0.04256655
0.0469055	-0.0428427
0.0449066	-0.0430794
0.0422668	-0.04335555
0.0398102	-0.0435528
0.0401611	-0.04357253
0.0391846	-0.0437106
0.0381012	-0.04388813
0.0379181	-0.0438684
0.0375671	-0.04382895
0.0376434	-0.04382895
0.0378571	-0.04382895
0.0377197	-0.04382895
0.0383759	-0.04382895
0.0381622	-0.04382895
0.0380249	-0.04382895
0.0380554	-0.0438684
0.038559	-0.04388813
0.0374756	-0.0441051
0.0366516	-0.04459823
0.036087	-0.04467713
0.0362549	-0.04495328
0.0366364	-0.0451308
0.0366669	-0.04534778
0.0372009	-0.04564365
0.0372467	-0.04564365
0.0378571	-0.04578173
0.0378723	-0.04611705
0.038147	-0.0463143
0.0382843	-0.0463932
0.0379181	-0.0463932
0.0382843	-0.04637348
0.0380554	-0.04629458
0.0378265	-0.04629458
0.0379944	-0.04629458
0.0382233	-0.04629458
0.0383301	-0.04629458
0.0380554	-0.04637348
0.0384827	-0.04637348
0.0382843	-0.0463932
0.0379944	-0.04651155
0.0420837	-0.04698495
0.0460815	-0.04722165
0.0502167	-0.04747808
0.0542755	-0.04777395
0.055954	-0.04803038
0.0531616	-0.0484446
0.0480652	-0.04879965
0.0491486	-0.0490758
0.0651398	-0.04945058
0.0789337	-0.04956893
0.0791168	-0.04956893
0.080368	-0.04956893
0.0809174	-0.04956893
0.0800323	-0.04949003
0.0795898	-0.04949003
0.0794678	-0.04949003
0.0783234	-0.04949003
0.0780182	-0.04949003
0.0780487	-0.04949003
0.0792694	-0.04949003
0.0795898	-0.04956893
0.0796051	-0.04958865
0.1033325	-0.04988453
0.1366272	-0.05055518
0.1320496	-0.05067353
0.1237335	-0.05083133
0.0983276	-0.05114693
0.0856171	-0.051285
0.0726624	-0.05150198
0.0696411	-0.0517584
0.0811462	-0.05203455
0.1073608	-0.05229098
0.1121216	-0.05233043
0.1121063	-0.05233043
0.1131439	-0.05229098
0.1182098	-0.05227125
0.1163483	-0.0522318
0.1143494	-0.0522318
0.1146851	-0.0522318
0.1142426	-0.0522318
