Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.03732	0.0
0.03714	0.0
0.03702	0.0
0.03743	0.0
0.0374	0.0
0.03711	0.0
0.03734	0.0
0.0372	0.0
0.03764	0.0
0.03738	0.0
0.03719	0.0
0.03703	0.0
0.03754	0.0
0.03729	-1.9725e-05
0.03651	-1.9725e-05
0.03719	-1.9725e-05
0.03714	-1.9725e-05
0.03685	-3.945e-05
0.03735	-3.945e-05
0.03705	-3.945e-05
0.03702	-3.945e-05
0.03709	-0.000256425
0.03667	-0.000611475
0.03644	-0.000887625
0.03668	-0.001144
0.0386	-0.001854
0.03859	-0.002367
0.03804	-0.002446
0.03769	-0.002466
0.03798	-0.002446
0.03801	-0.002446
0.03764	-0.002446
0.03804	-0.002446
0.03831	-0.002446
0.03862	-0.002446
0.03781	-0.002446
0.03835	-0.002446
0.03802	-0.002446
0.03821	-0.002446
0.03822	-0.002446
0.03792	-0.002446
0.0416	-0.002722
0.04437	-0.003452
0.04848	-0.004024
0.04941	-0.004063
0.05269	-0.004221
0.05298	-0.004359
0.05035	-0.004537
0.04204	-0.004912
0.04332	-0.005188
0.04541	-0.005306
0.0453	-0.005326
0.04605	-0.005306
0.04654	-0.005306
0.04646	-0.005306
0.04694	-0.005306
0.04645	-0.005306
0.04591	-0.005306
0.04547	-0.005306
0.04561	-0.005306
0.04521	-0.005306
0.04536	-0.005306
0.04567	-0.005365
0.04785	-0.005937
0.04472	-0.006036
0.04266	-0.006194
0.04123	-0.006391
0.04173	-0.006923
0.03828	-0.007673
0.03708	-0.007831
0.03687	-0.007851
0.03694	-0.007929
0.03697	-0.007929
0.037	-0.007929
0.03656	-0.00791
0.03682	-0.00791
0.03693	-0.00791
0.03656	-0.00791
0.03702	-0.00791
0.03702	-0.00791
0.03709	-0.00791
0.03728	-0.00791
0.03667	-0.007929
0.03683	-0.007949
0.03679	-0.008028
0.03645	-0.008423
0.03824	-0.008857
0.03954	-0.009212
0.04004	-0.009389
0.04008	-0.009547
0.04089	-0.010178
0.04939	-0.010691
0.05009	-0.010868
0.04976	-0.010888
0.0499	-0.010868
0.04959	-0.010868
0.0499	-0.010868
0.04965	-0.010868
0.0493	-0.010868
0.0498	-0.010868
0.04947	-0.010868
0.04955	-0.010868
0.04994	-0.010868
0.04961	-0.010868
0.04973	-0.010888
0.04704	-0.011125
0.05603	-0.011618
0.06088	-0.011914
0.0564	-0.012229
0.04773	-0.012644
0.05257	-0.013235
0.0461	-0.013847
0.04626	-0.014241
0.04677	-0.014399
0.04675	-0.014399
0.04678	-0.014399
0.04703	-0.014399
0.04707	-0.01438
0.04687	-0.01438
0.04681	-0.01438
0.04703	-0.01438
0.047	-0.01438
0.04707	-0.01438
0.04724	-0.01438
0.04681	-0.01438
0.0471	-0.014399
0.0468	-0.014399
0.04727	-0.014636
0.04283	-0.01507
0.04167	-0.015149
0.0377	-0.015642
0.03711	-0.015741
0.03659	-0.015859
0.03691	-0.01649
0.04089	-0.017003
0.04213	-0.017299
0.04214	-0.017378
0.04184	-0.017358
0.04204	-0.017358
0.04218	-0.017358
0.04163	-0.017358
