Relative Intensity Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
0.0390778	0.0
0.0386963	0.0
0.0391998	0.0
0.0390015	0.0
0.039032	0.0
0.0392151	0.0
0.0391693	0.0
0.0390625	0.0
0.0392456	0.0
0.0392303	0.0
0.0390778	0.0
0.0390015	0.0
0.0393066	0.0
0.0393524	0.0
0.038681	0.0
0.039093	0.0
0.0393219	0.0
0.0394745	0.0
0.039505	0.0
0.0392151	0.0
0.0396118	0.0
0.039093	0.0
0.0391846	0.0
0.0393982	0.0
0.0391846	0.0
0.0393524	0.0
0.0397034	0.0
0.0394287	0.0
0.0391388	0.0
0.0393677	0.0
0.0392761	0.0
0.0393219	0.0
0.0394135	0.0
0.0392151	0.0
0.039093	0.0
0.0393372	0.0
0.0392456	0.0
0.0393066	0.0
0.0394592	0.0
0.0392303	0.0
0.0395508	0.0
0.0393982	0.0
0.0392151	0.0
0.0396881	0.0
0.0391998	0.0
0.0390167	0.0
0.0394897	0.0
0.0397339	0.0
0.0393066	0.0
0.0392609	0.0
0.0393219	0.0
0.0393677	-1.9725e-05
0.0393066	-1.9725e-05
0.0396118	-1.9725e-05
0.0393677	-1.9725e-05
0.039444	-1.9725e-05
0.0394135	-1.9725e-05
0.0397644	-1.9725e-05
0.0396423	-1.9725e-05
0.039505	-0.000572025
0.0395355	-0.000769275
0.0393829	-0.0008679
0.039505	-0.00122295
0.0396423	-0.00171608
0.0396881	-0.00230783
0.0398865	-0.00256425
0.039856	-0.00280095
0.0396423	-0.00313628
0.0401611	-0.00382665
0.0411224	-0.0044973
0.0406036	-0.00502987
0.0406494	-0.00558218
0.0411987	-0.00619365
0.0422516	-0.0067065
0.0429077	-0.0075744
0.0422516	-0.00830423
0.0423431	-0.0084423
0.04245	-0.0084423
0.0426331	-0.00842257
0.042572	-0.00842257
0.042572	-0.00842257
0.0421143	-0.00842257
0.0422516	-0.00842257
0.0422821	-0.00842257
0.0422668	-0.00842257
0.0418549	-0.00842257
0.0422668	-0.00842257
0.0418549	-0.00842257
0.0421295	-0.00842257
0.041748	-0.0084423
0.0418854	-0.00850148
0.0442657	-0.0089946
0.0444641	-0.01021755
0.0440979	-0.0111249
0.0441895	-0.0116772
0.0460968	-0.0122295
0.0472717	-0.01272263
0.0469513	-0.01313685
0.0452728	-0.01374833
0.0448608	-0.0144387
0.0461578	-0.01497128
0.0471497	-0.01518825
0.0485535	-0.01574055
0.0485077	-0.0158589
0.0482635	-0.01603643
0.0475464	-0.01635203
0.0453491	-0.01723965
0.0453033	-0.01787085
0.0475464	-0.0183837
0.0475464	-0.0190938
0.0474091	-0.01915298
0.0474854	-0.01915298
0.047226	-0.01913325
0.0469666	-0.01913325
0.0469971	-0.01913325
0.046875	-0.01913325
0.0471191	-0.01913325
0.0470276	-0.01913325
0.047226	-0.01913325
0.0467834	-0.01913325
0.0458832	-0.01913325
0.0467529	-0.01913325
0.047348	-0.01913325
0.0470581	-0.01913325
0.0466309	-0.01915298
0.0463867	-0.0191727
0.0457916	-0.01938968
0.0443268	-0.01986308
0.0431213	-0.02065208
0.0445709	-0.02126355
0.0450592	-0.02165805
0.0448151	-0.022092
0.0439301	-0.02244705
0.0429077	-0.0228021
0.0416412	-0.02323605
0.0409088	-0.0239856
0.0410461	-0.02441955
0.0418243	-0.0247746
0.0410767	-0.02552415
0.0395813	-0.026037
0.0395508	-0.02633288
0.0386658	-0.02686545
0.0386505	-0.02720078
0.0382385	-0.0275361
0.0383759	-0.02791088
0.0380249	-0.02844345
0.0376434	-0.0292719
0.0375824	-0.02980448
0.0379181	-0.03017925
0.0378418	-0.0304554
0.0380554	-0.03051458
0.0376587	-0.03063293
0.0377045	-0.03067238
0.0377197	-0.0306132
0.0374908	-0.0305343
0.0374146	-0.0305343
0.0374603	-0.03055403
0.0375977	-0.03055403
0.037735	-0.03055403
0.037323	-0.03055403
