Light Intensity (% of scale max) Antonio_0.04_1.5_lampadina	Position (m) Antonio_0.04_1.5_lampadina
0.03439	0.0
0.03386	0.0
0.03372	0.0
0.03345	0.0
0.03439	0.0
0.03348	0.0
0.03394	0.0
0.03375	0.0
0.03448	0.0
0.03418	0.0
0.03398	0.0
0.03378	0.0
0.03412	0.0
0.03395	0.0
0.03383	0.0
0.03377	0.0
0.03374	0.0
0.03406	0.0
0.03412	0.0
0.03406	0.0
0.0345	0.0
0.03394	0.0
0.03424	0.0
0.03416	0.0
0.0345	0.0
0.03444	0.0
0.03421	-1.9725e-05
0.03452	-1.9725e-05
0.03476	-1.9725e-05
0.03456	-1.9725e-05
0.03474	-1.9725e-05
0.03448	-1.9725e-05
0.03448	-3.945e-05
0.0345	-3.945e-05
0.0343	-3.945e-05
0.0343	-3.945e-05
0.03442	-3.945e-05
0.03436	-3.945e-05
0.03433	-0.000256425
0.03439	-0.0007101
0.03403	-0.00082845
0.03384	-0.0009468
0.03383	-0.001006
0.03404	-0.001756
0.03369	-0.002308
0.03352	-0.002683
0.0336	-0.002722
0.03372	-0.003038
0.03391	-0.003767
0.03409	-0.004517
0.03389	-0.004793
0.03409	-0.00501
0.03442	-0.005306
0.03442	-0.005878
0.03491	-0.006115
0.0352	-0.00643
0.03545	-0.006943
0.03534	-0.0072
0.03578	-0.007634
0.0356	-0.007929
0.03574	-0.008087
0.03636	-0.008363
0.03633	-0.008738
0.03693	-0.009271
0.03687	-0.00935
0.03697	-0.009389
0.03679	-0.009389
0.03714	-0.009369
0.03711	-0.009369
0.03685	-0.009369
0.03703	-0.009369
0.03764	-0.009369
0.03679	-0.009369
0.03687	-0.009369
0.03653	-0.009369
0.03651	-0.009369
0.03691	-0.009369
0.03668	-0.009369
0.037	-0.009389
0.03696	-0.009527
0.03653	-0.010375
0.03645	-0.01077
0.0368	-0.011145
0.03714	-0.011322
0.03673	-0.011598
0.03712	-0.012052
0.03702	-0.012308
0.03613	-0.012644
0.03593	-0.013255
0.03564	-0.013808
0.03551	-0.014518
0.03529	-0.014636
0.03531	-0.014892
0.03519	-0.015011
0.03513	-0.015228
0.03482	-0.0158
0.03459	-0.015958
0.03419	-0.016806
0.03349	-0.017319
0.03383	-0.017595
0.03416	-0.018423
0.03407	-0.018916
0.03392	-0.019114
0.03354	-0.019114
0.03375	-0.019114
0.03363	-0.019114
0.03375	-0.019114
0.03343	-0.019114
0.03377	-0.019114
0.03386	-0.019114
0.03358	-0.019114
0.03331	-0.019114
0.03339	-0.019114
0.03349	-0.019114
0.03363	-0.019114
0.03375	-0.019114
0.03368	-0.019114
0.03348	-0.019114
0.03349	-0.019114
0.03337	-0.019192
0.03389	-0.019626
0.03481	-0.020415
0.03561	-0.021165
0.03566	-0.021658
0.03578	-0.021934
0.03603	-0.022151
0.03629	-0.022605
0.03741	-0.022901
0.03984	-0.023571
0.04057	-0.024262
0.04021	-0.024459
0.04028	-0.024735
0.03949	-0.025209
0.03928	-0.025702
0.03944	-0.026234
0.03955	-0.026589
0.03998	-0.026806
0.04099	-0.027359
0.04097	-0.027635
0.04039	-0.028049
0.0397	-0.028108
0.04015	-0.028207
0.03873	-0.028621
0.03847	-0.028897
0.03781	-0.028976
0.03757	-0.028976
0.03778	-0.028937
0.03766	-0.028937
0.03796	-0.028937
0.03796	-0.028937
0.0377	-0.028937
0.0377	-0.028937
0.0377	-0.028937
0.03809	-0.028937
0.03806	-0.028937
0.0378	-0.028937
0.03835	-0.028976
0.03772	-0.028996
0.03708	-0.029331
0.03618	-0.030278
0.03593	-0.03083
0.03545	-0.031382
0.03433	-0.031659
0.0349	-0.031816
0.03418	-0.032388
0.03366	-0.032744
0.03326	-0.033059
0.0332	-0.033631
0.03348	-0.034164
0.03389	-0.034479
0.03423	-0.034795
0.03552	-0.035387
0.03638	-0.036018
0.03714	-0.036333
0.03725	-0.03655
0.03786	-0.036965
0.03891	-0.037497
0.03969	-0.037833
0.04044	-0.037911
0.04013	-0.037911
0.04024	-0.037911
0.04007	-0.037872
0.04037	-0.037872
0.04053	-0.037872
0.04076	-0.037872
0.04027	-0.037872
0.04051	-0.037872
0.04033	-0.037872
0.04068	-0.037872
0.04053	-0.037872
0.04036	-0.037872
0.04041	-0.037872
0.04037	-0.037892
0.04031	-0.037911
0.04044	-0.037911
0.04041	-0.037951
0.04294	-0.038562
0.04901	-0.039371
0.05177	-0.040121
0.0498	-0.040811
0.0482	-0.041383
0.04698	-0.041995
0.04784	-0.042586
0.04887	-0.04302
0.05048	-0.043454
0.05174	-0.043711
0.05148	-0.044145
0.04936	-0.044756
0.04535	-0.04519
0.04311	-0.045427
0.04141	-0.045683
0.03984	-0.046097
0.03773	-0.046492
0.03609	-0.047005
0.03542	-0.047261
0.03493	-0.047577
0.03441	-0.04803
0.03409	-0.048228
0.03358	-0.048425
0.0332	-0.048642
0.03346	-0.048642
0.0334	-0.048563
0.0336	-0.048563
0.03336	-0.048563
0.03345	-0.048563
0.03333	-0.048563
0.03343	-0.048563
0.03317	-0.048563
0.03345	-0.048563
0.03317	-0.048563
0.03319	-0.048563
0.03294	-0.048642
0.03313	-0.048642
0.03351	-0.048642
0.03348	-0.048662
0.03362	-0.048957
0.03389	-0.049549
0.03426	-0.049766
0.03488	-0.049845
0.03587	-0.050299
0.0365	-0.050535
0.03665	-0.050614
0.03812	-0.051305
0.04028	-0.051818
0.04109	-0.051936
0.04323	-0.05235
0.04428	-0.052567
0.04613	-0.052843
0.04955	-0.053238
0.05138	-0.053356
0.05112	-0.053396
0.05396	-0.053672
0.05833	-0.054027
0.06287	-0.054283
0.06598	-0.054382
0.06834	-0.054579
0.07161	-0.054717
0.07274	-0.054776
0.07481	-0.054974
0.07899	-0.05523
0.08	-0.055289
0.08067	-0.055289
0.08025	-0.055289
0.0806	-0.055289
0.08063	-0.05521
0.08109	-0.05521
0.08134	-0.05521
0.08099	-0.05521
0.08099	-0.05521
0.08087	-0.05521
0.08095	-0.05521
0.08101	-0.05521
0.08104	-0.05521
0.08081	-0.05521
0.08087	-0.055289
0.08104	-0.055289
0.08064	-0.055289
0.08066	-0.055309
0.0824	-0.055546
0.0844	-0.056058
0.08401	-0.056256
0.08339	-0.056453
0.08089	-0.056847
0.07884	-0.057124
0.07732	-0.05738
0.0735	-0.057755
0.07224	-0.05811
0.07011	-0.058544
0.06836	-0.058879
0.06793	-0.059037
0.0677	-0.059214
0.06668	-0.05957
0.06631	-0.059668
0.06554	-0.059905
0.06567	-0.060003
0.06531	-0.060082
0.06438	-0.060477
0.06317	-0.060891
0.06256	-0.061029
0.0614	-0.061325
0.05838	-0.061739
0.0573	-0.061877
0.0564	-0.062035
0.05202	-0.06241
0.05005	-0.062528
0.04907	-0.062647
0.04936	-0.062647
0.04947	-0.062627
0.04979	-0.062607
0.04947	-0.062607
0.04999	-0.062607
0.04965	-0.062607
0.04987	-0.062607
0.04984	-0.062607
0.04907	-0.062607
0.04965	-0.062607
0.04951	-0.062607
0.04904	-0.062607
0.04907	-0.062627
0.04857	-0.062627
0.04855	-0.062647
0.04861	-0.062686
0.04103	-0.063317
0.03885	-0.063554
0.03741	-0.06383
0.03519	-0.064442
0.03528	-0.064639
0.03554	-0.064954
0.03644	-0.065191
0.03653	-0.065231
0.03841	-0.065526
0.04013	-0.065803
0.04027	-0.065862
0.04105	-0.065921
0.04091	-0.06598
0.04166	-0.066039
