Relative Intensity Antonio_0.08_1.5_lampadina	Position (m) Antonio_0.08_1.5_lampadina
0.0350647	0.0
0.0343018	0.0
0.0347137	0.0
0.0347748	0.0
0.0345459	0.0
0.0345154	0.0
0.0345917	0.0
0.0346222	0.0
0.03479	0.0
0.0349731	0.0
0.0345001	0.0
0.0347595	0.0
0.0346375	0.0
0.0349579	0.0
0.0344849	0.0
0.034729	0.0
0.0345917	0.0
0.0346832	0.0
0.0348206	0.0
0.0345001	0.0
0.0345764	0.0
0.034668	0.0
0.0341949	0.0
0.0344543	0.0
0.0345917	0.0
0.0345764	0.0
0.0342407	0.0
0.0343628	0.0
0.0346985	0.0
0.0343781	0.0
0.034256	0.0
0.0345459	0.0
0.0344849	0.0
0.0343781	0.0
0.0345764	-1.9725e-05
0.0343018	-1.9725e-05
0.0346069	-1.9725e-05
0.0345612	-3.945e-05
0.0344696	-3.945e-05
0.034668	-3.945e-05
0.0340424	-3.945e-05
0.0344849	-3.945e-05
0.0347137	-3.945e-05
0.0344696	-3.945e-05
0.0344086	-0.000216975
0.0340118	-0.000808725
0.0338287	-0.0010257
0.0336304	-0.00147937
0.033783	-0.0022881
0.0343475	-0.00293902
0.035614	-0.00412253
0.0367889	-0.00522712
0.0371704	-0.00564135
0.0366974	-0.00633172
0.0363922	-0.00641062
0.0361633	-0.0067065
0.0349121	-0.0074955
0.0342712	-0.00798862
0.033905	-0.00861983
0.0334778	-0.00960607
0.0335388	-0.00980332
0.0341949	-0.01071067
0.0355835	-0.01157857
0.0357513	-0.01157857
0.0360413	-0.01157857
0.0357666	-0.01155885
0.0354309	-0.01155885
0.0354004	-0.01155885
0.0356598	-0.01155885
0.0359192	-0.01155885
0.0357513	-0.01155885
0.0364075	-0.01155885
0.0359344	-0.01155885
0.0355072	-0.01155885
0.036026	-0.01155885
0.0353851	-0.01155885
0.036087	-0.01155885
0.035614	-0.01155885
0.0354919	-0.01157857
0.0355988	-0.01169692
0.0359497	-0.0121506
0.0372772	-0.01295932
0.0375366	-0.01402447
0.0354919	-0.01489237
0.0343628	-0.01552357
0.0339661	-0.01597725
0.0336761	-0.01611533
0.033493	-0.01690433
0.0338745	-0.01804838
0.0351563	-0.0185415
0.0363464	-0.0190149
0.0362701	-0.0190938
0.036911	-0.0191727
0.0380554	-0.0198828
0.0379181	-0.0209874
0.0372162	-0.02150025
0.0375519	-0.02171723
0.0377045	-0.02234842
0.0374756	-0.02268375
0.0352631	-0.0235911
0.0334015	-0.02489295
0.0338898	-0.02554388
0.0358887	-0.02607645
0.037262	-0.02645123
0.0378876	-0.02684573
0.0384979	-0.02763473
0.0396271	-0.0278517
0.0405121	-0.02842373
0.0419922	-0.02883795
0.0420074	-0.02883795
0.0406342	-0.0287985
0.0420837	-0.0287985
0.042099	-0.0287985
0.0430298	-0.0287985
0.0427704	-0.0287985
0.0422974	-0.0287985
0.0424957	-0.0287985
0.04216	-0.0287985
0.0424347	-0.0287985
0.042572	-0.0287985
0.0422974	-0.0287985
0.0426331	-0.02883795
0.0429077	-0.02883795
0.0424042	-0.02883795
0.0436859	-0.02899575
0.043869	-0.02964668
0.0419922	-0.03027788
0.041687	-0.03027788
0.0391388	-0.03055403
0.036377	-0.03154027
0.0338593	-0.03228982
0.0334473	-0.03301965
0.0366669	-0.03386782
0.0389709	-0.03442012
0.0411224	-0.0351105
0.042923	-0.03570225
0.0464478	-0.03635317
0.0496216	-0.0368463
0.0506744	-0.03720135
0.0503082	-0.03753667
0.0463257	-0.03814815
0.0402527	-0.03872017
0.0370636	-0.03925275
0.0339966	-0.03988395
0.0337372	-0.0403968
0.0343475	-0.04092937
0.0391541	-0.04156057
0.0489655	-0.04242847
0.0532227	-0.04309912
0.054184	-0.0433161
0.0546112	-0.04351335
0.0555725	-0.04382895
0.0548859	-0.04388812
0.055069	-0.04388812
0.0554657	-0.04388812
0.0552673	-0.04384867
0.0551453	-0.04384867
0.055191	-0.04384867
0.0549622	-0.04384867
0.0554199	-0.04384867
0.0554504	-0.04384867
0.0552368	-0.04384867
0.0548248	-0.04384867
0.0550079	-0.04384867
0.0547333	-0.04384867
0.0549011	-0.04384867
0.0550537	-0.04384867
0.0548706	-0.0438684
0.0549622	-0.04388812
0.0541077	-0.04398675
0.052536	-0.04455877
0.054184	-0.04495327
0.0546722	-0.04574227
0.0498047	-0.04659045
0.0452881	-0.04690605
0.0422058	-0.04712302
0.0389404	-0.04745835
0.033905	-0.04830652
0.0348053	-0.04917442
0.0403137	-0.0498648
0.0475006	-0.05029875
0.0562744	-0.05075242
0.0652618	-0.0511272
0.0718536	-0.0513639
0.0779114	-0.0516795
0.0851288	-0.05229097
0.0834656	-0.05268547
0.0783234	-0.05307997
0.0715027	-0.05347447
0.065155	-0.0538098
0.0601196	-0.05408595
0.0544586	-0.05440155
0.0474548	-0.05479605
0.0422974	-0.05526945
0.0374298	-0.05568367
0.0354004	-0.05597955
0.0348358	-0.0560979
0.0343323	-0.05635432
0.0347595	-0.05653185
0.0348053	-0.05655157
0.0376282	-0.05690662
0.0505066	-0.05747865
0.0518036	-0.05755755
0.0554352	-0.0576759
0.0608063	-0.05785342
0.0618134	-0.0579126
0.0614624	-0.05789287
0.0612946	-0.0578337
0.0607605	-0.0578337
0.0606689	-0.0578337
0.0607758	-0.0578337
0.0609894	-0.0578337
0.0610657	-0.0578337
0.0611115	-0.0578337
0.0612335	-0.0578337
0.0609894	-0.0578337
0.0617218	-0.0578337
0.0612183	-0.0578337
0.0612488	-0.0578337
0.061554	-0.0578337
0.0612946	-0.05789287
0.0614014	-0.05789287
0.0619812	-0.05789287
0.0614471	-0.05789287
0.0613708	-0.0579126
0.0615234	-0.0579126
0.0611725	-0.0579126
0.0622253	-0.05795205
0.0713196	-0.05826765
0.085022	-0.05864242
0.0914917	-0.05889885
0.102356	-0.0594906
0.1053009	-0.0598062
0.1062317	-0.06000345
0.1049042	-0.06029932
0.1018524	-0.06071355
0.0941925	-0.06128557
0.0863953	-0.06171952
0.0800781	-0.0620154
0.0768433	-0.06219292
0.0691223	-0.06254797
0.0635529	-0.06278467
0.0606995	-0.0629622
0.0507965	-0.0634356
0.0437927	-0.06379065
0.0389252	-0.0642246
0.0389099	-0.06457965
0.0396271	-0.06457965
0.0395508	-0.06465855
0.0436707	-0.0649347
0.0543365	-0.06528975
0.0649261	-0.06558562
0.0765991	-0.06582232
0.0811615	-0.06590122
0.085556	-0.06598012
0.0927277	-0.06615765
0.1117706	-0.06655215
0.116272	-0.06661132
0.1259155	-0.0669072
0.1422729	-0.0673806
0.1461945	-0.06749895
0.1472931	-0.06755812
0.1497345	-0.06787372
0.1480865	-0.0684063
0.1475372	-0.06844575
0.1472626	-0.0684852
0.1444702	-0.06870217
0.142807	-0.06876135
0.1375427	-0.06907695
0.1288757	-0.0693531
0.1216125	-0.0695109
0.1130066	-0.06972787
0.1127319	-0.06978705
0.1113586	-0.06980677
0.1004791	-0.07002375
0.0854034	-0.07041825
0.076828	-0.07065495
0.075943	-0.07067467
0.0755615	-0.0706944
0.0675659	-0.0708522
0.0552826	-0.0712467
0.0543671	-0.0713256
0.0539093	-0.07134532
0.0537872	-0.07136505
0.0507812	-0.07142422
0.0459137	-0.07168065
0.0455627	-0.07170037
0.0454407	-0.07170037
0.0455322	-0.07170037
0.0452881	-0.07170037
0.045578	-0.07170037
0.0453491	-0.07170037
0.0455627	-0.07170037
0.045578	-0.07170037
0.0465851	-0.07170037
0.0456543	-0.07170037
0.0453796	-0.07170037
0.045578	-0.07170037
0.0459137	-0.07170037
0.0456848	-0.07170037
0.0452118	-0.07170037
0.0457153	-0.07170037
0.0456696	-0.07170037
0.0456696	-0.07170037
0.0454712	-0.07170037
0.0452728	-0.07170037
0.0458679	-0.07170037
0.0450897	-0.07170037
0.045105	-0.07170037
0.0457001	-0.07170037
0.045517	-0.07170037
0.0455933	-0.07170037
0.0457001	-0.07170037
0.0459137	-0.07170037
0.0453644	-0.07175955
0.0408783	-0.0721935
0.0523682	-0.07286415
0.0600128	-0.07304167
0.0606232	-0.07304167
0.0613708	-0.07304167
0.0664368	-0.07317975
0.1030579	-0.07371232
0.1118317	-0.07379122
0.1193237	-0.07388985
0.1625519	-0.07434352
0.2201233	-0.07485637
0.282135	-0.0753495
0.3017731	-0.07548757
0.3184509	-0.07578345
0.3357697	-0.07596097
0.3411102	-0.07602015
0.3456268	-0.07625685
0.3465118	-0.07625685
0.346405	-0.0762963
0.3468628	-0.07631602
0.3460999	-0.07643437
0.3354492	-0.07671052
0.3307648	-0.07680915
0.3262177	-0.0768486
0.2885895	-0.07726282
0.2248077	-0.07781512
0.2165985	-0.07789402
0.1873779	-0.07817017
0.0873566	-0.07901835
0.0604553	-0.07933395
0.0596008	-0.07933395
0.0584564	-0.0793734
0.0518951	-0.07970872
0.0563507	-0.07994542
0.057312	-0.07996515
0.0648804	-0.0801624
0.0990143	-0.08051745
0.1048737	-0.0805569
0.1193085	-0.0807147
0.1886902	-0.08112892
0.2063751	-0.08116837
