Relative Intensity intensità_laser_sole.1	Position (m) intensità_laser_sole.1
2414.8029785	0.0
2417.2692871	0.0
2416.1574707	0.0
2416.6152344	0.0
2417.015625	0.0
2416.3754883	0.0
2416.7087402	0.0
2416.0612793	0.0
2416.9221191	0.0
2416.607666	0.0
2416.848877	0.0
2416.4689941	0.0
2416.4084473	0.0
2416.8925781	0.0
2416.2402344	0.0
2415.4382324	0.0
2416.1530762	0.0
2416.2043457	0.0
2415.9958496	0.0
2415.640625	0.0
2416.2558594	0.0
2415.1113281	0.0
2415.2607422	0.0
2416.0129395	0.0
2415.5861816	0.0
2415.9333496	0.0
2416.123291	0.0
2416.2526855	0.0
2417.2148438	0.0
2415.8632813	0.0
2416.9299316	0.0
2417.8034668	0.0
2416.7104492	0.0
2415.4008789	0.0
2415.7963867	0.0
2416.3334961	0.0
2415.3354492	0.0
2416.607666	0.0
2416.621582	0.0
2415.3122559	0.0
2415.5783691	0.0
2416.4440918	0.0
2415.6967773	0.0
2415.2919922	0.0
2416.6293945	0.0
2415.4538574	0.0
2415.822998	0.0
2416.3071289	0.0
2415.8259277	0.0
2415.6391602	0.0
2416.456543	0.0
2415.9489746	0.0
2415.8120117	0.0
2416.2666016	0.0
2416.0859375	0.0
2415.3012695	0.0
2415.7529297	0.0
2416.2900391	0.0
2416.1342773	0.0
2415.8681641	0.0
2417.2241211	0.0
2415.4538574	0.0
2414.9074707	0.0
2421.9528809	0.0
2423.6672363	0.0
2418.1989746	0.0
2418.9897461	0.0
2417.1774902	0.0
2417.1010742	0.0
2415.5427246	0.0
2415.8991699	0.0
2417.6818848	0.0
2413.0031738	0.0
2415.777832	0.0
2415.4350586	0.0
2416.5795898	0.0
2415.0224609	0.0
2415.2077637	0.0
2416.0891113	0.0
2414.1083984	0.0
2415.8259277	0.0
2415.7900391	0.0
2414.0915527	0.0
2415.6455078	0.0
2415.9023438	0.0
2413.9187012	0.0
2414.0898437	0.0
2415.822998	0.0
2414.7485352	0.0
2415.2094727	0.0
2414.7548828	0.0
2414.8203125	0.0
2414.9213867	0.0
2414.7734375	0.0
2414.9431152	0.0
2414.7641602	0.0
2414.5444336	0.0
2415.4477539	0.0
2414.736084	0.0
2414.5585937	0.0
2414.8623047	0.0
2414.6721191	0.0
2414.373291	0.0
2414.6176758	0.0
2414.6799316	0.0
2414.5646973	0.0
2414.8496094	0.0
2414.4589844	0.0
2414.6535645	0.0
2414.1616211	0.0
2414.8356934	0.0
2414.3967285	0.0
2414.3967285	0.0
2414.6474609	0.0
2414.4216309	0.0
2414.359375	0.0
2415.0722656	0.0
2414.1972656	0.0
2414.1083984	0.0
2414.842041	0.0
2414.4821777	0.0
2414.1896973	0.0
2414.6894531	0.0
2414.3747559	0.0
2414.4013672	0.0
2414.9260254	0.0
2415.4599609	0.0
2415.4335938	0.0
2414.8435059	0.0
2415.6142578	0.0
2415.3322754	0.0
2414.6738281	0.0
2414.359375	0.0
2414.8122559	0.0
2412.6247559	0.0
2412.5112305	0.0
2403.8461914	0.0
2398.328125	0.0
2394.8950195	0.0
2398.0075684	0.0
2397.6726074	0.0
2394.8217773	0.0
2395.7792969	0.0
2398.2722168	0.0
2396.4736328	0.0
2396.5219727	0.0
2396.7463379	0.0
2395.3261719	0.0
2395.8322754	0.0
2396.7495117	0.0
2395.7106934	0.0
2395.324707	0.0
2397.5014648	0.0
2395.7575684	0.0
2395.809082	0.0
2396.3540039	0.0
2396.7697754	0.0
2395.4865723	0.0
2396.6091309	0.0
2396.6965332	0.0
2395.5925293	0.0
2396.970459	0.0
2396.4816895	0.0
2394.9807129	0.0
2396.2248535	0.0
2396.5517578	0.0
2395.4787598	0.0
2396.7773438	0.0
2396.8352051	0.0
2395.8151855	0.0
2396.0158691	0.0
2396.215332	0.0
2395.4135742	0.0
2394.9650879	0.0
2395.8166504	0.0
2395.614502	0.0
2395.5021973	0.0
2395.7824707	0.0
2396.2946777	0.0
2394.2209473	0.0
2395.581543	0.0
2395.8415527	0.0
2395.0163574	0.0
2395.597168	0.0
2395.628418	0.0
2395.3620605	0.0
2395.1767578	0.0
2395.8166504	0.0
2395.4353027	0.0
2394.9838867	0.0
2395.4943848	0.0
2394.8840332	0.0
2395.2609863	0.0
2395.2890625	0.0
2395.0102539	0.0
2394.3344727	0.0
2395.6018066	0.0
2395.2453613	0.0
2394.5820313	0.0
2395.5427246	0.0
2395.130127	0.0
2394.4746094	0.0
2395.3371582	0.0
2394.9228516	0.0
2395.0131836	0.0
2395.3122559	0.0
2395.0009766	0.0
2394.885498	0.0
2394.6303711	0.0
2395.0881348	0.0
2394.9291992	0.0
2394.1428223	0.0
2394.9291992	0.0
2394.0231934	0.0
2394.8000488	0.0
2394.4433594	0.0
2394.1506348	0.0
2394.7080078	0.0
2394.7702637	0.0
2394.255127	0.0
2393.7429199	0.0
2394.0603027	0.0
2393.9577637	0.0
2394.359375	0.0
2394.1865234	0.0
2393.9030762	0.0
2394.4465332	0.0
2394.4277344	0.0
2393.7817383	0.0
2393.4267578	0.0
2394.3686523	0.0
2394.449707	0.0
2394.2675781	0.0
2395.4523926	0.0
2394.871582	0.0
2394.9089355	0.0
2394.7329102	0.0
2394.2814941	0.0
2393.7180176	0.0
2394.088623	0.0
2393.3256836	0.0
2393.3410645	0.0
2393.800293	0.0
2394.6083984	0.0
2394.2736816	0.0
2394.1025391	0.0
2393.513916	0.0
2394.2736816	0.0
2392.1669922	0.0
2394.2783203	0.0
2393.7351074	0.0
2393.9108887	0.0
2394.8637695	0.0
2393.467041	0.0
2393.0778809	0.0
2393.5527344	0.0
2392.7744141	0.0
2392.8818359	0.0
2393.7600098	0.0
2394.314209	0.0
2393.4797363	0.0
2393.6572266	0.0
2393.7770996	0.0
2393.454834	0.0
2393.2851563	0.0
2393.3969727	0.0
2392.7197266	0.0
2393.1650391	0.0
2392.519043	0.0
2392.0314941	0.0
2392.217041	0.0
2393.2475586	0.0
2392.6621094	0.0
2393.4797363	0.0
2393.5185547	0.0
2393.5854492	0.0
2394.1193848	0.0
