Relative Intensity intensità_laser_sole	Position (m) intensità_laser_sole
3533.8405762	0.0
3533.6599121	0.0
3533.5773926	0.0
3533.7893066	0.0
3534.083252	0.0
3534.0881348	0.0
3533.739502	0.0
3533.5151367	0.0
3533.8388672	0.0
3533.9992676	0.0
3533.9587402	0.0
3533.7192383	0.0
3533.3952637	0.0
3533.5275879	0.0
3533.5231934	0.0
3533.9899902	0.0
3533.2895508	0.0
3533.2194824	0.0
3533.2675781	0.0
3533.1977539	0.0
3533.5727539	0.0
3533.4309082	0.0
3533.7114258	0.0
3533.0354004	0.0
3533.4916992	0.0
3533.2768555	0.0
3533.5493164	0.0
3533.0932617	0.0
3533.2753906	0.0
3532.8984375	0.0
3533.3625488	0.0
3533.796875	0.0
3533.4685059	0.0
3533.2053223	0.0
3533.1647949	0.0
3532.7163086	0.0
3533.388916	0.0
3533.7456055	0.0
3533.2895508	0.0
3533.2658691	0.0
3533.302002	0.0
3533.8684082	0.0
3533.7036133	0.0
3533.9978027	0.0
3533.3903809	0.0
3533.4511719	0.0
3533.8220215	0.0
3534.1862793	0.0
3533.3063965	0.0
3533.3796387	0.0
3533.2644043	0.0
3533.8562012	0.0
3533.8544922	0.0
3533.8186035	0.0
3533.8796387	0.0
3533.5603027	0.0
3533.6630859	0.0
3533.6708984	0.0
3533.8762207	0.0
3533.1132812	0.0
3533.2412109	0.0
3533.1291504	0.0
3533.2971191	0.0
3533.7158203	0.0
3533.418457	0.0
3533.2565918	0.0
3533.0151367	0.0
3533.057373	0.0
3533.0527344	0.0
3533.2412109	0.0
3533.5930176	0.0
3533.4467773	0.0
3533.0371094	0.0
3533.270752	0.0
3533.0871582	0.0
3533.6555176	0.0
3533.1662598	0.0
3533.2270508	0.0
3533.2363281	0.0
3533.1523437	0.0
3533.9621582	0.0
3533.6071777	0.0
3533.7800293	0.0
3533.072998	0.0
3533.057373	0.0
3533.0932617	0.0
3533.2504883	0.0
3533.7375488	0.0
3533.4902344	0.0
3533.5588379	0.0
3533.1818848	0.0
3533.3361816	0.0
3533.4248047	0.0
3533.5415039	0.0
3533.0668945	0.0
3532.8239746	0.0
3533.2209473	0.0
3533.2397461	0.0
3533.6132813	0.0
3532.7258301	0.0
3532.998291	0.0
3532.786377	0.0
3532.9997559	0.0
3532.9606934	0.0
3533.3063965	0.0
3533.5275879	0.0
3533.3518066	0.0
3533.1132812	0.0
3533.1384277	0.0
3533.0556641	0.0
3532.9702148	0.0
3533.1992188	0.0
3532.8037109	0.0
3533.0185547	0.0
3532.8422852	0.0
3532.9187012	0.0
3533.3098145	0.0
3533.2194824	0.0
3533.2006836	0.0
3532.6540527	0.0
3531.0720215	0.0
3532.4970703	0.0
3532.8535156	0.0
3533.1445313	0.0
3533.208252	0.0
3532.8984375	0.0
3532.7927246	0.0
3533.3237305	0.0
3532.984375	0.0
3532.9624023	0.0
3532.6994629	0.0
3532.8098145	0.0
3532.6245117	0.0
3533.012207	0.0
3533.3188477	0.0
3532.9904785	0.0
3533.2363281	0.0
3532.7661133	0.0
3532.8347168	0.0
3532.5498047	0.0
3532.9499512	0.0
3533.0979004	0.0
3532.9233398	0.0
3532.5092773	0.0
3532.2944336	0.0
3532.3754883	0.0
3532.439209	0.0
3533.027832	0.0
3532.6713867	0.0
3533.2614746	0.0
3532.7009277	0.0
3532.6323242	0.0
3532.6386719	0.0
3532.8925781	0.0
3533.0605469	0.0
3532.546875	0.0
3532.9001465	0.0
3532.7443848	0.0
3533.3344727	0.0
3533.2580566	0.0
3533.3874512	0.0
3532.8520508	0.0
3532.2990723	0.0
3532.7504883	0.0
3533.2412109	0.0
3533.237793	0.0
3532.9250488	0.0
3532.9794922	0.0
3533.041748	0.0
3533.4309082	0.0
3533.2363281	0.0
3533.045166	0.0
3532.8503418	0.0
3533.1181641	0.0
3533.1601563	0.0
3533.3483887	0.0
3532.6166992	0.0
3533.1118164	0.0
3532.9128418	0.0
3533.3034668	0.0
3533.3173828	0.0
3533.2131348	0.0
3532.9716797	0.0
3532.7646484	0.0
3533.0822754	0.0
3533.0964355	0.0
3532.9157715	0.0
3532.7741699	0.0
3532.635498	0.0
3533.0200195	0.0
3532.8581543	0.0
3532.6882324	0.0
3532.5996094	0.0
3532.8037109	0.0
3533.2768555	0.0
3533.3391113	0.0
3532.5046387	0.0
3531.9267578	0.0
3532.7678223	0.0
3533.0634766	0.0
3533.3967285	0.0
3532.7521973	0.0
3532.8581543	0.0
3532.8037109	0.0
3533.2302246	0.0
3532.6650391	0.0
3532.6337891	0.0
3532.4470215	0.0
3532.9282227	0.0
3532.2944336	0.0
3533.1196289	0.0
3532.8688965	0.0
3532.890625	0.0
3532.7646484	0.0
3533.2580566	0.0
3532.7912598	0.0
3532.8752441	0.0
3532.7521973	0.0
3532.8317871	0.0
3532.6791992	0.0
3532.7365723	0.0
3532.9233398	0.0
3532.8300781	0.0
3532.3691406	0.0
3532.4951172	0.0
3532.5593262	0.0
3532.7099609	0.0
3532.1557617	0.0
3532.7211914	0.0
3532.2822266	0.0
3531.9470215	0.0
3531.4675293	0.0
3531.6279297	0.0
3531.4194336	0.0
3531.4724121	0.0
3531.2387695	0.0
3531.1376953	0.0
3531.4645996	0.0
3531.4318848	0.0
3531.685791	0.0
3531.3618164	0.0
3531.3991699	0.0
3531.234375	0.0
3531.4926758	0.0
3531.5283203	0.0
3531.3959961	0.0
3531.3444824	0.0
3531.0131836	0.0
3531.473877	0.0
3531.2683105	0.0
3531.609375	0.0
3531.0847168	0.0
3530.9243164	0.0
3531.0690918	0.0
3531.260498	0.0
3530.9194336	0.0
3530.8962402	0.0
3531.0285645	0.0
3531.1967773	0.0
3531.1157227	0.0
3530.6689453	0.0
3530.8432617	0.0
3531.2077637	0.0
3530.9104004	0.0
3530.7578125	0.0
3530.8759766	0.0
3530.703125	0.0
3530.9631348	0.0
3530.8278809	0.0
3530.8930664	0.0
3530.6330566	0.0
3531.079834	0.0
3530.7436523	0.0
3530.9726562	0.0
3530.9648438	0.0
3531.5656738	0.0
3530.9770508	0.0
3531.097168	0.0
3530.9553223	0.0
3531.4941406	0.0
3531.5922852	0.0
3531.0146484	0.0
3531.2231445	0.0
3531.4675293	0.0
3531.4848633	0.0
3531.7558594	0.0
3531.6279297	0.0
3531.2387695	0.0
3531.2373047	0.0
3531.7416992	0.0
3531.8989258	0.0
3531.682373	0.0
3531.8320313	0.0
3531.4472656	0.0
3531.2155762	0.0
3531.1376953	0.0
3531.6496582	0.0
3531.3525391	0.0
3531.3554688	0.0
3531.0053711	0.0
3531.3959961	0.0
3531.5534668	0.0
3531.5065918	0.0
3531.0769043	0.0
3531.2871094	0.0
3531.1252441	0.0
3531.4724121	0.0
3531.2980957	0.0
3531.1420898	0.0
3530.9711914	0.0
3531.0349121	0.0
3531.3415527	0.0
3531.5673828	0.0
3531.5720215	0.0
3531.097168	0.0
3531.638916	0.0
3531.3789063	0.0
3531.7321777	0.0
3531.4614258	0.0
3531.2653809	0.0
3531.5395508	0.0
3531.7900391	0.0
3531.3898926	0.0
3531.2822266	0.0
3531.140625	0.0
3531.5549316	0.0
3531.5283203	0.0
3531.607666	0.0
3531.2932129	0.0
3531.4038086	0.0
3531.2373047	0.0
3531.685791	0.0
3531.3415527	0.0
3531.7199707	0.0
3531.5251465	0.0
3532.3786621	0.0
3531.7854004	0.0
3531.8552246	0.0
3531.9892578	0.0
3532.2663574	0.0
3532.5917969	0.0
3532.4501953	0.0
3532.5793457	0.0
3532.123291	0.0
3532.0639648	0.0
3531.8181152	0.0
3531.9050293	0.0
3531.9316406	0.0
3531.5500488	0.0
3531.7138672	0.0
3531.5844727	0.0
3532.2102051	0.0
3531.8132324	0.0
3532.1760254	0.0
3531.8041992	0.0
3531.7307129	0.0
3532.182373	0.0
3532.2741699	0.0
3532.182373	0.0
3532.092041	0.0
3532.2180176	0.0
3532.5874023	0.0
3532.543457	0.0
3532.8190918	0.0
3532.3583984	0.0
3532.3349609	0.0
3532.2724609	0.0
3532.5029297	0.0
3532.6994629	0.0
3532.590332	0.0
3532.4550781	0.0
3532.0827637	0.0
3532.0654297	0.0
3532.1123047	0.0
3532.2851562	0.0
3532.4018555	0.0
3532.3100586	0.0
3532.1716309	0.0
3531.8833008	0.0
3532.0905762	0.0
3532.1513672	0.0
3532.4719238	0.0
3532.166748	0.0
3532.019043	0.0
3532.0812988	0.0
3532.380127	0.0
3532.439209	0.0
3532.2585449	0.0
3532.1557617	0.0
3531.8881836	0.0
3532.2880859	0.0
3532.0625	0.0
3532.4125977	0.0
3532.1123047	0.0
3532.1557617	0.0
3532.1418457	0.0
3532.5202637	0.0
3532.8969727	0.0
3532.7785645	0.0
3532.4313965	0.0
3532.4174805	0.0
3532.2648926	0.0
3532.5341797	0.0
3532.5651855	0.0
3532.2478027	0.0
3532.1652832	0.0
3532.4985352	0.0
3532.8457031	0.0
3532.6337891	0.0
3532.4516602	0.0
3532.076416	0.0
3532.4655762	0.0
3532.5046387	0.0
3532.7927246	0.0
3532.7785645	0.0
3532.4189453	0.0
3532.6369629	0.0
3532.4594727	0.0
3532.6867676	0.0
3532.4160156	0.0
3532.6960449	0.0
3532.4299316	0.0
3532.1401367	0.0
3532.1682129	0.0
3532.6120605	0.0
3532.529541	0.0
3531.7775879	0.0
3532.7800293	0.0
3532.574707	0.0
3532.5498047	0.0
3532.3100586	0.0
3532.6694336	0.0
3532.890625	0.0
3532.8220215	0.0
3532.5327148	0.0
3532.5390625	0.0
3532.6694336	0.0
3532.4047852	0.0
3532.8205566	0.0
3532.9765625	0.0
3533.1430664	0.0
3532.8364258	0.0
3532.5153809	0.0
3532.8364258	0.0
3532.8269043	0.0
3532.7429199	0.0
3532.2353516	0.0
3532.4018555	0.0
3532.2680664	0.0
3532.6806641	0.0
3532.9389648	0.0
3532.8828125	0.0
3532.4626465	0.0
3532.4655762	0.0
3532.6867676	0.0
3532.213623	0.0
3532.5202637	0.0
3532.7692871	0.0
3532.9577637	0.0
3532.4689941	0.0
3532.4033203	0.0
3532.4250488	0.0
3532.6462402	0.0
3532.7084961	0.0
3532.7443848	0.0
3532.878418	0.0
3532.7646484	0.0
3532.5341797	0.0
3532.7458496	0.0
3532.6433105	0.0
3532.6462402	0.0
3532.4267578	0.0
3532.4516602	0.0
3532.2634277	0.0
3532.5249023	0.0
3532.7941895	0.0
3532.7692871	0.0
3532.5732422	0.0
3532.3706055	0.0
3532.6821289	0.0
3532.5356445	0.0
3532.9047852	0.0
3533.1711426	0.0
3532.876709	0.0
3532.8737793	0.0
3532.4453125	0.0
3532.770752	0.0
3532.6821289	0.0
3532.9030762	0.0
3532.5419922	0.0
3532.7819824	0.0
3532.4362793	0.0
3532.9016113	0.0
3533.0185547	0.0
3532.921875	0.0
3532.982666	0.0
3532.5217285	0.0
3532.6572266	0.0
3532.6960449	0.0
3532.4768066	0.0
3532.8022461	0.0
3532.9233398	0.0
3532.8098145	0.0
3532.5761719	0.0
3532.6259766	0.0
3532.362793	0.0
3532.8098145	0.0
3533.0605469	0.0
3532.8876953	0.0
3532.0126953	0.0
3532.1311035	0.0
3532.7258301	0.0
3532.7800293	0.0
3532.3083496	0.0
3532.1682129	0.0
3532.2382813	0.0
3532.635498	0.0
3532.9360352	0.0
3532.395752	0.0
3533.1494141	0.0
3532.470459	0.0
3532.5498047	0.0
3532.3242187	0.0
3532.409668	0.0
3532.6635742	0.0
3532.439209	0.0
3532.5266113	0.0
3532.6369629	0.0
3532.3334961	0.0
3532.3642578	0.0
3532.5405273	0.0
3532.3566895	0.0
3532.3444824	0.0
3532.3908691	0.0
3532.5231934	0.0
3532.7646484	0.0
3532.8283691	0.0
3533.0324707	0.0
3532.8239746	0.0
3532.8283691	0.0
3532.6694336	0.0
3532.7770996	0.0
3532.7287598	0.0
3532.5124512	0.0
3532.5124512	0.0
3532.4875488	0.0
3532.9143066	0.0
3533.0136719	0.0
3533.0432129	0.0
3532.5249023	0.0
3532.2944336	0.0
3532.513916	0.0
3532.6916504	0.0
3532.8190918	0.0
3532.7365723	0.0
3532.7741699	0.0
3531.6452637	0.0
3532.4829102	0.0
3532.513916	0.0
3532.8081055	0.0
3532.998291	0.0
3533.1228027	0.0
3532.7895508	0.0
3532.5390625	0.0
3532.7568359	0.0
3532.890625	0.0
3533.2067871	0.0
3532.800293	0.0
3532.7692871	0.0
3532.5153809	0.0
3532.9731445	0.0
3533.1711426	0.0
3532.951416	0.0
3532.7646484	0.0
3532.6401367	0.0
3533.0324707	0.0
3532.9702148	0.0
3533.045166	0.0
3532.5874023	0.0
3532.5671387	0.0
3532.8317871	0.0
3532.7646484	0.0
3532.4267578	0.0
3532.6386719	0.0
3532.9592285	0.0
3533.1025391	0.0
3533.1879883	0.0
3532.5092773	0.0
3532.7258301	0.0
3533.2363281	0.0
3533.2363281	0.0
3533.1149902	0.0
3532.6135254	0.0
3532.7553711	0.0
3532.7287598	0.0
3533.0793457	0.0
3532.6572266	0.0
3532.7553711	0.0
3532.5964355	0.0
3532.7617187	0.0
3532.954834	0.0
3533.0480957	0.0
3532.6166992	0.0
3532.5825195	0.0
3532.7023926	0.0
3532.8066406	0.0
3533.2116699	0.0
3532.7973633	0.0
3532.5715332	0.0
3532.7365723	0.0
3533.3903809	0.0
3532.8378906	0.0
3532.9467773	0.0
3532.4829102	0.0
3532.6604004	0.0
3532.470459	0.0
3532.9641113	0.0
3532.9360352	0.0
3532.96875	0.0
3532.557373	0.0
3532.486084	0.0
3533.1025391	0.0
3533.1726074	0.0
3532.5371094	0.0
3532.5979004	0.0
3532.3271484	0.0
3532.7336426	0.0
3533.0354004	0.0
3532.4890137	0.0
3532.5593262	0.0
3532.2822266	0.0
3532.529541	0.0
3532.6057129	0.0
3532.8457031	0.0
3532.6337891	0.0
3532.2521973	0.0
3532.3942871	0.0
3532.2197266	0.0
3532.5761719	0.0
3532.7849121	0.0
3532.8955078	0.0
3532.560791	0.0
3532.3256836	0.0
3532.3286133	0.0
3532.1884766	0.0
3532.5231934	0.0
3532.6323242	0.0
3532.2758789	0.0
3532.5046387	0.0
3532.6572266	0.0
