Relative Intensity rumore_abientale_1.5_candela	Position (m) rumore_abientale_1.5_candela
0.0133972	0.0
0.0131378	0.0
0.0128937	0.0
0.0125732	0.0
0.0125732	0.0
0.0127106	0.0
0.0128784	0.0
0.0131073	0.0
0.0133514	0.0
0.0131378	0.0
0.0128937	0.0
0.0125427	0.0
0.0124817	0.0
0.012619	0.0
0.0128021	0.0
0.013031	0.0
0.0133057	0.0
0.0131378	0.0
0.0129089	0.0
0.0125885	0.0
0.0124664	0.0
0.0126038	0.0
0.0128021	0.0
0.0130157	0.0
0.0133057	0.0
0.0133514	0.0
0.01297	0.0
0.0126953	0.0
0.0125427	0.0
0.0126495	0.0
0.0128174	0.0
0.013031	0.0
0.0133362	0.0
0.0134277	0.0
0.0130463	0.0
0.0128326	0.0
0.012558	0.0
0.0126801	0.0
0.0128021	0.0
0.0129852	0.0
0.0132599	0.0
0.0133667	0.0
0.0130768	0.0
0.0127716	0.0
0.0125275	0.0
0.0125885	0.0
0.0127258	0.0
0.0129395	0.0
0.0131989	0.0
0.0133514	0.0
0.013031	0.0
0.0127258	0.0
0.0124664	0.0
0.0124969	0.0
0.0126343	0.0
0.0128021	0.0
0.013031	0.0
0.0132141	0.0
0.0129547	0.0
0.0126953	0.0
0.0123901	0.0
0.0123901	0.0
0.0125427	0.0
0.0127716	0.0
0.0130005	0.0
0.0131989	0.0
0.0129089	0.0
0.0126953	0.0
0.0123291	0.0
0.0122833	0.0
0.0124054	0.0
0.0125732	0.0
0.0128021	0.0
0.0130615	0.0
0.0129242	0.0
0.0123291	0.0
0.0119476	0.0
0.0117645	0.0
0.0117645	0.0
0.0118103	0.0
0.0118866	0.0
0.012207	0.0
0.0122223	0.0
0.0119171	0.0
0.0116577	0.0
0.0114288	0.0
0.0114899	0.0
0.0116119	0.0
0.0117645	0.0
0.0119171	0.0
0.0122528	0.0
0.0121765	0.0
0.0118561	0.0
0.0116577	0.0
0.0116425	0.0
0.0118103	0.0
0.0120697	0.0
0.0122986	0.0
0.0126648	0.0
0.0126953	0.0
0.0123901	0.0
0.0121155	0.0
0.0119019	0.0
0.0119934	0.0
0.012146	0.0
0.0122986	0.0
0.0126038	0.0
0.0127106	0.0
0.0123444	0.0
0.0121002	0.0
0.0118408	0.0
0.0118866	0.0
0.0120087	0.0
0.0121613	0.0
0.0124207	0.0
0.0126648	0.0
0.012558	0.0
0.0121918	0.0
0.0119019	0.0
0.0118256	0.0
0.0119629	0.0
0.0121155	0.0
0.0122833	0.0
0.0126343	0.0
0.0125885	0.0
0.0122223	0.0
0.0119934	0.0
0.0118256	0.0
0.0119476	0.0
0.012085	0.0
0.0122681	0.0
0.012558	0.0
0.0126495	0.0
0.0123749	0.0
0.0121307	0.0
0.0118866	0.0
0.0119476	0.0
0.012085	0.0
0.0122681	0.0
0.0125275	0.0
0.0127563	0.0
0.0126495	0.0
0.0122986	0.0
0.0120087	0.0
0.0120087	0.0
0.0121307	0.0
0.0122986	0.0
0.0124817	0.0
0.0127106	0.0
0.0126495	0.0
0.0122223	0.0
0.0119019	0.0
0.011795	0.0
0.0118713	0.0
0.0119781	0.0
0.012085	0.0
0.0123901	0.0
0.0124207	0.0
0.0120392	0.0
0.011734	0.0
0.0115356	0.0
0.0115662	0.0
0.0116119	0.0
0.0117493	0.0
0.0119171	0.0
0.012146	0.0
0.012146	0.0
0.011734	0.0
0.0114899	0.0
0.0114746	0.0
0.0115814	0.0
0.011734	0.0
0.0118713	0.0
0.0122375	0.0
0.0122681	0.0
0.0119171	0.0
0.011673	0.0
0.0114899	0.0
0.0115967	0.0
0.0117188	0.0
0.0119019	0.0
0.0121613	0.0
0.0123901	0.0
0.0122528	0.0
0.0119019	0.0
0.0116425	0.0
0.0116577	0.0
0.0117798	0.0
0.0119324	0.0
0.012085	0.0
0.0124207	0.0
0.0123596	0.0
0.0119934	0.0
0.0117798	0.0
0.0116119	0.0
0.0117188	0.0
0.0118408	0.0
0.0119629	0.0
0.0122528	0.0
0.0123291	0.0
0.0121765	0.0
0.0117493	0.0
0.0114899	0.0
0.0115051	0.0
0.0115967	0.0
0.011734	0.0
0.0118408	0.0
0.012207	0.0
0.0121613	0.0
0.0119324	0.0
0.0115662	0.0
0.0114288	0.0
0.0115204	0.0
0.0116272	0.0
0.011795	0.0
0.0119781	0.0
0.0121918	0.0
0.012146	0.0
0.011734	0.0
0.0114746	0.0
0.0114594	0.0
0.0115356	0.0
0.0116882	0.0
0.011795	0.0
0.012146	0.0
0.0122223	0.0
0.012085	0.0
0.0116577	0.0
0.0114746	0.0
0.0115051	0.0
0.0116272	0.0
0.0118103	0.0
0.0119629	0.0
0.0122986	0.0
0.0122375	0.0
0.0118866	0.0
0.0116272	0.0
0.0115356	0.0
0.0116577	0.0
0.0118103	0.0
0.0119629	0.0
0.0123291	0.0
0.0123901	0.0
0.0122223	0.0
0.0118103	0.0
0.0116119	0.0
0.0117188	0.0
0.0118408	0.0
0.0119934	0.0
0.0122223	0.0
0.0124207	0.0
0.0123749	0.0
0.0119629	0.0
0.0117035	0.0
0.0116882	0.0
0.011795	0.0
0.0119629	0.0
0.0121155	0.0
0.0124512	0.0
0.0124359	0.0
0.0122375	0.0
0.0118103	0.0
0.0116272	0.0
0.0117493	0.0
0.0118713	0.0
0.0119934	0.0
0.0123291	0.0
0.0124207	0.0
0.0122681	0.0
0.0118256	0.0
0.0116119	0.0
0.0116272	0.0
0.0117493	0.0
0.0119171	0.0
0.0121002	0.0
0.0123444	0.0
0.0122833	0.0
0.0120697	0.0
0.0115967	0.0
0.0115662	0.0
0.0116577	0.0
0.011795	0.0
0.0118866	0.0
0.0122223	0.0
0.0122528	0.0
0.0121002	0.0
0.0117035	0.0
0.0114594	0.0
0.0115204	0.0
0.0116577	0.0
0.0118103	0.0
0.0119476	0.0
0.0122528	0.0
0.012146	0.0
0.0119476	0.0
0.0115814	0.0
0.0114594	0.0
0.0115814	0.0
0.0117035	0.0
0.0118408	0.0
0.0121155	0.0
0.0122681	0.0
0.0121307	0.0
0.011734	0.0
0.0114746	0.0
0.0115051	0.0
0.0116119	0.0
0.0117798	0.0
0.0119171	0.0
0.0123138	0.0
0.0123138	0.0
0.0121918	0.0
0.0117798	0.0
0.0116577	0.0
0.011795	0.0
0.0119476	0.0
0.0121307	0.0
0.0125275	0.0
0.0126495	0.0
0.0124664	0.0
0.012085	0.0
0.0118866	0.0
0.0119781	0.0
0.0121002	0.0
0.0123138	0.0
0.012619	0.0
0.0128326	0.0
0.0127716	0.0
0.0125275	0.0
0.0121002	0.0
0.012085	0.0
0.0122528	0.0
0.0124512	0.0
0.0126953	0.0
0.0129547	0.0
0.0129089	0.0
0.0127106	0.0
0.012207	0.0
0.0121613	0.0
0.0122986	0.0
0.0124969	0.0
0.0127106	0.0
0.0130157	0.0
0.0130615	0.0
0.0128937	0.0
0.0124359	0.0
0.0123444	0.0
0.0124664	0.0
0.0126801	0.0
0.0129242	0.0
0.0132294	0.0
0.0132751	0.0
0.0131073	0.0
0.0126343	0.0
0.0124969	0.0
0.0126343	0.0
0.0128174	0.0
0.013031	0.0
0.0133057	0.0
0.0133972	0.0
0.0132446	0.0
0.0127106	0.0
0.0125122	0.0
0.0125427	0.0
0.0126801	0.0
0.0128784	0.0
0.0131683	0.0
0.0133057	0.0
0.0131531	0.0
0.0129089	0.0
0.0124512	0.0
0.0124817	0.0
0.0126038	0.0
0.0128021	0.0
0.0130615	0.0
0.0132141	0.0
0.0131073	0.0
0.0127869	0.0
0.0122986	0.0
0.0123138	0.0
0.0124359	0.0
0.012619	0.0
0.0128479	0.0
0.0130157	0.0
