Relative Intensity rumore_ambientale_candela	Position (m) rumore_ambientale_candela
0.0363464	0.0
0.0358734	0.0
0.0360565	0.0
0.0365448	0.0
0.0370026	0.0
0.0364685	0.0
0.0359497	0.0
0.0359497	0.0
0.0363464	0.0
0.0368652	0.0
0.0368042	0.0
0.0360718	0.0
0.0358276	0.0
0.0362091	0.0
0.0367432	0.0
0.0369263	0.0
0.0362549	0.0
0.0358429	0.0
0.0362244	0.0
0.0367126	0.0
0.0371552	0.0
0.0365601	0.0
0.0361023	0.0
0.0362854	0.0
0.0367432	0.0
0.0373077	0.0
0.0370941	0.0
0.036377	0.0
0.0362244	0.0
0.0366364	0.0
0.0371552	0.0
0.0371704	0.0
0.036499	0.0
0.0361328	0.0
0.0364532	0.0
0.0369415	0.0
0.0372162	0.0
0.0365753	0.0
0.0360718	0.0
0.0362854	0.0
0.0366516	0.0
0.0371246	0.0
0.0368652	0.0
0.036087	0.0
0.0361481	0.0
0.0365601	0.0
0.0371552	0.0
0.0370941	0.0
0.0364227	0.0
0.0361938	0.0
0.0365601	0.0
0.0371246	0.0
0.0372925	0.0
0.0366821	0.0
0.0362549	0.0
0.0365295	0.0
0.0370331	0.0
0.0374603	0.0
0.036911	0.0
0.036438	0.0
0.0365143	0.0
0.036972	0.0
0.0374298	0.0
0.0372467	0.0
0.036499	0.0
0.0363464	0.0
0.0367737	0.0
0.0373077	0.0
0.0374146	0.0
0.0367584	0.0
0.036377	0.0
0.0366516	0.0
0.0371857	0.0
0.0375214	0.0
0.036972	0.0
0.0364685	0.0
0.0366821	0.0
0.0371246	0.0
0.0377197	0.0
0.0375519	0.0
0.0368195	0.0
0.0366364	0.0
0.0370941	0.0
0.0375824	0.0
0.0376587	0.0
0.0369263	0.0
0.0365295	0.0
0.0367889	0.0
0.0372925	0.0
0.0375671	0.0
0.0369568	0.0
0.036438	0.0
0.0366211	0.0
0.0370483	0.0
0.0375671	0.0
0.0373383	0.0
0.0365906	0.0
0.0365295	0.0
0.0370178	0.0
0.0375366	0.0
0.0375519	0.0
0.0369263	0.0
0.0366669	0.0
0.0370483	0.0
0.0376434	0.0
0.0379181	0.0
0.0373688	0.0
0.0369415	0.0
0.0372162	0.0
0.037796	0.0
0.0382843	0.0
0.0381622	0.0
0.0375214	0.0
0.0375214	0.0
0.0380096	0.0
0.0386353	0.0
0.0386353	0.0
0.0380249	0.0
0.0377655	0.0
0.0381165	0.0
0.0386505	0.0
0.0389862	0.0
0.0384369	0.0
0.0379486	0.0
0.0381165	0.0
0.0386353	0.0
0.0390778	0.0
0.0388947	0.0
0.0381927	0.0
0.0380554	0.0
0.0384674	0.0
0.0390167	0.0
0.0390625	0.0
0.0383911	0.0
0.0379639	0.0
0.0382996	0.0
0.0387878	0.0
0.0390472	0.0
0.0387726	0.0
0.0379486	0.0
0.0380554	0.0
0.0385132	0.0
0.0389557	0.0
0.0388489	0.0
0.0380859	0.0
0.0378876	0.0
0.0382538	0.0
0.0387268	0.0
0.0388947	0.0
0.038269	0.0
0.0377808	0.0
0.0380707	0.0
0.0385132	0.0
0.0388489	0.0
0.0385437	0.0
0.0377502	0.0
0.0377045	0.0
0.0381165	0.0
0.0386353	0.0
0.0385284	0.0
0.0377808	0.0
0.0374908	0.0
0.0378265	0.0
0.0383301	0.0
0.038559	0.0
0.0379791	0.0
0.0374451	0.0
0.0376892	0.0
0.038147	0.0
0.0385895	0.0
0.0383606	0.0
0.0376282	0.0
0.0375824	0.0
0.0380096	0.0
0.0385284	0.0
0.0385437	0.0
0.0378723	0.0
0.0375214	0.0
0.0378265	0.0
0.0383148	0.0
0.0386658	0.0
0.0383606	0.0
0.0375824	0.0
0.0377502	0.0
0.038208	0.0
0.0387268	0.0
0.0386047	0.0
0.0379333	0.0
0.0377502	0.0
0.0381775	0.0
0.0387268	0.0
0.0388031	0.0
0.038208	0.0
0.0377808	0.0
0.0380402	0.0
0.0385132	0.0
0.0390167	0.0
0.0387573	0.0
0.0380707	0.0
0.0380859	0.0
0.0385895	0.0
0.0391388	0.0
0.0390778	0.0
0.0383911	0.0
0.0380707	0.0
0.0384369	0.0
0.0389557	0.0
0.0392303	0.0
0.0388641	0.0
0.0380249	0.0
0.038208	0.0
0.0386047	0.0
0.0389252	0.0
0.0385895	0.0
0.0375366	0.0
0.037323	0.0
0.0377045	0.0
0.0382233	0.0
0.0381927	0.0
0.0374756	0.0
0.0371246	0.0
0.0374756	0.0
0.0380096	0.0
0.038269	0.0
0.0379181	0.0
0.0371246	0.0
0.0373535	0.0
0.0378418	0.0
0.0384521	0.0
0.0383453	0.0
0.0376892	0.0
0.0376129	0.0
0.0380554	0.0
0.0386505	0.0
0.0386047	0.0
0.0378723	0.0
0.0374451	0.0
0.0377655	0.0
0.0383759	0.0
0.0386047	0.0
0.0382538	0.0
0.0375061	0.0
0.0376434	0.0
0.0381165	0.0
0.0386505	0.0
0.0384369	0.0
0.0376434	0.0
0.0375671	0.0
0.0379791	0.0
0.0385132	0.0
0.0385437	0.0
0.0378571	0.0
0.0374603	0.0
0.0377502	0.0
0.038208	0.0
0.0385284	0.0
0.0381775	0.0
0.0373535	0.0
0.0375671	0.0
0.0380096	0.0
0.038559	0.0
0.0383453	0.0
0.0375977	0.0
0.0375214	0.0
0.0379028	0.0
0.0384369	0.0
0.0385132	0.0
0.0378723	0.0
0.0374146	0.0
0.037735	0.0
0.0381775	0.0
0.0385437	0.0
0.0381927	0.0
0.0375519	0.0
0.0380096	0.0
0.0386505	0.0
0.0391998	0.0
0.0390778	0.0
0.0383148	0.0
0.0380249	0.0
0.0384369	0.0
0.0389709	0.0
0.0391693	0.0
0.0388031	0.0
0.0380249	0.0
0.0382996	0.0
0.0387878	0.0
0.0391693	0.0
0.0389099	0.0
0.0381165	0.0
0.0381012	0.0
0.0385132	0.0
0.0390625	0.0
0.0389709	0.0
0.0382233	0.0
0.0379791	0.0
0.0383301	0.0
0.0388031	0.0
0.0390472	0.0
0.03862	0.0
0.0378265	0.0
0.0380402	0.0
0.0384979	0.0
0.0389862	0.0
0.0386963	0.0
0.0378876	0.0
0.0378265	0.0
0.0382385	0.0
