Relative Intensity rumore_di_fondo_candela	Position (m) rumore_di_fondo_candela
0.026062	0.0
0.0256195	0.0
0.0252838	0.0
0.0253601	0.0
0.025528	0.0
0.0258484	0.0
0.0261383	0.0
0.0261841	0.0
0.0258026	0.0
0.0255585	0.0
0.0253906	0.0
0.0255585	0.0
0.0257721	0.0
0.0260925	0.0
0.0262909	0.0
0.0261993	0.0
0.0257721	0.0
0.0254822	0.0
0.0255127	0.0
0.0256653	0.0
0.0259857	0.0
0.0262299	0.0
0.0262604	0.0
0.0258331	0.0
0.025528	0.0
0.0253601	0.0
0.0254517	0.0
0.0257263	0.0
0.0259857	0.0
0.0262146	0.0
0.0260773	0.0
0.0256042	0.0
0.0252991	0.0
0.0253143	0.0
0.0255737	0.0
0.0257721	0.0
0.0260925	0.0
0.0260773	0.0
0.0256195	0.0
0.0253296	0.0
0.0252228	0.0
0.0253448	0.0
0.0256348	0.0
0.0259552	0.0
0.0260162	0.0
0.0258331	0.0
0.0252838	0.0
0.0250092	0.0
0.0250244	0.0
0.0252228	0.0
0.0254211	0.0
0.0256195	0.0
0.0254974	0.0
0.0250397	0.0
0.024826	0.0
0.024826	0.0
0.0250854	0.0
0.0254059	0.0
0.0256805	0.0
0.0256348	0.0
0.0254211	0.0
0.0248566	0.0
0.024704	0.0
0.0248566	0.0
0.0250244	0.0
0.0253143	0.0
0.0254517	0.0
0.025177	0.0
0.024704	0.0
0.0244751	0.0
0.0245972	0.0
0.0247803	0.0
0.0250549	0.0
0.0252991	0.0
0.0251465	0.0
0.0247345	0.0
0.024353	0.0
0.0244141	0.0
0.0246429	0.0
0.0249481	0.0
0.0252686	0.0
0.0252228	0.0
0.0249023	0.0
0.0244598	0.0
0.0244293	0.0
0.0246277	0.0
0.024826	0.0
0.0251617	0.0
0.025238	0.0
0.0250092	0.0
0.0245514	0.0
0.0243988	0.0
0.0245514	0.0
0.0247498	0.0
0.0250702	0.0
0.0252991	0.0
0.0251312	0.0
0.0246124	0.0
0.0243683	0.0
0.0244598	0.0
0.0246582	0.0
0.0249634	0.0
0.0252991	0.0
0.0251923	0.0
0.0249176	0.0
0.0244598	0.0
0.0244446	0.0
0.0246582	0.0
0.0249481	0.0
0.025238	0.0
0.0252838	0.0
0.0250702	0.0
0.0246124	0.0
0.0244598	0.0
0.0246429	0.0
0.0248413	0.0
0.025177	0.0
0.0253754	0.0
0.025177	0.0
0.0247955	0.0
0.0243378	0.0
0.0244293	0.0
0.0246582	0.0
0.0249481	0.0
0.0252075	0.0
0.0250092	0.0
0.0247498	0.0
0.0242004	0.0
0.024231	0.0
0.0243835	0.0
0.0245972	0.0
0.0249634	0.0
0.0249939	0.0
0.024765	0.0
0.0241699	0.0
0.0239563	0.0
0.0240631	0.0
0.0242615	0.0
0.0245209	0.0
0.0244446	0.0
0.0241547	0.0
0.0235901	0.0
0.023407	0.0
0.0235596	0.0
0.023819	0.0
0.0241699	0.0
0.0242615	0.0
0.023941	0.0
0.0235748	0.0
0.0231171	0.0
0.0231171	0.0
0.0231323	0.0
0.0232391	0.0
0.0231934	0.0
0.0228424	0.0
0.0221558	0.0
0.0214386	0.0
0.0217285	0.0
0.02211	0.0
0.0226746	0.0
0.0233459	0.0
0.0231781	0.0
0.0227661	0.0
0.0227814	0.0
0.0234833	0.0
0.0244751	0.0
0.025528	0.0
0.0260315	0.0
0.0259857	0.0
0.0256653	0.0
0.0252533	0.0
0.0254517	0.0
0.0256653	0.0
0.0260925	0.0
0.0266266	0.0
0.0268097	0.0
0.0264435	0.0
0.0258331	0.0
0.0256958	0.0
0.0256805	0.0
0.0258636	0.0
0.0262451	0.0
0.0265503	0.0
0.0266113	0.0
0.0265503	0.0
0.0260925	0.0
0.0261841	0.0
0.0263062	0.0
0.0265656	0.0
0.0267181	0.0
0.0266266	0.0
0.0263367	0.0
0.026123	0.0
0.0262756	0.0
0.0267181	0.0
0.0270538	0.0
0.0273438	0.0
0.0271912	0.0
0.0268097	0.0
0.0262604	0.0
0.0255737	0.0
0.0256042	0.0
0.0257721	0.0
0.0259399	0.0
0.026123	0.0
0.026062	0.0
0.0258942	0.0
0.0256958	0.0
0.0258484	0.0
0.0259705	0.0
0.0261536	0.0
0.0263367	0.0
0.0263214	0.0
0.0259705	0.0
0.0255585	0.0
0.0252838	0.0
0.0254822	0.0
0.0258789	0.0
0.0261993	0.0
0.0263062	0.0
0.0261383	0.0
0.0258484	0.0
0.0255737	0.0
0.0257416	0.0
0.026001	0.0
0.0261841	0.0
0.026413	0.0
0.0262451	0.0
0.0258636	0.0
0.025528	0.0
0.0253601	0.0
0.0254822	0.0
