Relative Intensity rumore_di_fondo_lampadina	Position (m) rumore_di_fondo_lampadina
0.0432129	0.0
0.0428619	0.0
0.0431213	0.0
0.0433807	0.0
0.0431366	0.0
0.0430908	0.0
0.0428314	0.0
0.0431366	0.0
0.0430298	0.0
0.0432129	0.0
0.0430756	0.0
0.0432434	0.0
0.0435486	0.0
0.0426941	0.0
0.0431213	0.0
0.0428619	0.0
0.0432892	0.0
0.0430756	0.0
0.0431671	0.0
0.0430145	0.0
0.0427856	0.0
0.0429535	0.0
0.0430603	0.0
0.0430603	0.0
0.0423737	0.0
0.0432281	0.0
0.0429993	0.0
0.0428162	0.0
0.0431824	0.0
0.0430145	0.0
0.0433197	0.0
0.0424957	0.0
0.0427399	0.0
0.042572	0.0
0.0427856	0.0
0.0428772	0.0
0.0429535	0.0
0.0427399	0.0
0.0429382	0.0
0.0424957	0.0
0.0428772	0.0
0.0431824	0.0
0.0429382	0.0
0.0429993	0.0
0.042572	0.0
0.0430603	0.0
0.043045	0.0
0.0431366	0.0
0.0428772	0.0
0.0433807	0.0
0.0425873	0.0
0.0428772	0.0
0.0424347	0.0
0.0428162	0.0
0.0424652	0.0
0.0426025	0.0
0.0422058	0.0
0.0426788	0.0
0.0427856	0.0
0.0428162	0.0
0.0423737	0.0
0.0426178	0.0
0.0427246	0.0
0.0427704	0.0
0.0428925	0.0
0.0423584	0.0
0.0424652	0.0
0.042511	0.0
0.04216	0.0
0.04216	0.0
0.0424652	0.0
0.0425262	0.0
0.0419769	0.0
0.04245	0.0
0.0421448	0.0
0.0421448	0.0
0.0425415	0.0
0.0422974	0.0
0.0422668	0.0
0.0422058	0.0
0.042038	0.0
0.041626	0.0
0.0415955	0.0
0.042099	0.0
0.042099	0.0
0.0418396	0.0
0.0421906	0.0
0.0422516	0.0
0.0418854	0.0
0.0417633	0.0
0.0419617	0.0
0.0414429	0.0
0.0417328	0.0
0.0420074	0.0
0.0416412	0.0
0.0417786	0.0
0.0415192	0.0
0.0416565	0.0
0.041214	0.0
0.0417633	0.0
0.0415344	0.0
0.0415649	0.0
0.0416107	0.0
0.0416412	0.0
0.0413055	0.0
0.0413971	0.0
0.0417328	0.0
0.0416107	0.0
0.0419159	0.0
0.0422821	0.0
0.0416412	0.0
0.0417633	0.0
0.0410767	0.0
0.0418701	0.0
0.0418091	0.0
0.0416718	0.0
0.0417023	0.0
0.0410309	0.0
0.0413361	0.0
0.0413055	0.0
0.0413666	0.0
0.0411987	0.0
0.0410461	0.0
0.0414734	0.0
0.0410614	0.0
0.0410614	0.0
0.041214	0.0
0.0411682	0.0
0.0406189	0.0
0.0410309	0.0
0.0413055	0.0
0.0410156	0.0
0.0413208	0.0
0.0406647	0.0
0.040802	0.0
0.0410919	0.0
0.0410919	0.0
0.0407562	0.0
0.0409241	0.0
0.0410461	0.0
0.0409088	0.0
0.040802	0.0
0.0411987	0.0
0.0406952	0.0
0.0406036	0.0
0.0408173	0.0
0.0405426	0.0
0.0412598	0.0
0.0405426	0.0
0.0409698	0.0
0.0404816	0.0
0.0408325	0.0
0.0405426	0.0
0.0410156	0.0
0.0410309	0.0
0.0409546	0.0
0.0409241	0.0
0.0406494	0.0
0.040741	0.0
0.0407104	0.0
0.0413361	0.0
0.0413666	0.0
0.0416718	0.0
0.0410309	0.0
0.0409698	0.0
0.0410614	0.0
0.0407715	0.0
0.0413208	0.0
0.0413818	0.0
0.0410767	0.0
0.0411682	0.0
0.0409851	0.0
0.0410614	0.0
0.0412903	0.0
0.0409241	0.0
0.0410461	0.0
0.0410156	0.0
0.0408936	0.0
0.0411682	0.0
0.0412903	0.0
0.0414124	0.0
0.0410309	0.0
0.0409393	0.0
0.040863	0.0
0.0412903	0.0
0.0413055	0.0
0.0410919	0.0
0.0413666	0.0
0.0410004	0.0
0.0411072	0.0
0.0407715	0.0
0.0410004	0.0
0.0407257	0.0
0.0413513	0.0
0.0405884	0.0
0.0407867	0.0
0.0408173	0.0
0.0409851	0.0
0.0414886	0.0
0.0410767	0.0
0.0406952	0.0
0.040741	0.0
0.0414276	0.0
0.040741	0.0
0.041153	0.0
0.0406799	0.0
0.0411072	0.0
0.0412292	0.0
0.040863	0.0
